,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Economic,Capacity_and_resources,Morality,Fairness_and_equality,Legality_jurisdiction,Policy_prescription,Crime_and_punishment,Security_and_defense,Health_and_safety,Quality_of_life,Cultural_identity,Public_sentiment,Political,External_regulation,Other
Immigration1.0-23518,0,0,1,denver post,2007,2,1,20070201,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-26037,0,0,1,usa today,2008,1,17,20080117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-26035,0,0,1,atlanta journal and constitution,2008,1,17,20080117,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-23514,0,0,1,st. petersburg times,2007,2,2,20070202,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-23513,0,0,1,san jose mercury news,2007,2,2,20070202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-26032,0,0,1,new york times,2008,1,18,20080118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-26030,0,0,1,new york times,2008,1,18,20080118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-33827,0,0,1,atlanta journal and constitution,2012,9,17,20120917,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-33823,0,0,1,san jose mercury news,2012,9,18,20120918,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-33820,0,1,0,herald-sun,2012,9,18,20120918,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-19390,0,0,1,new york times,2006,3,18,20060318,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-29351,0,0,1,daily news,2010,5,14,20100514,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-19820,0,0,1,atlanta journal and constitution,2006,4,6,20060406,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-24897,0,0,1,palm beach post,2007,10,15,20071015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-24894,0,1,0,usa today,2007,6,27,20070627,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-16429,0,1,0,new york times,2004,12,12,20041212,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-16422,0,0,1,palm beach post,2004,12,14,20041214,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-16421,0,0,1,new york times,2004,12,14,20041214,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-19094,0,0,1,philadelphia inquirer,2006,3,31,20060331,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-18666,0,0,1,washington post,2006,2,20,20060220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-27200,0,1,0,washington post,2008,6,9,20080609,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-31898,0,0,1,washington post,2011,10,25,20111025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-36373,0,0,1,new york times,1988,9,14,19880914,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-36372,0,0,1,palm beach post,1988,9,15,19880915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-36374,0,0,1,new york times,1988,9,12,19880912,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-23631,0,0,1,new york times,2007,5,18,20070518,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-25835,0,0,1,new york times,2008,2,24,20080224,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-23637,0,1,0,san jose mercury news,2007,5,18,20070518,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-6613,0,0,1,philadelphia inquirer,1999,7,1,19990701,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-8321,0,0,1,palm beach post,2000,7,27,20000727,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-8325,0,1,0,san jose mercury news,2000,7,26,20000726,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-10703,0,1,0,philadelphia inquirer,2001,9,5,20010905,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Immigration1.0-34624,0,0,1,new york times,1972,11,2,19721102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-34628,0,0,1,new york times,1972,10,24,19721024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-35971,0,0,1,new york times,1986,12,7,19861207,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-12255,0,0,1,san jose mercury news,2002,6,13,20020613,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-19530,0,0,1,washington post,2006,3,2,20060302,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-12253,0,1,0,san jose mercury news,2002,6,13,20020613,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-19538,0,0,1,san jose mercury news,2006,3,1,20060301,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-12259,0,0,1,atlanta journal and constitution,2002,6,12,20020612,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-25076,0,0,1,new york times,2007,9,22,20070922,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-20750,0,0,1,saint paul pioneer press,2006,5,13,20060513,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-25074,0,0,1,daily news,2007,9,22,20070922,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-25476,0,1,0,st. louis post-dispatch,2007,11,23,20071123,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-36954,0,0,1,new york times,1989,7,15,19890715,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-36957,0,0,1,st. louis post-dispatch,1989,7,14,19890714,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-2239,0,0,1,san jose mercury news,1996,9,24,19960924,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-2548,0,0,1,philadelphia inquirer,1996,7,18,19960718,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-2542,0,0,1,st. petersburg times,1996,7,19,19960719,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-37027,0,0,1,palm beach post,1989,5,2,19890502,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-12621,0,0,1,atlanta journal and constitution,2002,9,12,20020912,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-5016,0,0,1,san jose mercury news,1998,2,5,19980205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-16664,0,0,1,new york times,2004,10,21,20041021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-23943,0,0,1,washington post,2007,4,10,20070410,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-14172,0,0,1,saint paul pioneer press,2003,4,2,20030402,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-18422,0,0,1,washington post,2005,10,24,20051024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-9309,0,0,1,washington post,2001,3,3,20010303,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Immigration1.0-26792,0,0,1,saint paul pioneer press,2008,9,25,20080925,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-1041,0,0,1,usa today,1995,11,1,19951101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-1044,0,0,1,saint paul pioneer press,1995,10,30,19951030,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-1045,0,0,1,san jose mercury news,1995,10,30,19951030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-29564,0,0,1,new york times,2010,8,18,20100818,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-29565,0,0,1,palm beach post,2010,8,18,20100818,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-33630,0,0,1,new york times,2012,11,4,20121104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-29560,0,0,1,herald-sun,2010,8,19,20100819,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-33636,0,0,1,washington post,2012,11,2,20121102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-38629,0,1,0,palm beach post,1991,11,5,19911105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-22948,0,0,1,denver post,2006,12,13,20061213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-36572,0,0,1,new york times,1987,11,2,19871102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-31705,0,0,1,atlanta journal and constitution,2011,6,16,20110616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-31255,0,0,1,new york times,2011,4,1,20110401,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-28968,0,0,1,new york times,2010,2,2,20100202,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-31709,0,0,1,new york times,2011,6,16,20110616,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-36578,0,0,1,new york times,1987,10,25,19871025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-28962,0,0,1,palm beach post,2010,2,4,20100204,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-28960,0,0,1,daily news,2010,2,4,20100204,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-29308,0,1,0,st. petersburg times,2010,5,19,20100519,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-1222,0,0,1,washington post,1995,9,11,19950911,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-1221,0,1,0,new york times,1995,9,11,19950911,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-26860,0,0,1,washington post,2008,9,4,20080904,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-1959,0,0,1,new york times,1996,5,2,19960502,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Immigration1.0-29307,0,0,1,st. louis post-dispatch,2010,5,19,20100519,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-40932,0,1,0,new york times,1994,9,10,19940910,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Immigration1.0-14704,0,0,1,palm beach post,2003,12,18,20031218,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-40937,0,0,1,washington post,1994,9,10,19940910,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Immigration1.0-24246,0,0,1,usa today,2007,6,6,20070606,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-24244,0,1,0,st. petersburg times,2007,6,6,20070606,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-40855,0,0,1,san jose mercury news,1994,9,23,19940923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-40851,0,0,1,atlanta journal and constitution,1994,9,23,19940923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-10499,0,0,1,atlanta journal and constitution,2001,9,30,20010930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-40858,0,0,1,new york times,1994,9,22,19940922,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Immigration1.0-17616,0,1,0,washington post,2005,4,8,20050408,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-4055,0,0,1,new york times,1997,8,12,19970812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-4050,0,0,1,new york times,1997,8,13,19970813,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-4985,0,0,1,saint paul pioneer press,1998,2,16,19980216,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-16636,0,0,1,new york times,2004,10,31,20041031,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-18472,0,1,0,atlanta journal and constitution,2005,10,18,20051018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-16633,0,0,1,new york times,2004,11,2,20041102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-16631,0,0,1,denver post,2004,11,3,20041103,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-34367,0,0,1,new york times,1980,6,26,19800626,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-34363,0,0,1,new york times,1980,7,3,19800703,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-34369,0,0,1,new york times,1980,6,24,19800624,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-13289,0,0,1,san jose mercury news,2003,3,21,20030321,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-35372,0,0,1,new york times,1983,8,1,19830801,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-13282,0,0,1,philadelphia inquirer,2003,3,22,20030322,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-13283,0,0,1,philadelphia inquirer,2003,3,22,20030322,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-37628,0,0,1,palm beach post,1990,2,9,19900209,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-37627,0,0,1,st. louis post-dispatch,1990,2,11,19900211,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-20099,0,1,0,saint paul pioneer press,2006,5,2,20060502,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-23214,0,0,1,philadelphia inquirer,2007,3,13,20070313,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-20097,0,0,1,saint paul pioneer press,2006,5,2,20060502,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-20096,0,0,1,saint paul pioneer press,2006,5,2,20060502,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-20094,0,0,1,saint paul pioneer press,2006,5,2,20060502,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-751,0,0,1,atlanta journal and constitution,1995,5,15,19950515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-754,0,0,1,daily news,1995,5,14,19950514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-28778,0,0,1,new york times,2010,4,8,20100408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-24931,0,0,1,san jose mercury news,2007,10,11,20071011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-15617,0,0,1,denver post,2004,4,23,20040423,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-1804,0,0,1,new york times,1996,6,6,19960606,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-20543,0,1,0,new york times,2006,5,20,20060520,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-9847,0,0,1,new york times,2001,5,16,20010516,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-20547,0,0,1,new york times,2006,5,20,20060520,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-11720,0,0,1,san jose mercury news,2002,4,19,20020419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-11626,0,0,1,st. louis post-dispatch,2002,5,4,20020504,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-25688,0,0,1,atlanta journal and constitution,2007,10,28,20071028,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-12391,0,0,1,daily news,2002,5,17,20020517,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-25680,0,0,1,daily news,2007,10,29,20071029,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-25685,0,1,0,usa today,2007,10,29,20071029,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-25687,0,0,1,atlanta journal and constitution,2007,10,28,20071028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-3553,0,0,1,philadelphia inquirer,1997,5,15,19970515,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-27016,0,0,1,washington post,2008,7,25,20080725,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-27019,0,0,1,washington post,2008,7,24,20080724,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-6109,0,0,1,palm beach post,1999,3,15,19990315,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-23846,0,0,1,washington post,2007,4,23,20070423,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-23840,0,0,1,new york times,2007,4,24,20070424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-33029,0,0,1,atlanta journal and constitution,2012,3,15,20120315,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-13918,0,0,1,washington post,2003,5,30,20030530,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-2681,0,0,1,atlanta journal and constitution,1996,12,11,19961211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-2684,0,0,1,atlanta journal and constitution,1996,12,8,19961208,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-2930,0,0,1,saint paul pioneer press,1996,10,4,19961004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-2938,0,0,1,san jose mercury news,1996,10,3,19961003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-3334,0,0,1,san jose mercury news,1997,1,18,19970118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-3332,0,0,1,philadelphia inquirer,1997,1,19,19970119,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-10932,0,0,1,washington post,2001,11,30,20011130,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-3883,0,0,1,san jose mercury news,1997,9,23,19970923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-3888,0,0,1,daily news,1997,9,22,19970922,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-16399,0,0,1,new york times,2004,12,18,20041218,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-29173,0,0,1,new york times,2010,6,8,20100608,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-29175,0,0,1,washington post,2010,6,8,20100608,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-13706,0,1,0,saint paul pioneer press,2003,1,6,20030106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-2060,0,0,1,st. louis post-dispatch,1996,4,17,19960417,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-2063,0,0,1,new york times,1996,4,16,19960416,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-32484,0,0,1,washington post,2011,12,29,20111229,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-39917,0,0,1,new york times,1994,5,29,19940529,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-39911,0,0,1,st. louis post-dispatch,1993,2,2,19930202,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-39918,0,1,0,san jose mercury news,1994,5,29,19940529,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-30426,0,0,1,washington post,2011,3,11,20110311,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-30393,0,1,0,washington post,2010,8,31,20100831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-32734,0,1,0,daily news,2012,5,14,20120514,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-32730,0,0,1,philadelphia inquirer,2012,5,16,20120516,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-17372,0,0,1,new york times,2005,5,20,20050520,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-32732,0,0,1,washington post,2012,5,16,20120516,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-34559,0,0,1,new york times,1974,4,26,19740426,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-39878,0,0,1,palm beach post,1993,2,9,19930209,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-20303,0,0,1,washington post,2006,4,24,20060424,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-39700,0,0,1,st. petersburg times,1993,5,26,19930526,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-39875,0,1,0,washington post,1993,2,10,19930210,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-20300,0,0,1,st. petersburg times,2006,4,24,20060424,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-39873,0,0,1,palm beach post,1993,2,10,19930210,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-30649,0,0,1,new york times,2011,1,21,20110121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-568,0,0,1,atlanta journal and constitution,1995,6,29,19950629,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-565,0,0,1,usa today,1995,6,30,19950630,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-30644,0,0,1,atlanta journal and constitution,2011,1,22,20110122,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-38471,0,0,1,washington post,1992,1,28,19920128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-38476,0,1,0,washington post,1992,1,26,19920126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-18865,0,1,0,new york times,2006,1,19,20060119,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-18861,0,0,1,atlanta journal and constitution,2006,1,19,20060119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-25309,0,0,1,san jose mercury news,2007,8,22,20070822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-28559,0,0,1,new york times,2009,8,15,20090815,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-25304,0,0,1,daily news,2007,8,22,20070822,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-28226,0,0,1,denver post,2009,12,18,20091218,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-28220,0,0,1,new york times,2009,12,22,20091222,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-25301,0,0,1,washington post,2007,8,23,20070823,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-25870,0,0,1,san jose mercury news,2008,2,16,20080216,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-25871,0,0,1,new york times,2008,2,15,20080215,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-15847,0,0,1,denver post,2004,3,4,20040304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-15848,0,0,1,new york times,2004,3,4,20040304,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Immigration1.0-1563,0,0,1,st. petersburg times,1996,2,12,19960212,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-1564,0,0,1,new york times,1996,2,11,19960211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-14134,0,0,1,new york times,2003,4,12,20030412,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Immigration1.0-32861,0,0,1,tampa bay times,2012,4,25,20120425,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-36720,0,1,0,new york times,1987,5,16,19870516,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-31118,0,0,1,atlanta journal and constitution,2011,4,28,20110428,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-36729,0,0,1,new york times,1987,5,8,19870508,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-21556,0,0,1,san jose mercury news,2006,7,25,20060725,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-21552,0,0,1,new york times,2006,7,25,20060725,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-18252,0,0,1,atlanta journal and constitution,2005,11,30,20051130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Immigration1.0-4428,0,1,0,palm beach post,1997,11,21,19971121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-18393,0,0,1,denver post,2005,11,2,20051102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-18390,0,0,1,washington post,2005,11,3,20051103,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-4422,0,0,1,philadelphia inquirer,1997,11,23,19971123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-18395,0,0,1,washington post,2005,11,2,20051102,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-27225,0,0,1,washington post,2008,6,4,20080604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-16400,0,0,1,philadelphia inquirer,2004,12,18,20041218,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-18133,0,0,1,denver post,2005,12,14,20051214,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-27220,0,0,1,washington post,2008,6,5,20080605,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-23025,0,0,1,denver post,2006,12,3,20061203,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-15264,0,0,1,palm beach post,2004,1,16,20040116,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-15267,0,1,0,palm beach post,2004,1,15,20040115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-6353,0,0,1,san jose mercury news,1999,1,2,19990102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-6358,0,1,0,daily news,1999,8,24,19990824,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-12893,0,0,1,denver post,2002,12,24,20021224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-7982,0,0,1,new york times,2000,4,14,20000414,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-8306,0,0,1,herald-sun,2000,7,29,20000729,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-38510,0,0,1,washington post,1992,1,13,19920113,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
