,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti,Explicit,Implicit
gun_control1.0-10748,0,0,0,san jose mercury news,2011,9,8,20110908,0.216736676,0.027458035,0.755805288,0.017272104,0.982727896
gun_control1.0-10749,0,0,1,new york times,2011,9,7,20110907,0.066340796,0.037402198,0.896257006,0.008917729,0.991082271
gun_control1.0-1075,0,1,0,new york times,1991,5,2,19910502,0.174736514,0.185469768,0.639793718,0.213486235,0.786513765
gun_control1.0-10750,0,0,0,st. petersburg times,2011,9,7,20110907,0.441721513,0.02869216,0.529586328,0.955431226,0.044568774
gun_control1.0-10751,0,0,1,usa today,2011,9,7,20110907,0.047281025,0.081681695,0.87103728,0.012041185,0.987958815
gun_control1.0-10752,0,0,1,philadelphia inquirer,2011,9,3,20110903,0.417525558,0.102865535,0.479608907,0.012214141,0.987785859
gun_control1.0-10753,0,0,1,st. petersburg times,2011,9,2,20110902,0.192424978,0.02509267,0.782482353,0.984465986,0.015534014
gun_control1.0-10754,0,0,1,usa today,2011,9,2,20110902,0.394928544,0.096154775,0.508916681,0.030672849,0.969327151
gun_control1.0-10755,0,0,1,st. petersburg times,2011,9,1,20110901,0.179570167,0.14545761,0.674972224,0.002885061,0.997114939
gun_control1.0-10756,0,0,1,palm beach post,2011,8,31,20110831,0.586510537,0.053765482,0.359723981,0.992892681,0.007107319
gun_control1.0-10757,0,0,0,saint paul pioneer press,2011,8,29,20110829,0.110040103,0.070055066,0.819904831,0.005997151,0.994002849
gun_control1.0-10758,0,0,0,st. petersburg times,2011,8,19,20110819,0.425749214,0.192398985,0.3818518,0.046289233,0.953710767
gun_control1.0-10759,0,0,0,st. petersburg times,2011,8,18,20110818,0.884072002,0.063007387,0.052920611,0.997769903,0.002230097
gun_control1.0-10760,0,0,0,daily news,2011,8,15,20110815,0.182739468,0.100743932,0.7165166,0.001068384,0.998931616
gun_control1.0-10761,0,0,1,washington post,2011,8,15,20110815,0.765033854,0.061305647,0.173660499,0.365161925,0.634838075
gun_control1.0-10763,0,0,1,st. petersburg times,2011,8,12,20110812,0.483765101,0.149074106,0.367160793,0.019471611,0.980528389
gun_control1.0-10764,0,0,0,new york times,2011,8,10,20110810,0.302294482,0.120267053,0.577438465,0.014935109,0.985064891
gun_control1.0-10765,0,0,0,usa today,2011,8,9,20110809,0.061452774,0.039850335,0.898696891,0.891916402,0.108083598
gun_control1.0-10766,0,0,1,st. petersburg times,2011,8,5,20110805,0.164267123,0.096696753,0.739036124,0.99223935,0.00776065
gun_control1.0-10767,0,0,1,new york times,2011,8,4,20110804,0.145921201,0.303288876,0.550789923,0.002214673,0.997785327
gun_control1.0-10768,0,0,0,washington post,2011,8,4,20110804,0.09561857,0.062116892,0.842264537,0.004128491,0.995871509
gun_control1.0-1077,0,0,1,usa today,1991,5,2,19910502,0.349841669,0.13876456,0.511393771,0.000970367,0.999029633
gun_control1.0-10771,0,0,0,washington post,2011,7,31,20110731,0.088963557,0.058875357,0.852161086,0.114903827,0.885096173
gun_control1.0-10772,0,0,0,new york times,2011,7,29,20110729,0.043088399,0.064532906,0.892378695,0.630011941,0.369988059
gun_control1.0-10773,1,0,0,st. louis post-dispatch,2011,7,29,20110729,0.608272744,0.05116922,0.340558036,0.995055458,0.004944542
gun_control1.0-10774,0,0,0,new york times,2011,7,24,20110724,0.271456737,0.103171787,0.625371476,0.034228496,0.965771504
gun_control1.0-10776,0,1,0,washington post,2011,7,20,20110720,0.119489394,0.065227088,0.815283518,0.00378165,0.99621835
gun_control1.0-10778,0,0,1,washington post,2011,7,17,20110717,0.107595872,0.060719651,0.831684477,0.947094871,0.052905129
gun_control1.0-10779,0,0,1,palm beach post,2011,7,14,20110714,0.269478988,0.103348412,0.6271726,0.069828811,0.930171189
gun_control1.0-1078,0,0,0,washington post,1991,5,2,19910502,0.291107888,0.140226376,0.568665735,0.049085077,0.950914923
gun_control1.0-10780,0,0,0,san jose mercury news,2011,7,14,20110714,0.283467906,0.093481949,0.623050145,0.022932302,0.977067698
gun_control1.0-10781,0,0,1,st. louis post-dispatch,2011,7,13,20110713,0.553765483,0.13339395,0.312840567,0.995983048,0.004016952
gun_control1.0-10783,0,0,1,washington post,2011,7,12,20110712,0.153290949,0.051866481,0.79484257,0.005112743,0.994887257
gun_control1.0-10784,0,0,0,new york times,2011,7,11,20110711,0.0552129,0.030848697,0.913938403,0.518428487,0.481571513
gun_control1.0-10785,0,0,0,st. louis post-dispatch,2011,7,9,20110709,0.28905586,0.085216852,0.625727288,0.262403921,0.737596079
gun_control1.0-10786,0,0,1,saint paul pioneer press,2011,7,8,20110708,0.400114639,0.176189267,0.423696094,0.121841789,0.878158211
gun_control1.0-10789,0,0,0,washington post,2011,7,8,20110708,0.349987639,0.064086565,0.585925796,0.002274846,0.997725154
gun_control1.0-1079,0,0,0,washington post,1991,5,2,19910502,0.225551789,0.021186508,0.753261703,0.994783898,0.005216102
gun_control1.0-10791,0,0,1,san jose mercury news,2011,7,7,20110707,0.419368331,0.120210694,0.460420975,7.75E-05,0.999922498
gun_control1.0-10792,0,0,0,new york times,2011,7,5,20110705,0.239722725,0.067347162,0.692930113,0.87545583,0.12454417
gun_control1.0-10793,0,0,1,new york times,2011,7,2,20110702,0.209919678,0.072906445,0.717173876,0.997358769,0.002641231
gun_control1.0-10794,0,0,1,washington post,2011,7,2,20110702,0.486750382,0.083885905,0.429363713,0.998657122,0.001342878
gun_control1.0-10796,0,0,0,washington post,2011,6,30,20110630,0.234918113,0.145846674,0.619235213,0.007350557,0.992649443
gun_control1.0-10798,0,0,1,new york times,2011,6,28,20110628,0.102385369,0.056649745,0.840964886,0.007795522,0.992204478
gun_control1.0-108,0,0,1,new york times,1988,8,15,19880815,0.107910663,0.204142135,0.687947202,0.078398636,0.921601364
gun_control1.0-1080,0,0,1,atlanta journal and constitution,1991,5,1,19910501,0.308281378,0.085557234,0.606161388,0.975523047,0.024476953
gun_control1.0-10800,0,0,0,washington post,2011,6,27,20110627,0.199278902,0.049708893,0.751012205,0.197580833,0.802419167
gun_control1.0-10801,0,0,0,st. louis post-dispatch,2011,6,26,20110626,0.487444751,0.182792043,0.329763206,0.003055754,0.996944246
gun_control1.0-10802,0,0,0,washington post,2011,6,22,20110622,0.121868085,0.305377806,0.572754109,0.009774672,0.990225328
gun_control1.0-10804,0,0,1,new york times,2011,6,21,20110621,0.11438262,0.041747744,0.843869636,0.830671664,0.169328336
gun_control1.0-10805,0,0,0,philadelphia inquirer,2011,6,21,20110621,0.73193432,0.182620631,0.08544505,0.005611221,0.994388779
gun_control1.0-10807,0,0,1,new york times,2011,6,16,20110616,0.261873857,0.084449467,0.653676676,0.115968515,0.884031485
gun_control1.0-10809,0,0,1,usa today,2011,6,15,20110615,0.132877766,0.050575472,0.816546762,0.062787606,0.937212394
gun_control1.0-1081,0,0,0,usa today,1991,5,1,19910501,0.196238173,0.382214956,0.421546871,0.000567021,0.999432979
gun_control1.0-10810,0,0,0,daily news,2011,6,14,20110614,0.158596697,0.111435691,0.729967613,0.173841843,0.826158157
gun_control1.0-10811,0,0,1,philadelphia inquirer,2011,6,14,20110614,0.466701388,0.065416989,0.467881622,0.986259369,0.013740631
gun_control1.0-10813,0,0,0,washington post,2011,6,12,20110612,0.235646758,0.017280899,0.747072342,0.998921164,0.001078836
gun_control1.0-10814,0,0,0,denver post,2011,6,11,20110611,0.378414442,0.101023717,0.52056184,0.97557943,0.02442057
gun_control1.0-10815,0,0,0,denver post,2011,6,9,20110609,0.274187094,0.137015993,0.588796913,0.00167385,0.99832615
gun_control1.0-10816,0,0,1,herald-sun,2011,6,8,20110608,0.531184828,0.086457656,0.382357516,0.141679477,0.858320523
gun_control1.0-10817,0,0,0,palm beach post,2011,6,7,20110607,0.293919178,0.162803403,0.543277419,0.001383623,0.998616377
gun_control1.0-10818,0,0,0,st. louis post-dispatch,2011,6,5,20110605,0.098821529,0.057532023,0.843646448,0.06069808,0.93930192
gun_control1.0-10819,0,0,1,daily news,2011,6,4,20110604,0.097761264,0.084145786,0.818092949,0.574680269,0.425319731
gun_control1.0-1082,0,0,0,atlanta journal and constitution,1991,4,30,19910430,0.4078362,0.292241017,0.299922783,0.002798961,0.997201039
gun_control1.0-10821,0,0,1,st. petersburg times,2011,6,3,20110603,0.034241817,0.221538382,0.744219801,0.006464898,0.993535102
gun_control1.0-10822,0,0,1,saint paul pioneer press,2011,6,2,20110602,0.208547544,0.138935555,0.652516901,0.196972751,0.803027249
gun_control1.0-10823,1,0,0,st. petersburg times,2011,6,1,20110601,0.336048783,0.087092558,0.576858658,0.322619161,0.677380839
gun_control1.0-10824,0,0,1,herald-sun,2011,5,31,20110531,0.658504464,0.051455392,0.290040145,0.975568858,0.024431142
gun_control1.0-10825,0,0,1,st. petersburg times,2011,5,31,20110531,0.760193469,0.052741168,0.187065363,0.911374062,0.088625938
gun_control1.0-10826,0,0,1,st. petersburg times,2011,5,28,20110528,0.055149251,0.023520651,0.921330098,0.95169773,0.04830227
gun_control1.0-10827,0,0,1,herald-sun,2011,5,26,20110526,0.435750121,0.026907818,0.537342061,0.786320844,0.213679156
gun_control1.0-10828,0,0,1,st. petersburg times,2011,5,25,20110525,0.187558058,0.113484534,0.698957408,0.015803282,0.984196718
gun_control1.0-10829,0,0,0,philadelphia inquirer,2011,5,24,20110524,0.525144206,0.18589221,0.288963585,0.001947047,0.998052953
gun_control1.0-10830,0,0,1,usa today,2011,5,18,20110518,0.731602613,0.046569939,0.221827448,0.684859084,0.315140916
gun_control1.0-10831,0,0,0,new york times,2011,5,17,20110517,0.200914583,0.071425198,0.727660219,0.932294561,0.067705439
gun_control1.0-10832,0,0,1,st. louis post-dispatch,2011,5,17,20110517,0.263935691,0.111574058,0.624490251,0.488618195,0.511381805
gun_control1.0-10833,0,0,1,usa today,2011,5,17,20110517,0.705235065,0.138789002,0.155975932,0.978696165,0.021303835
gun_control1.0-10834,0,0,0,san jose mercury news,2011,5,16,20110516,0.723819098,0.197327327,0.078853575,0.054098713,0.945901287
gun_control1.0-10835,0,0,0,daily news,2011,5,15,20110515,0.267016312,0.113107469,0.619876219,0.17249616,0.82750384
gun_control1.0-10836,0,0,1,st. petersburg times,2011,5,15,20110515,0.143772727,0.039287177,0.816940095,0.898289567,0.101710433
gun_control1.0-10837,0,0,1,usa today,2011,5,13,20110513,0.55643345,0.049398455,0.394168095,0.003592194,0.996407806
gun_control1.0-10838,0,0,0,st. louis post-dispatch,2011,5,12,20110512,0.339594841,0.199660983,0.460744176,0.000859965,0.999140035
gun_control1.0-10839,0,0,1,new york times,2011,5,9,20110509,0.118607387,0.034119724,0.847272889,0.945259085,0.054740915
gun_control1.0-1084,0,0,0,new york times,1991,4,29,19910429,0.088989471,0.193397142,0.717613387,0.003744384,0.996255616
gun_control1.0-10840,0,0,1,st. petersburg times,2011,5,7,20110507,0.187229484,0.062132895,0.750637621,0.911581265,0.088418735
gun_control1.0-10841,0,1,0,philadelphia inquirer,2011,5,3,20110503,0.479428956,0.06871327,0.451857773,0.448629863,0.551370137
gun_control1.0-10842,0,0,0,san jose mercury news,2011,5,2,20110502,0.454970364,0.076041076,0.46898856,0.001425211,0.998574789
gun_control1.0-10843,0,0,1,washington post,2011,5,2,20110502,0.450513751,0.148081083,0.401405167,0.062125201,0.937874799
gun_control1.0-10844,0,0,0,daily news,2011,5,1,20110501,0.191608433,0.096784825,0.711606742,0.001787519,0.998212481
gun_control1.0-10845,0,0,1,new york times,2011,4,30,20110430,0.108598974,0.080127682,0.811273344,0.832972286,0.167027714
gun_control1.0-10846,0,0,1,washington post,2011,4,30,20110430,0.202582036,0.054510676,0.742907288,0.002724723,0.997275277
gun_control1.0-10847,0,0,1,herald-sun,2011,4,29,20110429,0.289977252,0.037902559,0.672120189,0.013815943,0.986184057
gun_control1.0-10848,0,0,0,new york times,2011,4,29,20110429,0.344242833,0.120225594,0.535531573,0.991134164,0.008865836
gun_control1.0-10849,0,0,0,palm beach post,2011,4,29,20110429,0.326978188,0.107282048,0.565739764,0.003775126,0.996224874
gun_control1.0-1085,0,0,0,palm beach post,1991,4,29,19910429,0.224482083,0.207063171,0.568454746,0.003685476,0.996314524
gun_control1.0-10850,0,0,1,st. petersburg times,2011,4,29,20110429,0.560236511,0.078025154,0.361738335,0.017002087,0.982997913
gun_control1.0-10851,0,0,1,saint paul pioneer press,2011,4,28,20110428,0.599409049,0.174584245,0.226006706,0.007564948,0.992435052
gun_control1.0-10852,0,0,0,san jose mercury news,2011,4,27,20110427,0.45430984,0.068575758,0.477114403,0.000408668,0.999591332
gun_control1.0-10853,0,0,1,usa today,2011,4,27,20110427,0.505889948,0.100036756,0.394073296,0.958081754,0.041918246
gun_control1.0-10854,0,0,0,washington post,2011,4,27,20110427,0.342981143,0.085711646,0.57130721,0.90227608,0.09772392
gun_control1.0-10855,0,0,1,usa today,2011,4,25,20110425,0.629070979,0.055309218,0.315619803,0.360037876,0.639962124
gun_control1.0-10856,0,1,0,usa today,2011,4,25,20110425,0.411844387,0.081038778,0.507116834,0.752117797,0.247882203
gun_control1.0-10857,0,0,1,new york times,2011,4,23,20110423,0.067099711,0.033537327,0.899362962,0.967375459,0.032624541
gun_control1.0-10858,0,0,1,palm beach post,2011,4,23,20110423,0.544918543,0.14579217,0.309289287,0.004421176,0.995578824
gun_control1.0-10859,0,0,1,washington post,2011,4,22,20110422,0.03608426,0.062697785,0.901217955,0.883782933,0.116217067
gun_control1.0-1086,0,0,1,usa today,1991,4,29,19910429,0.215645181,0.11913575,0.665219069,0.022063362,0.977936638
gun_control1.0-10860,0,0,1,washington post,2011,4,22,20110422,0.148172364,0.058902275,0.792925361,0.776563435,0.223436565
gun_control1.0-10861,0,0,0,herald-sun,2011,4,21,20110421,0.215226777,0.062116631,0.722656593,0.219514511,0.780485489
gun_control1.0-10862,0,0,1,st. louis post-dispatch,2011,4,21,20110421,0.24759805,0.151151395,0.601250556,0.00452028,0.99547972
gun_control1.0-10863,0,0,0,st. petersburg times,2011,4,21,20110421,0.087408568,0.075716062,0.83687537,0.182860793,0.817139207
gun_control1.0-10864,0,0,0,new york times,2011,4,19,20110419,0.404261477,0.140033365,0.455705158,0.025691055,0.974308945
gun_control1.0-10865,0,0,0,st. louis post-dispatch,2011,4,19,20110419,0.36258422,0.080150847,0.557264933,0.003807287,0.996192713
gun_control1.0-10866,0,0,0,st. petersburg times,2011,4,19,20110419,0.364854744,0.087362425,0.547782832,0.873411025,0.126588975
gun_control1.0-10867,0,0,0,washington post,2011,4,19,20110419,0.305361962,0.11630088,0.578337158,0.003224564,0.996775436
gun_control1.0-10868,0,0,0,saint paul pioneer press,2011,4,18,20110418,0.181877053,0.084271939,0.733851007,0.006238137,0.993761863
gun_control1.0-10869,0,0,0,washington post,2011,4,18,20110418,0.337313173,0.180335601,0.482351225,0.007833021,0.992166979
gun_control1.0-1087,1,0,0,washington post,1991,4,29,19910429,0.103804149,0.075580012,0.82061584,0.014365388,0.985634612
gun_control1.0-10870,0,0,1,new york times,2011,4,15,20110415,0.284923895,0.133540799,0.581535306,0.812934001,0.187065999
gun_control1.0-10871,0,0,1,philadelphia inquirer,2011,4,15,20110415,0.374262195,0.08083742,0.544900385,0.857845556,0.142154444
gun_control1.0-10872,0,0,0,st. petersburg times,2011,4,15,20110415,0.319942322,0.05412576,0.625931918,0.982493421,0.017506579
gun_control1.0-10873,0,0,0,atlanta journal and constitution,2011,4,13,20110413,0.358479317,0.211881446,0.429639237,0.993804173,0.006195827
gun_control1.0-10874,0,0,0,new york times,2011,4,13,20110413,0.376160302,0.134938848,0.48890085,0.967011124,0.032988876
gun_control1.0-10875,0,0,0,usa today,2011,4,13,20110413,0.120176657,0.091792592,0.788030751,0.006476378,0.993523622
gun_control1.0-10876,0,1,0,washington post,2011,4,12,20110412,0.345722627,0.094624186,0.559653186,0.020727524,0.979272476
gun_control1.0-10877,0,1,0,washington post,2011,4,12,20110412,0.605477742,0.098043326,0.296478932,0.38562888,0.61437112
gun_control1.0-10878,0,0,1,washington post,2011,4,12,20110412,0.238487425,0.092181258,0.669331317,0.285153941,0.714846059
gun_control1.0-10879,0,1,0,washington post,2011,4,9,20110409,0.295389232,0.149913914,0.554696854,0.065622657,0.934377343
gun_control1.0-1088,0,0,1,new york times,1991,4,28,19910428,0.064430412,0.130387701,0.805181887,0.08935968,0.91064032
gun_control1.0-10880,0,0,1,herald-sun,2011,4,8,20110408,0.681956943,0.023062868,0.29498019,0.997333363,0.002666637
gun_control1.0-10881,0,0,0,daily news,2011,4,6,20110406,0.478564641,0.211951713,0.309483647,0.010827546,0.989172454
gun_control1.0-10882,0,0,0,new york times,2011,4,6,20110406,0.44400627,0.059401633,0.496592097,0.003477909,0.996522091
gun_control1.0-10883,0,0,1,atlanta journal and constitution,2011,4,3,20110403,0.472936612,0.055793435,0.471269954,0.163759468,0.836240532
gun_control1.0-10884,0,0,1,herald-sun,2011,3,30,20110330,0.220758333,0.055301556,0.723940111,0.956240313,0.043759687
gun_control1.0-10885,0,0,0,usa today,2011,3,30,20110330,0.049285232,0.098673756,0.852041012,0.022636991,0.977363009
gun_control1.0-10886,0,0,0,st. petersburg times,2011,3,29,20110329,0.276222408,0.202778566,0.520999026,0.015228732,0.984771268
gun_control1.0-10887,0,0,0,saint paul pioneer press,2011,3,28,20110328,0.230107311,0.13341198,0.63648071,0.004889789,0.995110211
gun_control1.0-10888,0,0,0,philadelphia inquirer,2011,3,27,20110327,0.379274962,0.158580691,0.462144347,0.004611279,0.995388721
gun_control1.0-10889,0,0,0,denver post,2011,3,23,20110323,0.580512969,0.320347517,0.099139514,0.005136344,0.994863656
gun_control1.0-1089,0,0,0,palm beach post,1991,4,28,19910428,0.066828841,0.133049661,0.800121498,0.004109309,0.995890691
gun_control1.0-10890,0,0,0,new york times,2011,3,20,20110320,0.313765712,0.085996975,0.600237312,0.011330286,0.988669714
gun_control1.0-10891,0,1,0,st. petersburg times,2011,3,20,20110320,0.573918047,0.057085074,0.368996879,0.975995134,0.024004866
gun_control1.0-10893,0,0,0,st. petersburg times,2011,3,18,20110318,0.377397663,0.099146656,0.523455681,0.997220356,0.002779644
gun_control1.0-10894,1,0,0,st. petersburg times,2011,3,18,20110318,0.4838108,0.233035749,0.283153451,0.177709367,0.822290633
gun_control1.0-10895,0,0,1,washington post,2011,3,18,20110318,0.12872592,0.062507164,0.808766917,0.912530497,0.087469503
gun_control1.0-10896,0,0,0,new york times,2011,3,17,20110317,0.081956411,0.040518866,0.877524723,0.167282513,0.832717487
gun_control1.0-10897,0,0,1,philadelphia inquirer,2011,3,17,20110317,0.324949337,0.069280098,0.605770566,0.854759575,0.145240425
gun_control1.0-10898,0,0,1,st. petersburg times,2011,3,17,20110317,0.468339238,0.186901714,0.344759048,0.343523005,0.656476995
gun_control1.0-10899,0,0,1,washington post,2011,3,17,20110317,0.245518529,0.020664173,0.733817299,0.731612965,0.268387035
gun_control1.0-109,0,0,1,palm beach post,1988,8,8,19880808,0.198632836,0.045602019,0.755765144,0.426260783,0.573739217
gun_control1.0-1090,0,0,1,washington post,1991,4,28,19910428,0.093916232,0.154805052,0.751278716,0.020132652,0.979867348
gun_control1.0-10900,0,0,0,daily news,2011,3,16,20110316,0.15252356,0.189547409,0.657929031,0.028744743,0.971255257
gun_control1.0-10901,0,0,0,new york times,2011,3,15,20110315,0.127421876,0.157520869,0.715057255,0.191327823,0.808672177
gun_control1.0-10902,0,0,0,washington post,2011,3,15,20110315,0.291278956,0.308912598,0.399808446,0.013797303,0.986202697
gun_control1.0-10903,0,0,1,washington post,2011,3,15,20110315,0.187869344,0.184393341,0.627737314,0.319451147,0.680548853
gun_control1.0-10904,0,0,0,st. petersburg times,2011,3,14,20110314,0.197928071,0.094570274,0.707501655,0.087026122,0.912973878
gun_control1.0-10905,0,0,0,washington post,2011,3,14,20110314,0.161787432,0.024690559,0.81352201,0.022592045,0.977407955
gun_control1.0-10906,0,0,0,st. louis post-dispatch,2011,3,13,20110313,0.502108388,0.281805171,0.21608644,0.013440139,0.986559861
gun_control1.0-10907,0,0,1,daily news,2011,3,9,20110309,0.224004142,0.107915752,0.668080106,0.444716003,0.555283997
gun_control1.0-10908,0,0,0,st. louis post-dispatch,2011,3,9,20110309,0.489244475,0.191865151,0.318890374,0.003479499,0.996520501
gun_control1.0-10909,0,0,0,daily news,2011,3,3,20110303,0.319940273,0.155930527,0.5241292,0.010344608,0.989655392
gun_control1.0-1091,0,0,0,washington post,1991,4,27,19910427,0.146007679,0.054466095,0.799526227,0.940692559,0.059307441
gun_control1.0-10910,0,0,0,daily news,2011,3,2,20110302,0.195883329,0.074246892,0.729869779,0.219448265,0.780551735
gun_control1.0-10911,0,0,0,denver post,2011,3,2,20110302,0.280451652,0.37788435,0.341663998,0.027917285,0.972082715
gun_control1.0-10912,0,0,1,usa today,2011,3,1,20110301,0.563410394,0.035576588,0.401013018,0.997595125,0.002404875
gun_control1.0-10913,0,0,0,washington post,2011,3,1,20110301,0.391089297,0.070159089,0.538751614,0.004883313,0.995116687
gun_control1.0-10915,0,0,0,st. louis post-dispatch,2011,2,27,20110227,0.414978547,0.071032422,0.513989031,0.081761784,0.918238216
gun_control1.0-10916,0,0,0,denver post,2011,2,26,20110226,0.617767807,0.079883259,0.302348935,0.992731055,0.007268945
gun_control1.0-10917,0,0,0,palm beach post,2011,2,24,20110224,0.437758151,0.173683389,0.38855846,0.264459759,0.735540241
gun_control1.0-10918,0,0,1,washington post,2011,2,23,20110223,0.151266991,0.042931652,0.805801357,0.817782975,0.182217025
gun_control1.0-10919,0,0,0,new york times,2011,2,20,20110220,0.238940127,0.07717999,0.683879883,0.012343146,0.987656854
gun_control1.0-1092,0,0,0,washington post,1991,4,27,19910427,0.059099899,0.046425829,0.894474271,0.000370154,0.999629846
gun_control1.0-10920,0,0,0,new york times,2011,2,20,20110220,0.475186278,0.058039746,0.466773976,0.965920747,0.034079253
gun_control1.0-10921,0,0,1,washington post,2011,2,20,20110220,0.23831244,0.089284741,0.672402819,0.042508589,0.957491411
gun_control1.0-10922,0,0,1,philadelphia inquirer,2011,2,19,20110219,0.089079052,0.028857075,0.882063873,0.006003396,0.993996604
gun_control1.0-10923,0,0,0,san jose mercury news,2011,2,17,20110217,0.264316328,0.188349094,0.547334578,0.001709326,0.998290674
gun_control1.0-10924,0,0,0,washington post,2011,2,12,20110212,0.389519024,0.08579262,0.524688356,0.145688968,0.854311032
gun_control1.0-10925,0,0,0,san jose mercury news,2011,2,9,20110209,0.074543484,0.117025718,0.808430798,0.439423267,0.560576733
gun_control1.0-10926,0,0,1,st. petersburg times,2011,2,9,20110209,0.589876546,0.063619117,0.346504337,0.999327213,0.000672787
gun_control1.0-10927,0,0,0,washington post,2011,2,8,20110208,0.186673134,0.04369827,0.769628597,0.105772037,0.894227963
gun_control1.0-10928,0,0,1,st. louis post-dispatch,2011,2,7,20110207,0.445557503,0.207308234,0.347134263,0.158306433,0.841693567
gun_control1.0-10929,0,0,1,washington post,2011,2,6,20110206,0.253066679,0.280189559,0.466743762,0.021663806,0.978336194
gun_control1.0-1093,0,0,0,new york times,1991,4,26,19910426,0.163149261,0.126202205,0.710648533,0.072093232,0.927906768
gun_control1.0-10930,0,1,0,new york times,2011,2,5,20110205,0.250994362,0.065921805,0.683083833,0.06385075,0.93614925
gun_control1.0-10931,0,0,0,philadelphia inquirer,2011,2,4,20110204,0.476380867,0.071749993,0.451869139,0.000819756,0.999180244
gun_control1.0-10932,0,0,1,washington post,2011,2,3,20110203,0.347667176,0.095482024,0.5568508,0.087487178,0.912512822
gun_control1.0-10933,0,0,0,daily news,2011,2,1,20110201,0.0786081,0.053974119,0.86741778,0.00150097,0.99849903
gun_control1.0-10934,0,0,0,st. petersburg times,2011,2,1,20110201,0.352466186,0.037453653,0.610080162,0.005423195,0.994576805
gun_control1.0-10935,0,0,0,daily news,2011,1,31,20110131,0.025374492,0.029587104,0.945038404,0.014522267,0.985477733
gun_control1.0-10937,0,0,0,new york times,2011,1,31,20110131,0.060768069,0.101779709,0.837452221,0.038347142,0.961652858
gun_control1.0-10938,0,0,0,st. petersburg times,2011,1,31,20110131,0.380176933,0.034081355,0.585741712,0.999376573,0.000623427
gun_control1.0-10939,0,0,0,washington post,2011,1,31,20110131,0.087662628,0.091971185,0.820366187,0.001644124,0.998355876
gun_control1.0-1094,0,0,1,atlanta journal and constitution,1991,4,25,19910425,0.562846501,0.287611124,0.149542375,0.000264868,0.999735132
gun_control1.0-10940,0,0,1,atlanta journal and constitution,2011,1,30,20110130,0.322149033,0.028162927,0.64968804,0.865550306,0.134449694
gun_control1.0-10941,0,0,0,st. petersburg times,2011,1,30,20110130,0.165599648,0.06167986,0.772720491,0.949840803,0.050159197
gun_control1.0-10942,0,0,1,st. petersburg times,2011,1,30,20110130,0.055065975,0.064170608,0.880763417,0.012860793,0.987139207
gun_control1.0-10943,0,0,1,new york times,2011,1,29,20110129,0.177973375,0.213893095,0.60813353,0.052922999,0.947077001
gun_control1.0-10944,0,0,1,st. petersburg times,2011,1,29,20110129,0.69930092,0.054101113,0.246597968,0.977630606,0.022369394
gun_control1.0-10945,0,0,1,denver post,2011,1,28,20110128,0.24741692,0.023447502,0.729135579,0.99997532,2.47E-05
gun_control1.0-10946,0,0,0,washington post,2011,1,28,20110128,0.190147418,0.126767674,0.683084909,0.92126643,0.07873357
gun_control1.0-10947,0,0,1,new york times,2011,1,27,20110127,0.14911808,0.030806869,0.82007505,0.903353584,0.096646416
gun_control1.0-10948,1,0,0,san jose mercury news,2011,1,27,20110127,0.502977051,0.063607559,0.433415389,0.898835548,0.101164452
gun_control1.0-10949,0,0,1,saint paul pioneer press,2011,1,27,20110127,0.491889756,0.126737593,0.381372651,0.012870902,0.987129098
gun_control1.0-1095,0,0,0,atlanta journal and constitution,1991,4,25,19910425,0.138637762,0.087393826,0.773968411,0.022088827,0.977911173
gun_control1.0-10950,0,0,0,washington post,2011,1,27,20110127,0.347638995,0.160026644,0.492334361,0.192684198,0.807315802
gun_control1.0-10951,0,0,0,atlanta journal and constitution,2011,1,26,20110126,0.410226293,0.148858156,0.44091555,0.002603172,0.997396828
gun_control1.0-10952,0,0,1,new york times,2011,1,26,20110126,0.178168575,0.057161645,0.764669781,0.019244516,0.980755484
gun_control1.0-10953,0,0,0,new york times,2011,1,26,20110126,0.275058651,0.103288008,0.621653341,0.024623573,0.975376427
gun_control1.0-10954,0,0,1,new york times,2011,1,26,20110126,0.26814702,0.106175644,0.625677336,0.074436327,0.925563673
gun_control1.0-10955,0,1,0,saint paul pioneer press,2011,1,26,20110126,0.349921181,0.069009036,0.581069783,0.000751993,0.999248007
gun_control1.0-10956,1,0,0,st. petersburg times,2011,1,26,20110126,0.337318874,0.077279535,0.585401591,0.691738461,0.308261539
gun_control1.0-10957,0,0,1,st. petersburg times,2011,1,26,20110126,0.57856839,0.078837033,0.342594576,0.053014066,0.946985934
gun_control1.0-10958,0,0,0,new york times,2011,1,25,20110125,0.140755231,0.081957831,0.777286939,0.065945856,0.934054144
gun_control1.0-10959,0,0,1,new york times,2011,1,25,20110125,0.05345516,0.072454759,0.874090082,0.011717196,0.988282804
gun_control1.0-1096,0,0,1,atlanta journal and constitution,1991,4,25,19910425,0.267447637,0.103861849,0.628690514,0.978311405,0.021688595
gun_control1.0-10960,0,0,0,palm beach post,2011,1,25,20110125,0.356863142,0.090176499,0.552960359,0.106755616,0.893244384
gun_control1.0-10961,0,1,0,denver post,2011,1,24,20110124,0.220280925,0.123781499,0.655937576,0.998592641,0.001407359
gun_control1.0-10962,0,0,1,new york times,2011,1,24,20110124,0.226244808,0.068114502,0.70564069,0.039726216,0.960273784
