,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,primary
same-sex_marriage1.0-1431,0,0,1,san jose mercury news,2004,3,9,20040309,12
same-sex_marriage1.0-1434,0,0,1,washington post,2004,3,9,20040309,4
same-sex_marriage1.0-1006,0,0,1,philadelphia inquirer,2004,2,14,20040214,4
same-sex_marriage1.0-249,0,0,1,new york times,2003,12,14,20031214,3
same-sex_marriage1.0-244,0,0,1,washington post,2003,12,17,20031217,12
same-sex_marriage1.0-243,0,0,1,philadelphia inquirer,2003,12,17,20031217,12
same-sex_marriage1.0-240,0,0,1,washington post,2003,12,21,20031221,5
same-sex_marriage1.0-7330,0,0,1,saint paul pioneer press,2011,7,19,20110719,12
same-sex_marriage1.0-7973,0,0,1,san jose mercury news,2012,2,7,20120207,11
same-sex_marriage1.0-7979,0,0,1,usa today,2012,2,7,20120207,12
same-sex_marriage1.0-2741,0,0,1,san jose mercury news,2005,8,10,20050810,4
same-sex_marriage1.0-4118,0,0,1,philadelphia inquirer,2006,10,29,20061029,12
same-sex_marriage1.0-4449,0,0,1,washington post,2007,6,15,20070615,12
same-sex_marriage1.0-4110,0,0,1,washington post,2006,10,31,20061031,12
same-sex_marriage1.0-2843,0,0,1,philadelphia inquirer,2005,5,31,20050531,9
same-sex_marriage1.0-2841,0,0,1,san jose mercury news,2005,6,1,20050601,5
same-sex_marriage1.0-2840,0,0,1,san jose mercury news,2005,6,2,20050602,12
same-sex_marriage1.0-2844,0,0,1,st. louis post-dispatch,2005,5,29,20050529,4
same-sex_marriage1.0-3463,0,0,1,new york times,2008,6,8,20080608,9
same-sex_marriage1.0-3461,0,0,1,usa today,2008,6,9,20080609,4
same-sex_marriage1.0-2513,0,0,1,new york times,2004,10,19,20041019,2
same-sex_marriage1.0-2516,0,0,1,st. petersburg times,2004,10,19,20041019,2
same-sex_marriage1.0-2519,0,0,1,san jose mercury news,2004,10,17,20041017,4
same-sex_marriage1.0-4667,0,0,1,new york times,2011,6,26,20110626,12
same-sex_marriage1.0-6164,0,0,1,usa today,2009,7,9,20090709,0
same-sex_marriage1.0-6160,0,0,1,new york times,2009,7,11,20090711,11
same-sex_marriage1.0-479,0,0,1,atlanta journal and constitution,2003,8,12,20030812,11
same-sex_marriage1.0-472,0,1,0,washington post,2003,8,14,20030814,11
same-sex_marriage1.0-3815,0,0,1,san jose mercury news,2008,10,24,20081024,2
same-sex_marriage1.0-659,0,1,0,san jose mercury news,2003,6,5,20030605,5
same-sex_marriage1.0-656,0,0,1,san jose mercury news,2003,6,8,20030608,5
same-sex_marriage1.0-652,0,1,0,saint paul pioneer press,2003,6,12,20030612,9
same-sex_marriage1.0-1357,0,0,1,st. petersburg times,2004,3,13,20040313,2
same-sex_marriage1.0-1351,0,0,1,philadelphia inquirer,2004,3,13,20040313,4
same-sex_marriage1.0-1660,0,0,1,st. louis post-dispatch,2004,6,8,20040608,6
same-sex_marriage1.0-4321,0,0,1,new york times,2006,7,7,20060707,12
same-sex_marriage1.0-4322,0,0,1,st. louis post-dispatch,2006,7,7,20060707,4
same-sex_marriage1.0-4323,0,0,1,saint paul pioneer press,2006,7,7,20060707,4
same-sex_marriage1.0-4328,0,0,1,daily news,2006,7,6,20060706,4
same-sex_marriage1.0-10424,0,0,1,san jose mercury news,1998,7,22,19980722,10
same-sex_marriage1.0-4480,0,0,1,washington post,2007,4,27,20070427,2
same-sex_marriage1.0-5631,0,0,1,saint paul pioneer press,2009,6,19,20090619,5
same-sex_marriage1.0-5630,0,0,1,washington post,2009,6,21,20090621,12
same-sex_marriage1.0-5181,0,0,1,new york times,2008,5,24,20080524,11
same-sex_marriage1.0-4487,0,0,1,usa today,2007,4,23,20070423,2
same-sex_marriage1.0-4486,0,0,1,new york times,2007,4,23,20070423,12
same-sex_marriage1.0-6982,0,1,0,washington post,2011,3,10,20110310,12
same-sex_marriage1.0-6980,0,1,0,washington post,2011,3,11,20110311,12
same-sex_marriage1.0-6984,0,0,1,new york times,2011,3,9,20110309,12
same-sex_marriage1.0-6988,0,1,0,new york times,2011,3,8,20110308,4
same-sex_marriage1.0-4580,0,0,1,philadelphia inquirer,2007,1,12,20070112,2
same-sex_marriage1.0-4853,0,0,1,new york times,2011,5,9,20110509,12
same-sex_marriage1.0-4585,0,0,1,new york times,2007,1,3,20070103,12
same-sex_marriage1.0-4854,0,0,1,new york times,2011,5,9,20110509,4
same-sex_marriage1.0-4587,0,0,1,saint paul pioneer press,2007,1,3,20070103,12
same-sex_marriage1.0-4858,0,1,0,new york times,2011,5,8,20110508,10
same-sex_marriage1.0-5454,0,0,1,san jose mercury news,2008,10,31,20081031,3
same-sex_marriage1.0-5450,0,0,1,san jose mercury news,2008,11,1,20081101,3
same-sex_marriage1.0-5981,0,0,1,washington post,2009,12,5,20091205,2
same-sex_marriage1.0-5459,0,0,1,new york times,2008,10,30,20081030,12
same-sex_marriage1.0-5458,0,0,1,st. petersburg times,2008,10,31,20081031,5
same-sex_marriage1.0-5989,0,0,1,daily news,2009,12,3,20091203,12
same-sex_marriage1.0-8115,0,0,1,new york times,2012,6,9,20120609,3
same-sex_marriage1.0-3671,0,0,1,new york times,2008,12,20,20081220,4
same-sex_marriage1.0-8119,0,0,1,new york times,2012,6,7,20120607,11
same-sex_marriage1.0-3589,0,0,1,new york times,2008,4,20,20080420,9
same-sex_marriage1.0-3587,0,0,1,saint paul pioneer press,2008,4,26,20080426,2
same-sex_marriage1.0-6625,0,0,1,new york times,2011,6,30,20110630,6
same-sex_marriage1.0-3583,0,0,1,denver post,2008,5,7,20080507,5
same-sex_marriage1.0-6624,0,0,1,new york times,2011,6,30,20110630,5
same-sex_marriage1.0-449,0,0,1,denver post,2003,8,25,20030825,12
same-sex_marriage1.0-9806,0,0,1,atlanta journal and constitution,1993,7,12,19930712,12
same-sex_marriage1.0-2986,0,0,1,denver post,2005,2,11,20050211,12
same-sex_marriage1.0-2983,0,0,1,new york times,2005,2,12,20050212,6
same-sex_marriage1.0-2981,0,0,1,washington post,2005,2,13,20050213,12
same-sex_marriage1.0-7178,0,1,0,st. louis post-dispatch,2011,10,1,20111001,7
same-sex_marriage1.0-7172,0,0,1,new york times,2011,10,5,20111005,2
same-sex_marriage1.0-1412,0,0,1,washington post,2004,3,10,20040310,12
same-sex_marriage1.0-8808,0,0,1,san jose mercury news,2012,12,8,20121208,11
same-sex_marriage1.0-8805,0,0,1,new york times,2012,12,8,20121208,4
same-sex_marriage1.0-3854,0,1,0,new york times,2008,10,11,20081011,3
same-sex_marriage1.0-7359,0,0,1,washington post,2011,7,12,20110712,11
same-sex_marriage1.0-2188,0,0,1,palm beach post,2004,7,19,20040719,12
same-sex_marriage1.0-2186,0,1,0,washington post,2004,7,21,20040721,12
same-sex_marriage1.0-2182,0,0,1,st. louis post-dispatch,2004,7,22,20040722,5
same-sex_marriage1.0-2180,0,0,1,denver post,2004,7,22,20040722,5
same-sex_marriage1.0-10968,0,1,0,atlanta journal and constitution,2000,2,14,20000214,2
same-sex_marriage1.0-10969,0,0,1,denver post,2000,2,14,20000214,9
same-sex_marriage1.0-1988,0,0,1,new york times,2004,9,24,20040924,4
same-sex_marriage1.0-10962,0,0,1,herald-sun,2000,2,21,20000221,2
same-sex_marriage1.0-10964,0,1,0,st. petersburg times,2000,2,19,20000219,2
same-sex_marriage1.0-1633,0,0,1,philadelphia inquirer,2004,6,18,20040618,4
same-sex_marriage1.0-10967,0,0,1,daily news,2000,2,17,20000217,12
same-sex_marriage1.0-8751,0,0,1,tampa bay times,2012,12,16,20121216,4
same-sex_marriage1.0-2728,0,1,0,washington post,2005,8,25,20050825,12
same-sex_marriage1.0-2720,0,0,1,san jose mercury news,2005,9,2,20050902,12
same-sex_marriage1.0-10631,0,0,1,washington post,1997,3,20,19970320,5
same-sex_marriage1.0-10633,0,0,1,denver post,1997,3,14,19970314,12
same-sex_marriage1.0-10634,0,0,1,saint paul pioneer press,1997,3,14,19970314,12
same-sex_marriage1.0-10639,0,0,1,denver post,1997,3,11,19970311,12
same-sex_marriage1.0-1187,0,0,1,new york times,2004,3,31,20040331,4
same-sex_marriage1.0-6406,0,0,1,new york times,2010,7,9,20100709,4
same-sex_marriage1.0-1189,0,0,1,philadelphia inquirer,2004,3,31,20040331,12
same-sex_marriage1.0-6400,0,0,1,new york times,2010,7,10,20100710,4
same-sex_marriage1.0-4570,0,0,1,st. louis post-dispatch,2007,2,11,20070211,12
same-sex_marriage1.0-227,0,0,1,atlanta journal and constitution,2003,12,29,20031229,11
same-sex_marriage1.0-192,0,0,1,philadelphia inquirer,2001,3,17,20010317,12
same-sex_marriage1.0-198,0,0,1,herald-sun,2001,3,15,20010315,2
same-sex_marriage1.0-7913,0,1,0,new york times,2012,2,14,20120214,12
same-sex_marriage1.0-7911,0,1,0,washington post,2012,2,15,20120215,12
same-sex_marriage1.0-9182,0,0,1,new york times,2012,11,9,20121109,12
same-sex_marriage1.0-9186,0,0,1,san jose mercury news,2012,11,9,20121109,4
same-sex_marriage1.0-5848,0,0,1,denver post,2009,4,5,20090405,11
same-sex_marriage1.0-5842,0,0,1,washington post,2009,4,8,20090408,4
same-sex_marriage1.0-5843,0,0,1,atlanta journal and constitution,2009,4,7,20090407,12
same-sex_marriage1.0-5841,0,0,1,washington post,2009,4,8,20090408,13
same-sex_marriage1.0-5847,0,0,1,atlanta journal and constitution,2009,4,5,20090405,4
same-sex_marriage1.0-4463,0,0,1,st. louis post-dispatch,2007,5,23,20070523,5
same-sex_marriage1.0-9981,0,0,1,atlanta journal and constitution,1996,9,23,19960923,12
same-sex_marriage1.0-4466,0,1,0,new york times,2007,5,20,20070520,4
same-sex_marriage1.0-4465,0,0,1,st. louis post-dispatch,2007,5,22,20070522,5
same-sex_marriage1.0-10398,0,0,1,philadelphia inquirer,1998,9,26,19980926,2
same-sex_marriage1.0-10397,0,0,1,st. louis post-dispatch,1998,10,5,19981005,0
same-sex_marriage1.0-10394,0,1,0,san jose mercury news,1998,10,12,19981012,2
same-sex_marriage1.0-10390,0,0,1,herald-sun,1998,10,13,19981013,2
same-sex_marriage1.0-3110,0,0,1,new york times,2006,6,8,20060608,12
same-sex_marriage1.0-3116,0,0,1,san jose mercury news,2006,6,8,20060608,12
same-sex_marriage1.0-3117,0,0,1,st. louis post-dispatch,2006,6,8,20060608,4
same-sex_marriage1.0-2222,0,0,1,st. louis post-dispatch,2004,7,15,20040715,12
same-sex_marriage1.0-2532,0,0,1,new york times,2004,10,14,20041014,0
same-sex_marriage1.0-2531,0,0,1,daily news,2004,10,14,20041014,12
same-sex_marriage1.0-1936,0,0,1,atlanta journal and constitution,2004,4,5,20040405,4
same-sex_marriage1.0-2228,0,1,0,washington post,2004,7,15,20040715,12
same-sex_marriage1.0-419,0,0,1,daily news,2003,9,24,20030924,12
same-sex_marriage1.0-418,0,0,1,new york times,2003,9,25,20030925,12
same-sex_marriage1.0-411,0,0,1,herald-sun,2003,9,28,20030928,2
same-sex_marriage1.0-11115,0,0,1,atlanta journal and constitution,1999,6,19,19990619,4
same-sex_marriage1.0-11112,0,0,1,san jose mercury news,1999,7,8,19990708,0
same-sex_marriage1.0-11113,0,1,0,washington post,1999,6,30,19990630,2
same-sex_marriage1.0-11110,0,0,1,san jose mercury news,1999,7,17,19990717,2
same-sex_marriage1.0-11111,0,0,1,saint paul pioneer press,1999,7,9,19990709,4
same-sex_marriage1.0-11119,0,0,1,new york times,1999,6,11,19990611,2
same-sex_marriage1.0-9801,0,0,1,atlanta journal and constitution,1993,7,15,19930715,12
same-sex_marriage1.0-4526,0,0,1,san jose mercury news,2007,3,8,20070308,12
same-sex_marriage1.0-4527,0,0,1,saint paul pioneer press,2007,3,7,20070307,4
same-sex_marriage1.0-10887,0,0,1,new york times,2000,3,30,20000330,2
same-sex_marriage1.0-5341,0,0,1,washington post,2008,12,13,20081213,2
same-sex_marriage1.0-1268,0,0,1,atlanta journal and constitution,2004,3,22,20040322,0
same-sex_marriage1.0-5345,0,0,1,st. louis post-dispatch,2008,12,11,20081211,11
same-sex_marriage1.0-1376,0,0,1,philadelphia inquirer,2004,3,12,20040312,5
same-sex_marriage1.0-1370,0,0,1,new york times,2004,3,12,20040312,12
same-sex_marriage1.0-1371,0,0,1,new york times,2004,3,12,20040312,12
same-sex_marriage1.0-10409,0,0,1,denver post,1998,8,12,19980812,2
same-sex_marriage1.0-10407,0,0,1,st. petersburg times,1998,8,15,19980815,2
same-sex_marriage1.0-10405,0,0,1,philadelphia inquirer,1998,8,15,19980815,4
same-sex_marriage1.0-10404,0,0,1,herald-sun,1998,8,17,19980817,2
same-sex_marriage1.0-6555,0,0,1,san jose mercury news,2010,1,24,20100124,4
same-sex_marriage1.0-8568,0,0,1,new york times,2012,9,13,20120913,10
same-sex_marriage1.0-1105,0,0,1,washington post,2004,2,6,20040206,4
same-sex_marriage1.0-5615,0,0,1,daily news,2009,6,29,20090629,3
same-sex_marriage1.0-5612,0,0,1,san jose mercury news,2008,7,2,20080702,4
same-sex_marriage1.0-2157,0,0,1,st. louis post-dispatch,2004,7,27,20040727,4
same-sex_marriage1.0-3618,0,0,1,philadelphia inquirer,2008,3,12,20080312,4
same-sex_marriage1.0-8175,0,0,1,herald-sun,2012,5,26,20120526,2
same-sex_marriage1.0-3614,0,0,1,new york times,2008,3,17,20080317,4
same-sex_marriage1.0-3616,0,0,1,st. petersburg times,2008,3,16,20080316,9
same-sex_marriage1.0-5479,0,1,0,san jose mercury news,2008,10,23,20081023,3
same-sex_marriage1.0-5474,0,0,1,new york times,2008,10,24,20081024,9
same-sex_marriage1.0-56,0,0,1,st. petersburg times,2002,6,27,20020627,4
same-sex_marriage1.0-57,0,0,1,atlanta journal and constitution,2002,6,26,20020626,0
same-sex_marriage1.0-4879,0,0,1,daily news,2011,5,1,20110501,12
same-sex_marriage1.0-4870,0,0,1,daily news,2011,5,4,20110504,12
same-sex_marriage1.0-4871,0,0,1,new york times,2011,5,4,20110504,4
same-sex_marriage1.0-4874,0,0,1,washington post,2011,5,4,20110504,4
same-sex_marriage1.0-4876,0,0,1,new york times,2011,5,3,20110503,0
same-sex_marriage1.0-4877,0,0,1,saint paul pioneer press,2011,5,2,20110502,12
same-sex_marriage1.0-4702,0,0,1,new york times,2011,6,24,20110624,12
same-sex_marriage1.0-4701,0,0,1,new york times,2011,6,24,20110624,3
same-sex_marriage1.0-4706,0,0,1,new york times,2011,6,24,20110624,12
same-sex_marriage1.0-4704,0,0,1,new york times,2011,6,24,20110624,12
same-sex_marriage1.0-7116,0,0,1,san jose mercury news,2011,11,27,20111127,4
same-sex_marriage1.0-7117,0,0,1,st. louis post-dispatch,2011,11,25,20111125,12
same-sex_marriage1.0-7114,0,0,1,new york times,2011,11,29,20111129,10
same-sex_marriage1.0-7110,0,0,1,herald-sun,2011,12,2,20111202,12
same-sex_marriage1.0-7111,0,0,1,new york times,2011,12,2,20111202,12
same-sex_marriage1.0-9424,0,0,1,palm beach post,1990,9,5,19900905,11
same-sex_marriage1.0-8823,0,0,1,san jose mercury news,2012,12,6,20121206,4
same-sex_marriage1.0-10188,0,0,1,san jose mercury news,1996,5,24,19960524,8
same-sex_marriage1.0-10182,0,0,1,san jose mercury news,1996,5,26,19960526,5
same-sex_marriage1.0-10180,0,0,1,san jose mercury news,1996,5,28,19960528,4
same-sex_marriage1.0-10181,0,0,1,new york times,1996,5,27,19960527,12
same-sex_marriage1.0-6641,0,1,0,philadelphia inquirer,2011,6,29,20110629,12
same-sex_marriage1.0-10983,0,0,1,new york times,2000,2,6,20000206,12
same-sex_marriage1.0-10987,0,0,1,san jose mercury news,2000,2,2,20000202,2
same-sex_marriage1.0-10984,0,0,1,washington post,2000,2,6,20000206,11
same-sex_marriage1.0-1619,0,0,1,washington post,2004,6,24,20040624,10
same-sex_marriage1.0-6252,0,0,1,usa today,2010,10,5,20101005,11
same-sex_marriage1.0-2701,0,0,1,new york times,2005,9,8,20050908,12
same-sex_marriage1.0-2709,0,0,1,new york times,2005,9,7,20050907,12
same-sex_marriage1.0-6393,0,0,1,washington post,2010,7,16,20100716,4
same-sex_marriage1.0-6469,0,0,1,washington post,2010,4,29,20100429,12
same-sex_marriage1.0-6399,0,0,1,washington post,2010,7,13,20100713,4
same-sex_marriage1.0-6398,0,0,1,usa today,2010,7,14,20100714,4
same-sex_marriage1.0-759,0,0,1,st. louis post-dispatch,2004,2,28,20040228,12
same-sex_marriage1.0-208,0,0,1,st. petersburg times,2001,2,25,20010225,2
same-sex_marriage1.0-207,0,1,0,atlanta journal and constitution,2001,2,25,20010225,2
same-sex_marriage1.0-205,0,0,1,daily news,2001,3,1,20010301,12
same-sex_marriage1.0-8485,0,0,1,usa today,2012,5,9,20120509,4
same-sex_marriage1.0-8487,0,0,1,washington post,2012,5,9,20120509,11
same-sex_marriage1.0-8480,0,0,1,san jose mercury news,2012,5,9,20120509,12
same-sex_marriage1.0-8483,0,0,1,saint paul pioneer press,2012,5,9,20120509,12
same-sex_marriage1.0-8482,0,0,1,san jose mercury news,2012,5,9,20120509,12
same-sex_marriage1.0-5285,0,0,1,san jose mercury news,2008,3,5,20080305,4
same-sex_marriage1.0-5286,0,0,1,san jose mercury news,2008,3,4,20080304,4
same-sex_marriage1.0-5280,0,0,1,san jose mercury news,2008,3,7,20080307,4
same-sex_marriage1.0-5281,0,0,1,new york times,2008,3,6,20080306,4
same-sex_marriage1.0-3828,0,1,0,st. petersburg times,2008,10,20,20081020,2
same-sex_marriage1.0-7932,0,0,1,washington post,2012,2,11,20120211,2
same-sex_marriage1.0-5860,0,0,1,usa today,2009,3,26,20090326,5
same-sex_marriage1.0-5861,0,0,1,new york times,2009,3,24,20090324,12
same-sex_marriage1.0-5863,0,0,1,new york times,2009,3,23,20090323,9
same-sex_marriage1.0-5865,0,0,1,new york times,2009,3,21,20090321,12
same-sex_marriage1.0-10218,0,0,1,herald-sun,1996,5,17,19960517,2
same-sex_marriage1.0-10210,0,0,1,st. louis post-dispatch,1996,5,20,19960520,4
same-sex_marriage1.0-10211,0,0,1,st. louis post-dispatch,1996,5,20,19960520,12
same-sex_marriage1.0-10217,0,0,1,atlanta journal and constitution,1996,5,17,19960517,12
same-sex_marriage1.0-10371,0,1,0,herald-sun,1998,11,17,19981117,2
same-sex_marriage1.0-10373,0,1,0,herald-sun,1998,11,14,19981114,2
same-sex_marriage1.0-10374,0,0,1,new york times,1998,11,14,19981114,9
same-sex_marriage1.0-3425,0,0,1,st. louis post-dispatch,2008,6,18,20080618,9
same-sex_marriage1.0-3422,0,0,1,san jose mercury news,2008,6,18,20080618,11
same-sex_marriage1.0-3420,0,0,1,new york times,2008,6,18,20080618,9
same-sex_marriage1.0-3133,0,0,1,usa today,2006,6,7,20060607,5
same-sex_marriage1.0-438,0,0,1,herald-sun,2003,8,30,20030830,2
same-sex_marriage1.0-7258,0,0,1,new york times,2011,7,26,20110726,4
same-sex_marriage1.0-7708,0,0,1,new york times,2012,1,10,20120110,12
same-sex_marriage1.0-2558,0,1,0,denver post,2004,10,3,20041003,2
same-sex_marriage1.0-7251,0,0,1,daily news,2011,7,26,20110726,4
same-sex_marriage1.0-7250,0,0,1,new york times,2011,7,27,20110727,8
same-sex_marriage1.0-7707,0,0,1,philadelphia inquirer,2012,1,13,20120113,12
same-sex_marriage1.0-11139,0,0,1,san jose mercury news,1999,3,20,19990320,2
same-sex_marriage1.0-11131,0,0,1,st. louis post-dispatch,1999,3,27,19990327,2
same-sex_marriage1.0-11134,0,0,1,new york times,1999,3,25,19990325,2
same-sex_marriage1.0-10066,0,0,1,st. petersburg times,1996,7,25,19960725,9
same-sex_marriage1.0-2565,0,0,1,new york times,2004,10,1,20041001,12
same-sex_marriage1.0-10063,0,0,1,washington post,1996,7,27,19960727,12
same-sex_marriage1.0-6072,0,0,1,washington post,2009,11,1,20091101,0
same-sex_marriage1.0-6071,0,0,1,new york times,2009,11,1,20091101,4
same-sex_marriage1.0-6076,0,0,1,new york times,2009,10,28,20091028,12
same-sex_marriage1.0-6077,0,0,1,new york times,2009,10,27,20091027,4
same-sex_marriage1.0-6074,0,0,1,washington post,2009,10,30,20091030,2
same-sex_marriage1.0-6075,0,1,0,washington post,2009,10,29,20091029,2
same-sex_marriage1.0-1392,0,0,1,philadelphia inquirer,2004,3,11,20040311,4
same-sex_marriage1.0-1390,0,0,1,new york times,2004,3,11,20040311,4
same-sex_marriage1.0-1391,0,0,1,philadelphia inquirer,2004,3,11,20040311,4
same-sex_marriage1.0-1396,0,0,1,washington post,2004,3,11,20040311,12
same-sex_marriage1.0-8865,0,0,1,washington post,2012,11,12,20121112,11
same-sex_marriage1.0-1398,0,0,1,atlanta journal and constitution,2004,3,10,20040310,4
same-sex_marriage1.0-696,0,0,1,herald-sun,2003,3,11,20030311,8
same-sex_marriage1.0-6608,0,0,1,philadelphia inquirer,2010,1,8,20100108,12
same-sex_marriage1.0-4427,0,0,1,washington post,2007,6,30,20070630,4
same-sex_marriage1.0-4426,0,0,1,washington post,2007,7,1,20070701,12
same-sex_marriage1.0-6605,0,0,1,san jose mercury news,2010,1,9,20100109,4
same-sex_marriage1.0-4424,0,0,1,st. louis post-dispatch,2007,7,2,20070702,9
same-sex_marriage1.0-4423,0,0,1,washington post,2007,7,5,20070705,11
same-sex_marriage1.0-6607,0,1,0,new york times,2010,1,8,20100108,12
same-sex_marriage1.0-6601,0,0,1,atlanta journal and constitution,2010,1,10,20100110,4
same-sex_marriage1.0-8545,0,0,1,washington post,2012,9,22,20120922,2
same-sex_marriage1.0-8549,0,1,0,san jose mercury news,2012,9,19,20120919,12
same-sex_marriage1.0-6602,0,0,1,philadelphia inquirer,2010,1,10,20100110,5
same-sex_marriage1.0-5407,0,1,0,washington post,2008,11,11,20081111,4
same-sex_marriage1.0-5678,0,0,1,san jose mercury news,2009,5,31,20090531,4
same-sex_marriage1.0-5675,0,0,1,herald-sun,2009,5,31,20090531,12
same-sex_marriage1.0-5677,0,0,1,philadelphia inquirer,2009,5,31,20090531,4
same-sex_marriage1.0-5676,0,0,1,new york times,2009,5,31,20090531,9
same-sex_marriage1.0-5671,0,0,1,washington post,2009,6,2,20090602,12
same-sex_marriage1.0-5672,0,0,1,atlanta journal and constitution,2009,6,1,20090601,12
same-sex_marriage1.0-3633,0,0,1,new york times,2008,2,24,20080224,3
same-sex_marriage1.0-8157,0,0,1,usa today,2012,6,1,20120601,4
same-sex_marriage1.0-3635,0,0,1,new york times,2008,2,20,20080220,3
same-sex_marriage1.0-8154,0,1,0,st. louis post-dispatch,2012,6,1,20120601,4
same-sex_marriage1.0-8159,0,0,1,new york times,2012,5,31,20120531,4
same-sex_marriage1.0-2664,0,0,1,new york times,2005,9,25,20050925,4
same-sex_marriage1.0-5490,0,0,1,new york times,2008,10,19,20081019,9
same-sex_marriage1.0-5492,0,0,1,san jose mercury news,2008,10,19,20081019,11
same-sex_marriage1.0-5496,0,0,1,san jose mercury news,2008,10,18,20081018,5
same-sex_marriage1.0-5499,0,0,1,san jose mercury news,2008,10,16,20081016,0
same-sex_marriage1.0-2030,0,0,1,atlanta journal and constitution,2004,9,1,20040901,0
same-sex_marriage1.0-9399,0,0,1,palm beach post,1990,10,10,19901010,2
same-sex_marriage1.0-4814,0,0,1,washington post,2011,5,24,20110524,11
same-sex_marriage1.0-4812,0,0,1,saint paul pioneer press,2011,5,25,20110525,2
same-sex_marriage1.0-9397,0,0,1,palm beach post,1990,10,11,19901011,12
same-sex_marriage1.0-5052,0,1,0,washington post,2011,1,9,20110109,10
same-sex_marriage1.0-5507,0,0,1,st. petersburg times,2008,10,15,20081015,11
same-sex_marriage1.0-3099,0,0,1,philadelphia inquirer,2006,6,11,20060611,12
same-sex_marriage1.0-3098,0,0,1,palm beach post,2006,6,11,20060611,12
same-sex_marriage1.0-3096,0,0,1,denver post,2006,6,11,20060611,2
same-sex_marriage1.0-3092,0,0,1,philadelphia inquirer,2006,6,13,20060613,12
same-sex_marriage1.0-3090,0,0,1,philadelphia inquirer,2006,6,14,20060614,5
same-sex_marriage1.0-4722,0,1,0,daily news,2011,6,21,20110621,10
same-sex_marriage1.0-4723,0,0,1,daily news,2011,6,21,20110621,12
same-sex_marriage1.0-4725,0,0,1,new york times,2011,6,21,20110621,12
same-sex_marriage1.0-4726,0,0,1,washington post,2011,6,21,20110621,12
same-sex_marriage1.0-4729,0,0,1,daily news,2011,6,20,20110620,11
same-sex_marriage1.0-7130,0,0,1,san jose mercury news,2011,11,16,20111116,4
same-sex_marriage1.0-7131,0,0,1,new york times,2011,11,15,20111115,2
same-sex_marriage1.0-2944,0,0,1,washington post,2005,3,15,20050315,4
same-sex_marriage1.0-7139,0,0,1,new york times,2011,11,3,20111103,12
same-sex_marriage1.0-7390,0,0,1,washington post,2011,7,3,20110703,10
same-sex_marriage1.0-7396,0,1,0,washington post,2011,7,2,20110702,2
same-sex_marriage1.0-8846,0,0,1,washington post,2012,11,28,20121128,11
same-sex_marriage1.0-8841,0,0,1,denver post,2012,11,29,20121129,12
same-sex_marriage1.0-3890,0,0,1,st. petersburg times,2008,9,9,20080909,11
same-sex_marriage1.0-8848,0,0,1,san jose mercury news,2012,11,27,20121127,1
same-sex_marriage1.0-3898,0,0,1,saint paul pioneer press,2008,8,29,20080829,9
same-sex_marriage1.0-4518,0,0,1,usa today,2007,3,14,20070314,9
same-sex_marriage1.0-9356,0,0,1,usa today,1990,11,29,19901129,10
same-sex_marriage1.0-1947,0,0,1,atlanta journal and constitution,2004,4,2,20040402,12
same-sex_marriage1.0-1946,0,0,1,atlanta journal and constitution,2004,4,2,20040402,3
same-sex_marriage1.0-1945,0,0,1,saint paul pioneer press,2004,4,3,20040403,12
same-sex_marriage1.0-6664,0,0,1,daily news,2011,6,27,20110627,2
same-sex_marriage1.0-6661,0,1,0,daily news,2011,6,27,20110627,12
same-sex_marriage1.0-6669,0,0,1,new york times,2011,6,27,20110627,12
same-sex_marriage1.0-6668,0,0,1,new york times,2011,6,27,20110627,4
same-sex_marriage1.0-2766,0,0,1,new york times,2005,7,13,20050713,4
same-sex_marriage1.0-590,0,0,1,washington post,2003,7,5,20030705,4
same-sex_marriage1.0-591,0,0,1,denver post,2003,7,4,20030704,11
same-sex_marriage1.0-2768,0,0,1,san jose mercury news,2005,7,13,20050713,12
same-sex_marriage1.0-8718,0,1,0,philadelphia inquirer,2012,7,3,20120703,10
same-sex_marriage1.0-8715,0,0,1,daily news,2012,7,6,20120706,12
same-sex_marriage1.0-8714,0,1,0,st. louis post-dispatch,2012,7,7,20120707,2
same-sex_marriage1.0-8717,0,0,1,saint paul pioneer press,2012,7,4,20120704,4
same-sex_marriage1.0-8716,0,0,1,san jose mercury news,2012,7,6,20120706,10
same-sex_marriage1.0-8713,0,0,1,new york times,2012,7,7,20120707,4
same-sex_marriage1.0-8712,0,0,1,daily news,2012,7,7,20120707,4
same-sex_marriage1.0-1495,0,0,1,atlanta journal and constitution,2004,3,5,20040305,12
same-sex_marriage1.0-6447,0,0,1,atlanta journal and constitution,2010,6,9,20100609,12
same-sex_marriage1.0-771,0,0,1,philadelphia inquirer,2004,2,27,20040227,12
same-sex_marriage1.0-1238,0,0,1,saint paul pioneer press,2004,3,25,20040325,12
same-sex_marriage1.0-1231,0,0,1,herald-sun,2004,3,25,20040325,11
same-sex_marriage1.0-1230,0,0,1,denver post,2004,3,25,20040325,5
same-sex_marriage1.0-1232,0,0,1,new york times,2004,3,25,20040325,4
same-sex_marriage1.0-1234,0,0,1,philadelphia inquirer,2004,3,25,20040325,10
same-sex_marriage1.0-1237,0,0,1,saint paul pioneer press,2004,3,25,20040325,4
same-sex_marriage1.0-1236,0,0,1,saint paul pioneer press,2004,3,25,20040325,12
same-sex_marriage1.0-9001,0,0,1,denver post,2012,10,12,20121012,12
