,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
same-sex_marriage1.0-2381,0,0,0,washington post,2004,11,20,20041120,0.633998917,0.205834768,0.160166315,0.013276079,0.000842465,0.02595173,0.242049969,0.047722553,0.002939473,0.002160861,0.00087688,0.001723496,0.034706187,0.005415175,0.013765363,0.606772565,0.001797204,0
same-sex_marriage1.0-2382,0,1,0,philadelphia inquirer,2004,11,19,20041119,0.304630678,0.356339295,0.339030027,0.007465263,0.004034747,0.002478095,0.000487007,0.771147193,0.020686463,0.001063749,0.00059164,0.001349641,0.00211302,0.002667765,0.162749275,0.020906344,0.002259797,0
same-sex_marriage1.0-2383,0,0,1,st. petersburg times,2004,11,19,20041119,0.372933785,0.200230324,0.426835891,0.003816849,0.002074622,0.115815973,0.16102431,0.001846257,0.045032647,0.001242491,0.000692596,0.001203336,0.08172781,0.00503342,0.53378191,0.035593993,0.011113783,0
same-sex_marriage1.0-2384,0,0,0,new york times,2004,11,18,20041118,0.248560584,0.356169534,0.395269882,0.003013687,0.00075963,0.014696407,0.015261944,0.877606039,0.033750139,0.002243602,0.000622827,0.001291279,0.000899717,0.000892014,0.015544336,0.031911215,0.001507164,0
same-sex_marriage1.0-2385,0,0,1,new york times,2004,11,18,20041118,0.481583698,0.184089358,0.334326944,0.02180596,0.005860983,0.033211064,0.080231916,0.073070135,0.037571628,0.01081714,0.001578712,0.012114839,0.653283805,0.011592141,0.015118977,0.02402652,0.019716181,0
same-sex_marriage1.0-2386,0,0,0,atlanta journal and constitution,2004,11,16,20041116,0.481647819,0.154189712,0.364162469,0.011532116,0.000665625,0.012585012,0.015847642,0.900767279,0.020567751,0.005077399,0.002737867,0.001559116,0.010963207,0.002441527,0.008480441,0.00185568,0.004919338,0
same-sex_marriage1.0-2387,0,0,0,atlanta journal and constitution,2004,11,14,20041114,0.759084422,0.109438504,0.131477074,0.014851917,0.011011094,0.398159438,0.018632951,0.020792179,0.035699779,0.011177569,0.000996411,0.003698432,0.09719478,0.261229149,0.021539125,0.10166618,0.003350996,0
same-sex_marriage1.0-2388,0,0,0,herald-sun,2004,11,14,20041114,0.447226392,0.22767604,0.325097567,0.006349147,0.001352865,0.000294838,0.009073559,0.892750324,0.001235045,0.002043305,0.000621255,0.00251725,0.011139659,0.000417588,0.050746952,0.015473686,0.005984526,0
same-sex_marriage1.0-2389,0,0,0,new york times,2004,11,14,20041114,0.35288415,0.285000355,0.362115495,0.003401361,0.000543436,0.006351017,0.009245669,0.305740853,0.000886277,0.000676243,0.002834682,0.00126306,0.003959304,0.009335589,0.652444053,0.000535472,0.002782984,0
same-sex_marriage1.0-2390,0,0,0,new york times,2004,11,14,20041114,0.373413783,0.265380067,0.361206149,0.025316086,0.002146682,0.187733448,0.003207899,0.09743669,0.025461916,0.014829961,0.001814308,0.003151985,0.025459695,0.324246048,0.197786728,0.082559313,0.00884924,0
same-sex_marriage1.0-2391,0,0,1,st. petersburg times,2004,11,14,20041114,0.44931019,0.201736071,0.348953739,0.002500347,0.000638202,0.762508712,0.0475107,0.00044161,0.03709799,0.001477167,0.000539388,0.000747695,0.047776662,0.065634202,0.026123953,0.005784039,0.001219332,0
same-sex_marriage1.0-2392,0,0,0,new york times,2004,11,13,20041113,0.308603079,0.252609601,0.438787319,0.001537247,0.000674374,0.782707982,0.000515064,0.001113403,0.002584571,0.007353369,0.000552925,0.000436534,0.010327682,0.00619692,0.006446814,0.17888457,0.000668547,0
same-sex_marriage1.0-2393,0,0,0,st. louis post-dispatch,2004,11,13,20041113,0.304967212,0.257337851,0.437694937,0.011400445,0.003756916,0.009764477,0.042719179,0.098912845,0.005497042,0.001526034,0.00280144,0.005982015,0.067092331,0.020222267,0.03953047,0.659033815,0.031760725,0
same-sex_marriage1.0-2394,0,0,1,st. petersburg times,2004,11,13,20041113,0.236189389,0.325038637,0.438771973,0.001347492,0.004486561,0.000383445,0.00192573,0.007678063,0.006508849,0.000595712,0.004062241,0.001011661,0.004246698,0.010847563,0.019775027,0.936514165,0.000616794,0
same-sex_marriage1.0-2395,0,0,0,new york times,2004,11,12,20041112,0.329782736,0.257704496,0.412512768,0.00316327,0.001615223,0.002154666,0.008101751,0.889673811,0.00921273,0.004264603,0.000741734,0.000462028,0.007503671,0.015926959,0.00102949,0.054586762,0.001563303,0
same-sex_marriage1.0-2396,0,0,0,saint paul pioneer press,2004,11,12,20041112,0.52718037,0.183105229,0.289714401,0.014577177,0.001050164,0.00027072,0.005406567,0.14186587,0.006968401,0.00163765,0.000693885,0.001755537,0.013378745,0.01134053,0.72244715,0.077838732,0.000768873,0
same-sex_marriage1.0-2397,0,0,1,atlanta journal and constitution,2004,11,11,20041111,0.743478717,0.09939007,0.157131213,0.00359181,0.000776102,0.003029208,0.010616689,0.00281251,0.108401275,0.001708674,0.000655937,0.001458841,0.676457018,0.003187311,0.16951233,0.016354228,0.001438068,0
same-sex_marriage1.0-2398,0,0,1,atlanta journal and constitution,2004,11,10,20041110,0.114156542,0.364195111,0.521648347,0.002577954,0.000587515,0.00209781,0.012871094,0.512872251,0.000434592,0.008174358,0.000438096,0.000536299,0.000169736,0.001011443,0.455160763,0.000374386,0.002693703,0
same-sex_marriage1.0-2399,1,0,0,daily news,2004,11,10,20041110,0.586898205,0.133534951,0.279566844,0.016955655,0.001797741,0.128015874,0.040245309,0.101567886,0.004919783,0.023685341,0.001519394,0.009299296,0.102232284,0.067800378,0.002289475,0.498017386,0.001654197,0
same-sex_marriage1.0-24,0,0,0,washington post,2002,9,15,20020915,0.630572794,0.124961452,0.244465755,0.00154049,0.00638232,0.285147578,0.003604322,0.053629809,0.014419019,0.00192969,0.001535294,0.002147444,0.4473347,0.090222924,0.001454677,0.088162259,0.002489475,0
same-sex_marriage1.0-240,0,0,1,washington post,2003,12,21,20031221,0.529531503,0.266346026,0.204122471,0.009265663,0.001452232,0.001043742,0.057178775,0.241131355,0.506537845,0.000661862,0.001227381,0.000590945,0.017951497,0.002354829,0.024869283,0.128188538,0.007546052,0
same-sex_marriage1.0-2400,0,0,0,herald-sun,2004,11,10,20041110,0.264532505,0.348207265,0.38726023,0.000372341,0.000452536,0.000138266,0.002719736,0.392083597,0.001343154,0.001142839,0.000382469,0.000159886,0.002648589,0.000122194,0.009111442,0.58686419,0.002458761,0
same-sex_marriage1.0-2402,0,0,0,saint paul pioneer press,2004,11,10,20041110,0.39637447,0.267855076,0.335770454,0.008334293,0.008336225,0.743215038,0.004034974,0.08829275,0.002030279,0.010282524,0.001506279,0.001813866,0.007851117,0.011461733,0.067530585,0.044459667,0.000850669,0
same-sex_marriage1.0-2403,0,0,0,san jose mercury news,2004,11,10,20041110,0.228934181,0.378696204,0.392369615,0.004022077,0.000615876,0.001783257,0.004850065,0.437227665,0.000514175,0.001076657,0.000641034,0.004738204,0.004885118,0.006679983,0.011959942,0.519432331,0.001573615,0
same-sex_marriage1.0-2404,0,0,0,st. louis post-dispatch,2004,11,10,20041110,0.378451868,0.155514685,0.466033447,0.012862807,0.005971425,0.000688849,0.099784697,0.000683809,0.006653331,0.004416514,0.000540363,0.002694295,0.002517781,0.044010972,0.752668945,0.061693803,0.004812407,0
same-sex_marriage1.0-2405,0,0,1,atlanta journal and constitution,2004,11,9,20041109,0.240741443,0.163037304,0.596221253,0.001052931,0.002685931,0.008633221,0.032730417,0.712822674,0.106490666,0.002661288,0.000892388,0.007033518,0.00915972,0.003038445,0.083750993,0.017972005,0.011075803,0
same-sex_marriage1.0-2406,0,0,1,denver post,2004,11,9,20041109,0.318919705,0.197355861,0.483724433,0.003299815,0.000851661,0.006181194,0.004197409,0.162763089,0.006934745,0.001770422,0.000913758,0.000557565,0.002283076,0.020450212,0.075220966,0.712638317,0.001937771,0
same-sex_marriage1.0-2407,0,0,0,daily news,2004,11,8,20041108,0.118047692,0.320535672,0.561416635,0.002295831,0.001709818,0.020893641,0.004289447,0.132199101,0.034322768,0.003010624,0.001129744,0.000570209,0.003229977,0.005685452,0.002027327,0.787548429,0.001087632,0
same-sex_marriage1.0-2408,0,0,0,st. louis post-dispatch,2004,11,8,20041108,0.645342351,0.15188531,0.202772339,0.096311361,0.003443424,0.00629566,0.001820049,0.226687102,0.047119609,0.008186022,0.000901022,0.079466983,0.430052271,0.032583879,0.044012327,0.001890673,0.021229619,0
same-sex_marriage1.0-2409,0,0,1,atlanta journal and constitution,2004,11,7,20041107,0.3704445,0.209863877,0.419691623,0.006415454,0.000709833,0.37493852,0.001547603,0.002260421,0.007664825,0.000732086,0.000581999,0.00072264,0.001326962,0.224263127,0.363909498,0.012655493,0.002271537,0
same-sex_marriage1.0-241,0,0,0,new york times,2003,12,19,20031219,0.690350117,0.170967939,0.138681944,0.133108394,0.000868878,0.010595006,0.005546468,0.027232344,0.004366874,0.002348897,0.000556954,0.001763557,0.063867911,0.375618704,0.307509828,0.002794564,0.063821621,0
same-sex_marriage1.0-2410,1,0,0,atlanta journal and constitution,2004,11,7,20041107,0.317441671,0.257084164,0.425474165,0.006529862,0.000709664,0.000107034,0.000143838,0.127759818,0.000487156,0.001310456,0.000513365,0.000402335,0.003323184,0.000450047,0.002963177,0.84392218,0.011377884,0
same-sex_marriage1.0-2411,0,0,0,herald-sun,2004,11,7,20041107,0.35297879,0.278440199,0.368581011,0.002612879,0.000792016,0.004604368,0.002036449,0.071496317,0.002291846,0.001380113,0.000963146,0.001605674,0.013699652,0.02768698,0.031602686,0.83512172,0.004106154,0
same-sex_marriage1.0-2412,0,0,0,new york times,2004,11,7,20041107,0.503879211,0.222146085,0.273974705,0.021675759,0.019770496,0.255414071,0.133719036,0.150860486,0.00236961,0.003404948,0.000939577,0.005775951,0.260770225,0.015022848,0.088270154,0.029289702,0.012717137,0
same-sex_marriage1.0-2413,0,0,0,new york times,2004,11,7,20041107,0.225709513,0.272474082,0.501816405,0.046939545,0.007476502,0.235407727,0.021896524,0.4256422,0.016752103,0.003524459,0.001726405,0.013325316,0.107255623,0.008146531,0.02311064,0.023164131,0.065632294,0
same-sex_marriage1.0-2414,0,0,1,new york times,2004,11,7,20041107,0.603722922,0.190910001,0.205367077,0.003359298,0.002948995,0.050703733,0.599912194,0.112614915,0.007692792,0.002065287,0.000606888,0.004634276,0.009588167,0.010709061,0.149191741,0.014490747,0.031481907,0
same-sex_marriage1.0-2415,0,0,1,new york times,2004,11,7,20041107,0.492792685,0.160175786,0.347031528,0.009838721,0.000755894,0.000549853,0.016476428,0.29047646,0.522832342,0.002264942,0.000741247,0.006957105,0.08502558,0.000530968,0.016359469,0.032248459,0.014942534,0
same-sex_marriage1.0-2416,0,0,1,new york times,2004,11,7,20041107,0.320220848,0.243440756,0.436338396,0.012791173,0.000684558,0.004834594,0.001785015,0.004235869,0.004557728,0.003750235,0.000738121,0.000397999,0.014818131,0.061388139,0.150722748,0.735021997,0.004273695,0
same-sex_marriage1.0-2417,0,0,1,saint paul pioneer press,2004,11,7,20041107,0.662030125,0.167879086,0.170090789,0.006727901,0.017449484,0.004571787,0.017818123,0.008681659,0.003619983,0.001613352,0.001114643,0.001368068,0.085879762,0.651548917,0.06074431,0.129720092,0.009141919,0
same-sex_marriage1.0-2418,0,0,0,st. louis post-dispatch,2004,11,7,20041107,0.508191825,0.171211432,0.320596743,0.009523179,0.001127019,0.031319276,0.028092068,0.019720405,0.035366391,0.019889923,0.002053395,0.005300624,0.051443683,0.017395165,0.229334512,0.542301453,0.007132907,0
same-sex_marriage1.0-242,0,0,0,new york times,2003,12,17,20031217,0.134948807,0.194716821,0.670334372,0.004780495,0.001199737,0.026577857,0.004604269,0.033269168,0.004476423,0.00058344,0.002681273,0.000882466,0.007070137,0.005982912,0.00265045,0.904331937,0.000909437,0
same-sex_marriage1.0-2420,0,0,0,daily news,2004,11,6,20041106,0.546708546,0.210307068,0.242984385,0.025174255,0.00105261,0.028087122,0.0018122,0.019419018,0.001271234,0.003225825,0.006037254,0.00238849,0.009414439,0.01270385,0.133297525,0.753652658,0.002463521,0
same-sex_marriage1.0-2422,0,0,1,st. louis post-dispatch,2004,11,6,20041106,0.341754779,0.163048104,0.495197117,0.047482163,0.005656828,0.078302644,0.004869253,0.104250193,0.621866034,0.025851639,0.000732181,0.010011888,0.018550066,0.030592949,0.036962838,0.008373481,0.006497842,0
same-sex_marriage1.0-2423,0,0,0,st. petersburg times,2004,11,6,20041106,0.505240781,0.189361762,0.305397457,0.071811138,0.001240215,0.006147194,0.000440655,0.771116623,0.010857101,0.011101654,0.000552514,0.002036246,0.011081394,0.023246091,0.063317909,0.023742229,0.003309037,0
same-sex_marriage1.0-2424,0,0,1,washington post,2004,11,6,20041106,0.391891889,0.285158144,0.322949967,0.005392995,0.000988952,0.166626285,0.004682856,0.023574673,0.004523576,0.00336339,0.00116669,0.002052274,0.027934421,0.010764361,0.039374672,0.401334269,0.308220583,0
same-sex_marriage1.0-2425,0,0,1,herald-sun,2004,11,5,20041105,0.244795692,0.254672854,0.500531454,0.011475035,0.003777639,0.0008414,0.000788703,0.003409028,0.005040862,0.000472713,0.000682585,0.001669177,0.003416018,0.008716264,0.733560079,0.221229819,0.004920678,0
same-sex_marriage1.0-2426,0,0,0,new york times,2004,11,5,20041105,0.356321113,0.279190354,0.364488533,0.012674367,0.002611882,0.001208963,0.002610065,0.003433991,0.000860324,0.002087829,0.000534659,0.000332784,0.047020342,0.03755815,0.379159059,0.508895362,0.001012222,0
same-sex_marriage1.0-2427,0,0,0,san jose mercury news,2004,11,5,20041105,0.466240591,0.193658928,0.340100481,0.175755725,0.000543597,0.004358489,0.001500106,0.000861375,0.00866208,0.002913864,0.000393233,0.001009084,4.74E-05,0.000469693,0.164511715,0.636225821,0.002747829,0
same-sex_marriage1.0-2428,0,0,1,washington post,2004,11,5,20041105,0.564992365,0.214471714,0.220535921,0.004449211,0.01033614,0.005283129,0.455153123,0.028663947,0.066064119,0.004393973,0.001345801,0.000691728,0.001665605,0.007137772,0.036141981,0.361956767,0.016716704,0
same-sex_marriage1.0-2429,0,0,0,washington post,2004,11,5,20041105,0.560607841,0.133227959,0.3061642,0.011284431,0.003613717,0.053877936,0.022204755,0.000508495,0.02806594,0.001386147,0.001757254,0.013309305,0.003401973,0.059606048,0.698926528,0.096669324,0.005388147,0
same-sex_marriage1.0-243,0,0,1,philadelphia inquirer,2003,12,17,20031217,0.049571263,0.357237261,0.593191476,0.000656862,0.000897994,0.00674267,0.000965991,0.1391461,0.009972042,0.000489824,0.000880594,0.000935599,0.000341204,0.004587721,0.015279505,0.816687241,0.002416651,0
same-sex_marriage1.0-2430,1,0,0,atlanta journal and constitution,2004,11,4,20041104,0.2208776,0.254100684,0.525021716,0.103553214,0.019848158,0.023224789,0.004136848,0.022967331,0.009460508,0.00172087,0.000802422,0.002303629,0.005759937,0.043116485,0.70227831,0.010888682,0.049938819,0
same-sex_marriage1.0-2431,0,0,1,atlanta journal and constitution,2004,11,4,20041104,0.627833567,0.150839798,0.221326635,0.013427614,0.001204954,0.015902008,0.006487442,0.002124913,0.038644642,0.002336695,0.000871653,0.059599279,0.232538038,0.004590332,0.604423305,0.017171581,0.000677544,0
same-sex_marriage1.0-2432,0,0,1,atlanta journal and constitution,2004,11,4,20041104,0.357737125,0.207963202,0.434299672,0.006391527,0.003462,0.239360166,0.000136675,0.000363753,0.002271957,0.001820788,0.000708681,0.001232294,0.01853217,0.001050866,0.051360455,0.673033851,0.000274817,0
same-sex_marriage1.0-2433,0,0,1,denver post,2004,11,4,20041104,0.357725862,0.247147747,0.395126391,0.002417723,0.000790604,0.00366008,0.043872837,0.000453566,0.010884375,0.000827495,0.000932695,0.001290943,0.00431856,0.001265056,0.021657595,0.90268926,0.00493921,0
same-sex_marriage1.0-2434,0,0,0,denver post,2004,11,4,20041104,0.171556622,0.275701439,0.552741939,0.005955164,0.00290233,0.245852892,0.000394589,0.000424478,0.005720652,0.001634318,0.000425586,0.002101552,0.000438094,0.014914714,0.043195561,0.675478166,0.000561905,0
same-sex_marriage1.0-2435,0,0,0,new york times,2004,11,4,20041104,0.582002763,0.13961556,0.278381677,0.008489218,0.006239971,0.074271298,0.001114337,0.003188587,0.004055369,0.001961632,0.000788329,0.000331762,0.010436973,0.00336593,0.022103752,0.86254028,0.001112562,0
same-sex_marriage1.0-2436,0,0,1,new york times,2004,11,4,20041104,0.298081142,0.206441362,0.495477497,0.004106798,0.004194527,0.001630557,0.007604303,0.002566636,0.027852317,0.001716704,0.000615069,0.00090659,0.000819873,0.01558715,0.213909352,0.712405616,0.006084509,0
same-sex_marriage1.0-2437,0,0,1,philadelphia inquirer,2004,11,4,20041104,0.392262775,0.25312385,0.354613376,0.00650209,0.000756876,0.006782755,0.00154996,0.001509086,0.017080757,0.002556209,0.00084124,0.002404128,0.000431528,0.000454968,0.694417732,0.264132833,0.000579836,0
same-sex_marriage1.0-2438,0,0,0,philadelphia inquirer,2004,11,4,20041104,0.337499107,0.260617891,0.401883003,0.011916461,0.001327969,0.000976445,0.000413826,0.021650806,0.001275442,0.001432461,0.000691148,0.002479708,0.001963909,0.013422528,0.617592883,0.3204595,0.004396913,0
same-sex_marriage1.0-244,0,0,1,washington post,2003,12,17,20031217,0.298303943,0.226712505,0.474983551,0.003476154,0.001229947,0.01038489,0.028774441,0.015660893,0.011147701,0.003051469,0.00409392,0.00108889,0.001155072,0.004061042,0.008933072,0.904545172,0.002397337,0
same-sex_marriage1.0-2440,0,0,0,san jose mercury news,2004,11,4,20041104,0.469607431,0.240998112,0.289394456,0.001626979,0.004499646,0.013586899,0.002228803,0.004595951,0.003599609,0.001034671,0.000949366,0.000718278,0.005129587,0.003623085,0.10656408,0.848873156,0.002969891,0
same-sex_marriage1.0-2441,0,0,1,st. louis post-dispatch,2004,11,4,20041104,0.16503591,0.261481594,0.573482496,0.004629557,0.009010862,0.000448192,0.021670255,0.02540147,0.049678725,0.001191664,0.000815407,0.002945106,0.000532613,0.112822808,0.274441025,0.493662351,0.002749965,0
same-sex_marriage1.0-2442,0,0,0,washington post,2004,11,4,20041104,0.405201957,0.247617875,0.347180167,0.004214093,0.006709404,0.14065142,0.000535859,0.053631727,0.007979334,0.004423914,0.000607144,0.001906668,0.000803575,0.002474848,0.505479677,0.264108861,0.006473478,0
same-sex_marriage1.0-2443,0,0,1,atlanta journal and constitution,2004,11,3,20041103,0.171311307,0.32800799,0.500680703,0.004073944,0.000601526,0.006122562,0.000597188,0.003625705,0.047020387,0.000462714,0.000508391,0.001319579,0.003056058,0.012856508,0.800172965,0.116288903,0.003293571,0
same-sex_marriage1.0-2444,0,0,0,atlanta journal and constitution,2004,11,3,20041103,0.28773931,0.184722347,0.527538343,0.006826344,0.012418575,0.067854965,0.008432396,0.273386456,0.062803967,0.006013537,0.000502058,0.007605028,0.001893221,0.036406172,0.477308962,0.023724457,0.014823862,0
same-sex_marriage1.0-2446,0,0,0,daily news,2004,11,3,20041103,0.170571725,0.243528257,0.585900018,0.001829056,0.003039338,0.000406183,0.000917676,0.021554424,0.008049909,0.001267664,0.000445677,0.000574664,0.000712489,0.004156771,0.705054331,0.249895781,0.002096037,0
same-sex_marriage1.0-2448,0,0,1,daily news,2004,11,3,20041103,0.453882964,0.170202104,0.375914931,0.003532548,0.000994579,0.002031157,0.002359913,0.110647871,0.015326677,0.001815584,0.000741633,0.001868049,0.005136248,0.023900875,0.755839711,0.057623488,0.018181668,0
same-sex_marriage1.0-245,0,0,0,new york times,2003,12,16,20031216,0.800671529,0.09210353,0.107224941,0.003605518,0.004128182,0.030221223,0.023868333,0.042516951,0.024639156,0.001216823,0.000924807,0.015158547,0.628674637,0.188503096,0.021870294,0.010043858,0.004628577,0
same-sex_marriage1.0-2450,1,0,0,denver post,2004,11,3,20041103,0.445098264,0.227935895,0.326965841,0.125642705,0.001016238,0.000803832,0.001802874,0.001278894,0.002971045,0.000486883,0.000761015,0.002433818,0.003467688,0.005903065,0.075040073,0.777593974,0.000797896,0
same-sex_marriage1.0-2451,1,0,0,herald-sun,2004,11,3,20041103,0.408919508,0.185795146,0.405285346,0.288194138,0.021887859,0.049724183,0.10088797,0.22712739,0.035011253,0.008216012,0.001112066,0.036448572,0.046736411,0.001466797,0.127540752,0.043707154,0.011939444,0
same-sex_marriage1.0-2452,0,1,0,herald-sun,2004,11,3,20041103,0.288550204,0.317310632,0.394139164,0.000376456,0.000786488,0.008607408,0.031281688,0.056035806,0.00370663,0.000899162,0.000586465,0.001225468,0.002887431,0.031350834,0.813847869,0.041945547,0.006462749,0
same-sex_marriage1.0-2453,0,0,0,new york times,2004,11,3,20041103,0.132589817,0.267688166,0.599722017,0.002778625,0.000750417,0.028027223,0.001032939,0.000766442,0.0099753,0.002006462,0.000805133,0.004774515,0.009003453,0.01452403,0.730143148,0.192509759,0.002902554,0
same-sex_marriage1.0-2456,0,0,1,washington post,2004,11,3,20041103,0.169498118,0.239986913,0.590514969,0.073726065,0.003895403,0.003721466,0.001269508,0.043819415,0.037397619,0.003159207,0.000821879,0.002085468,0.001489586,0.002884603,0.779584661,0.042570875,0.003574244,0
same-sex_marriage1.0-2457,0,0,0,philadelphia inquirer,2004,11,2,20041102,0.249524118,0.171415364,0.579060518,0.011811864,0.006174866,0.891465452,0.011435759,0.002645003,0.001770012,0.007380652,0.001038556,0.003334544,0.001622678,0.039262283,0.018035905,0.003320291,0.000702135,0
same-sex_marriage1.0-2458,1,0,0,st. louis post-dispatch,2004,11,2,20041102,0.247035596,0.330231633,0.422732771,0.002584892,0.001118126,0.000227649,0.000815264,0.002157059,0.002330197,0.001411743,0.000581934,0.000946223,0.002298643,0.010465201,0.016100975,0.956752049,0.002210043,0
same-sex_marriage1.0-2459,0,0,0,washington post,2004,11,2,20041102,0.560626918,0.17130567,0.268067412,0.000774254,0.000804858,0.547743409,0.004135837,0.000622723,0.001122927,0.000605478,0.000584717,0.000550492,0.024082066,0.013082089,0.401501706,0.002655987,0.001733458,0
same-sex_marriage1.0-246,0,0,0,philadelphia inquirer,2003,12,16,20031216,0.712245593,0.103188513,0.184565893,0.016991103,0.001350315,8.00E-05,0.005051211,0.005738479,0.068082452,0.003798376,0.005768308,0.003218448,0.043054822,0.005636889,0.043107458,0.791565454,0.006556718,0
same-sex_marriage1.0-2460,0,0,0,atlanta journal and constitution,2004,11,1,20041101,0.800473201,0.126931472,0.072595326,0.003424329,0.006217512,0.0341166,0.195896253,0.008558017,0.029024465,0.00275054,0.005052779,0.019466533,0.630086679,0.005378469,0.02422254,0.025708885,0.010096398,0
same-sex_marriage1.0-2461,1,0,0,atlanta journal and constitution,2004,11,1,20041101,0.794195684,0.098272054,0.107532261,0.009133946,0.002310758,0.815490177,0.03598216,0.004967636,0.002156435,0.001015353,0.001144009,0.004048606,0.016934583,0.019399085,0.077817066,0.006779639,0.002820546,0
same-sex_marriage1.0-2462,0,0,0,atlanta journal and constitution,2004,11,1,20041101,0.507195609,0.197496821,0.29530757,0.005741891,0.002174678,0.280773885,0.009584561,0.00460778,0.001400119,0.01452549,0.000552057,0.001769974,0.105552829,0.504917358,0.043157401,0.010995734,0.014246243,0
same-sex_marriage1.0-2463,0,0,0,atlanta journal and constitution,2004,11,1,20041101,0.137417102,0.371590171,0.490992727,0.007986843,0.001161405,0.803983811,0.003086285,0.000948535,0.004637242,0.000554623,0.000680427,0.003484425,0.000709441,0.071624204,0.065189141,0.033092162,0.002861456,0
same-sex_marriage1.0-2464,0,0,0,washington post,2004,11,1,20041101,0.470393663,0.150313748,0.379292589,0.064620985,0.001321464,0.0028628,0.00289479,0.002517643,0.005551193,0.001572246,0.00108348,0.00094261,0.007520774,0.020878399,0.608498296,0.278302402,0.001432917,0
same-sex_marriage1.0-2465,0,0,0,atlanta journal and constitution,2004,10,31,20041031,0.273848194,0.283215835,0.442935972,0.007363946,0.000667162,0.001877161,0.007380707,0.022017075,0.004119934,0.008288336,0.001080106,0.004814239,0.004782572,0.003838088,0.000132892,0.927734108,0.005903673,0
same-sex_marriage1.0-2466,0,1,0,atlanta journal and constitution,2004,10,31,20041031,0.329652001,0.19391615,0.476431849,0.001995959,0.000589976,0.004814286,0.002609709,0.015051677,0.03942713,0.000369351,0.000498629,0.001051926,0.002904943,0.002564689,0.298870159,0.625647831,0.003603736,0
same-sex_marriage1.0-2467,0,0,1,atlanta journal and constitution,2004,10,31,20041031,0.580677827,0.173394684,0.245927489,0.00310932,0.001070347,0.086087681,0.510277141,0.027200124,0.034696276,0.002390573,0.001189653,0.001872246,0.002408844,0.058362409,0.027524481,0.23810751,0.005703395,0
same-sex_marriage1.0-2468,0,0,0,daily news,2004,10,31,20041031,0.265651308,0.326150895,0.408197797,0.012650474,0.001054947,0.00649193,0.002671261,0.258698099,0.036674493,0.003856886,0.001131866,0.005838339,0.00472335,0.001018492,0.090638308,0.565444838,0.009106718,0
same-sex_marriage1.0-2469,0,0,0,daily news,2004,10,31,20041031,0.592242907,0.163048915,0.244708178,0.38894567,0.001113538,0.044573417,0.112125184,0.001737242,0.028967555,0.006695917,0.000579546,0.003214324,0.003862374,0.018101287,0.248114525,0.140541211,0.00142821,0
same-sex_marriage1.0-247,0,0,0,san jose mercury news,2003,12,16,20031216,0.26683878,0.257810116,0.475351104,0.011056409,0.004145201,0.028204868,0.015275655,0.84703091,0.008410658,0.015550194,0.000748999,0.001027412,0.032932507,0.000785275,0.004722833,0.025383339,0.004725741,0
same-sex_marriage1.0-2472,0,0,1,saint paul pioneer press,2004,10,31,20041031,0.288556211,0.222300189,0.4891436,0.000615852,0.00139456,0.002853188,0.003271331,0.015228111,0.00795779,0.001355251,0.000725806,0.001439484,0.006313516,0.012502654,0.06422604,0.8802177,0.001898716,0
same-sex_marriage1.0-2473,0,0,0,atlanta journal and constitution,2004,10,30,20041030,0.563809703,0.158583051,0.277607246,0.003254065,0.000706322,0.001706491,0.272974886,0.001720094,0.026369278,0.003126599,0.000978742,0.02228949,0.202602214,0.000338089,0.000842266,0.461045817,0.002045648,0
same-sex_marriage1.0-2474,1,0,0,atlanta journal and constitution,2004,10,30,20041030,0.237493723,0.222839635,0.539666642,0.009494292,0.003148004,0.000303857,0.004506823,0.000501905,0.013589364,0.003787359,0.000461611,0.001860411,0.005559452,0.004486622,0.213846854,0.73761939,0.000834058,0
same-sex_marriage1.0-2475,0,0,1,new york times,2004,10,30,20041030,0.349038263,0.339733373,0.311228364,0.000721852,0.001165684,0.001568411,0.000292846,0.002317142,0.011348908,0.00117536,0.000588562,0.002740961,0.001444239,0.001880698,0.002105179,0.965552651,0.007097508,0
same-sex_marriage1.0-2476,0,0,0,atlanta journal and constitution,2004,10,29,20041029,0.448292331,0.213545005,0.338162664,0.002077298,0.000884424,0.032534877,0.018624335,0.001128857,0.006877523,0.001832027,0.000460303,0.001194749,0.01852539,0.051998319,0.341841623,0.519814617,0.002205658,0
same-sex_marriage1.0-2477,0,0,0,new york times,2004,10,29,20041029,0.354766384,0.296921634,0.348311982,0.002163649,0.010640587,0.015861463,0.115069498,0.008541795,0.280748064,0.002235823,0.001665128,0.005968136,0.006117839,0.014339292,0.013067096,0.409702932,0.113878697,0
same-sex_marriage1.0-2478,0,0,0,atlanta journal and constitution,2004,10,28,20041028,0.105014556,0.244897,0.650088444,0.005850279,0.000632973,0.394495172,0.000802452,0.00377157,0.058288217,0.001261361,0.00051898,0.00276002,0.000368192,0.009189748,0.041600422,0.479476125,0.000984489,0
same-sex_marriage1.0-2479,0,0,0,san jose mercury news,2004,10,28,20041028,0.41584115,0.332033339,0.252125511,0.005155167,0.000660736,0.000523431,0.004521291,0.007801836,0.001936158,0.003119822,0.000803501,0.000902931,0.038532349,0.006597289,0.009739696,0.918316597,0.001389196,0
