,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti,Explicit,Implicit,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
same-sex_marriage1.0-1086,0,0,0,new york times,2004,2,7,20040207,0.561113995,0.176672699,0.262213306,0.110609194,0.889390806,0.090831076,0.008912712,0.041454608,0.021372103,0.102237226,0.176115907,0.006228692,0.001168817,0.44953721,0.025104202,0.021818499,0.010672926,0.040453335,0.004092687,0
same-sex_marriage1.0-10861,0,0,1,denver post,2000,4,19,20000419,0.736219856,0.132813571,0.130966573,0.184659085,0.815340915,0.005185627,0.00081259,0.00151767,0.006797731,0.190572215,0.699591367,0.003714226,0.001354512,0.000954059,0.007472598,0.000252637,0.003205075,0.074727199,0.003842493,0
same-sex_marriage1.0-10863,0,0,0,philadelphia inquirer,2000,4,19,20000419,0.645574505,0.14522757,0.209197925,0.01457321,0.98542679,0.001134408,0.006070563,0.000231677,0.010364149,0.035059286,0.037632673,0.001476634,0.001086256,0.003289405,0.006962483,0.000388208,0.073804178,0.817890359,0.004609721,0
same-sex_marriage1.0-10864,0,0,0,san jose mercury news,2000,4,19,20000419,0.617099197,0.154411321,0.228489482,0.057039716,0.942960284,0.004976979,0.005086708,0.000288917,0.036167006,0.051114776,0.024398722,0.008254399,0.001051823,0.004228843,0.012636428,0.000893851,0.031787604,0.798594725,0.02051922,0
same-sex_marriage1.0-10865,0,0,1,st. louis post-dispatch,2000,4,19,20000419,0.681820359,0.047662117,0.270517524,0.014674511,0.985325489,0.012439282,0.001355606,0.004183556,0.004605979,0.152448138,0.005789841,0.008961276,0.000749604,0.002516976,0.027883141,0.000299542,0.013253194,0.761887224,0.003626641,0
same-sex_marriage1.0-10867,0,0,1,washington post,2000,4,19,20000419,0.67894917,0.123488614,0.197562216,0.25453047,0.74546953,0.001039377,0.000482876,0.032713607,0.00535412,0.396385156,0.039958093,0.001152062,0.002188399,0.000632567,0.001287796,0.000171521,0.010830198,0.504592899,0.003211327,0
same-sex_marriage1.0-10868,0,0,1,denver post,2000,4,14,20000414,0.16956093,0.168083279,0.662355792,0.014034268,0.985965732,0.00707274,0.000683996,0.001458684,0.00084013,0.008199348,0.153525581,0.001065146,0.000572305,0.014960803,0.00839159,0.00101354,0.012035528,0.789102617,0.001077992,0
same-sex_marriage1.0-10869,0,0,0,denver post,2000,4,13,20000413,0.246866436,0.223711812,0.529421752,0.01009445,0.98990555,0.005894378,0.00159512,0.008022936,0.01229006,0.097919509,0.417283587,0.00573999,0.001482241,0.016084837,0.110586902,0.003436271,0.052166612,0.262965352,0.004532206,0
same-sex_marriage1.0-1087,0,0,0,philadelphia inquirer,2004,2,7,20040207,0.537591849,0.302502747,0.159905403,0.002555061,0.997444939,0.00548159,0.003364842,0.007509243,0.149253935,0.412263501,0.019691166,0.002761655,0.002434342,0.00320632,0.063258204,0.005295358,0.008868565,0.303427203,0.013184078,0
same-sex_marriage1.0-10870,0,0,1,st. petersburg times,2000,4,9,20000409,0.910688952,0.043010069,0.046300979,0.071656023,0.928343977,0.004199162,0.00324681,0.042961736,0.035978931,0.00584139,0.004238456,0.001593285,0.001137556,0.004960743,0.518249336,0.309127672,0.057796083,0.00627709,0.004391752,0
same-sex_marriage1.0-10871,0,0,0,st. louis post-dispatch,2000,4,8,20000408,0.790476166,0.119010525,0.090513309,0.530016341,0.469983659,0.003231849,0.000470153,0.651505733,0.011228699,0.01101861,0.002048194,0.010879231,0.000754449,0.003886106,0.213428335,0.054527685,0.004103583,0.030366469,0.002550904,0
same-sex_marriage1.0-10872,0,0,1,washington post,2000,4,7,20000407,0.636704554,0.226240244,0.137055201,0.76299419,0.23700581,0.045923568,0.007026818,0.03467001,0.381825817,0.126250007,0.021477879,0.002171049,0.002790846,0.014378812,0.182314685,0.062732166,0.079449343,0.034403102,0.004585899,0
same-sex_marriage1.0-10873,0,0,0,atlanta journal and constitution,2000,4,5,20000405,0.465139042,0.28130355,0.253557408,0.355474918,0.644525082,0.047028851,0.004973738,0.036657515,0.149522406,0.130545956,0.066213452,0.009281192,0.001348861,0.008340489,0.009178448,0.019234311,0.049075312,0.407220632,0.061378836,0
same-sex_marriage1.0-10874,0,0,0,atlanta journal and constitution,2000,4,5,20000405,0.548433957,0.162095601,0.289470442,0.726322807,0.273677193,0.022865952,0.002523733,0.156951321,0.08775825,0.142856826,0.145630455,0.016154898,0.003662326,0.013984609,0.097328455,0.203482316,0.056215903,0.046806859,0.003778097,0
same-sex_marriage1.0-10875,0,0,1,denver post,2000,4,5,20000405,0.285601599,0.16613289,0.548265512,0.009590388,0.990409612,0.028336014,0.000738597,0.001766851,0.043317415,0.0039175,0.590541185,0.003212976,0.000947698,0.01149943,0.001999241,0.000477001,0.007710328,0.302657022,0.002878741,0
same-sex_marriage1.0-10876,0,0,1,daily news,2000,4,4,20000404,0.759457019,0.131802324,0.108740657,0.779080518,0.220919482,0.020808166,0.001340605,0.530380172,0.027547769,0.058096912,0.017585024,0.001289654,0.000478669,0.002018106,0.151555541,0.149576584,0.032350113,0.00577252,0.001200167,0
same-sex_marriage1.0-10877,0,0,0,philadelphia inquirer,2000,4,2,20000402,0.361119704,0.14978343,0.489096866,0.019136178,0.980863822,0.004063091,0.000550268,0.906690111,0.00839284,0.000241701,0.009191869,0.001711411,0.001326868,0.00341661,0.007201522,0.00508794,0.037179884,0.011592642,0.003353242,0
same-sex_marriage1.0-10878,0,0,0,saint paul pioneer press,2000,4,2,20000402,0.763426196,0.096992023,0.139581781,0.010354454,0.989645546,0.03729249,0.002285308,0.025798183,0.10121381,0.012811518,0.127509251,0.005787048,0.002929885,0.001450881,0.018290145,0.14712272,0.158652013,0.357960942,0.000895806,0
same-sex_marriage1.0-10879,0,0,1,daily news,2000,4,1,20000401,0.606636118,0.141966209,0.251397673,0.006921628,0.993078372,0.006239648,0.000580949,0.920891258,0.001640757,0.013176525,0.003651681,0.00209503,0.00065332,0.001403605,0.012530739,0.012846278,0.010364398,0.008849026,0.005076785,0
same-sex_marriage1.0-1088,0,0,0,st. petersburg times,2004,2,7,20040207,0.167305142,0.125359999,0.707334859,0.206715045,0.793284955,0.007534498,0.001840954,0.106853474,0.008820408,0.699719643,0.016655223,0.001165088,0.002070288,0.002084022,0.042491167,0.056982256,0.006758312,0.033997446,0.013027221,0
same-sex_marriage1.0-10880,0,0,0,denver post,2000,4,1,20000401,0.404079682,0.256918558,0.33900176,0.014119369,0.985880631,0.001113675,0.001136626,0.910024473,0.011189627,0.008204861,0.002823985,0.020929531,0.000628516,0.001072993,0.022716311,0.008578276,0.003932543,0.006645963,0.00100262,0
same-sex_marriage1.0-10881,0,0,1,st. petersburg times,2000,4,1,20000401,0.185463074,0.187456174,0.627080752,0.020096083,0.979903917,0.006757423,0.001830123,0.203302513,0.007097066,0.031966411,0.688982281,0.001265385,0.001123706,0.004942355,0.002202693,0.000589405,0.024419948,0.017624976,0.007895714,0
same-sex_marriage1.0-10882,0,0,0,st. louis post-dispatch,2000,4,1,20000401,0.609460493,0.137187805,0.253351701,0.024128654,0.975871346,0.00810498,0.000592044,0.901470372,0.007011869,0.012515812,0.002270796,0.004726326,0.000619514,0.000775952,0.037350215,0.005998021,0.008090838,0.00777874,0.002694521,0
same-sex_marriage1.0-10883,0,1,0,daily news,2000,3,30,20000330,0.780153789,0.05697469,0.16287152,0.074093173,0.925906827,0.006025396,0.000681822,0.890123186,0.002012533,0.002410954,0.012138675,0.002383792,0.001644083,0.004686092,0.004872409,0.001574326,0.017304547,0.051005565,0.003136621,0
same-sex_marriage1.0-10885,0,0,0,denver post,2000,3,30,20000330,0.65196063,0.188643988,0.159395383,0.035058618,0.964941382,0.007679466,0.000605321,0.92722413,0.004455334,0.001994623,0.001672831,0.011419939,0.000633407,0.001338498,0.00684438,0.002347794,0.004974998,0.025685874,0.003123405,0
same-sex_marriage1.0-10887,0,1,0,new york times,2000,3,30,20000330,0.58420914,0.12230341,0.29348745,0.028388123,0.971611877,0.009347636,0.00063467,0.843124011,0.021810301,0.006800642,0.012960027,0.005083515,0.001314975,0.000850826,0.006257931,0.016921653,0.05165207,0.020411486,0.002830257,0
same-sex_marriage1.0-1089,0,0,0,daily news,2004,2,6,20040206,0.464826181,0.292110399,0.243063419,0.071308758,0.928691242,0.044773232,0.001746581,0.006233601,0.033248267,0.296158286,0.025177353,0.003881026,0.001386623,0.000359252,0.009325184,0.003786983,0.018343889,0.548811244,0.006768478,0
same-sex_marriage1.0-10890,0,0,1,washington post,2000,3,30,20000330,0.516853128,0.174767762,0.30837911,0.787362614,0.212637386,0.012723842,0.001364685,0.029167477,0.080184336,0.776515895,0.032534062,0.00376539,0.001362138,0.006800373,0.033773351,0.015455611,0.000206925,0.003914524,0.00223139,0
same-sex_marriage1.0-10891,0,0,0,washington post,2000,3,30,20000330,0.36989595,0.14093078,0.48917327,0.009687518,0.990312482,0.014913665,0.000888077,0.891162629,0.002235946,0.012426093,0.006030082,0.001702356,0.000614097,0.000525746,0.00151833,0.001527074,0.012061854,0.052150706,0.002243344,0
same-sex_marriage1.0-10892,0,0,1,denver post,2000,3,29,20000329,0.302636251,0.218939496,0.478424253,0.020452809,0.979547191,0.009662997,0.001194596,0.028955593,0.00613445,0.129186037,0.053972778,0.020582669,0.000999528,0.001783928,0.002631401,0.001541203,0.013653059,0.727644921,0.00205684,0
same-sex_marriage1.0-10893,0,0,0,san jose mercury news,2000,3,26,20000326,0.650960117,0.241986828,0.107053055,0.003160814,0.996839186,0.012403201,0.000573471,0.898502344,0.008747484,0.000243226,0.005763027,0.005680315,0.00064491,0.000467331,0.004324721,0.003230319,0.016158851,0.041482339,0.001778461,0
same-sex_marriage1.0-10894,0,0,0,washington post,2000,3,26,20000326,0.86896578,0.073703901,0.05733032,0.677463211,0.322536789,0.002401622,0.004541818,0.000224707,0.182402483,0.756882513,0.004308349,0.001513863,0.001015127,0.000271133,0.020230361,0.005961453,0.002558276,0.009322403,0.008365892,0
same-sex_marriage1.0-10895,0,0,0,denver post,2000,3,25,20000325,0.447832474,0.240364707,0.311802819,0.013295151,0.986704849,0.009174366,0.00091792,0.003847287,0.020877546,0.595307855,0.197405299,0.018982169,0.001415013,0.019991554,0.011052354,0.000661076,0.004487728,0.048342795,0.067537038,0
same-sex_marriage1.0-10896,0,0,1,herald-sun,2000,3,25,20000325,0.286253214,0.137887501,0.575859285,0.022198809,0.977801191,0.003857721,0.000707176,0.6916619,0.003090927,0.001082602,0.000791762,0.001664878,0.001048525,0.000801071,0.00167127,0.010547983,0.118849577,0.160934366,0.003290242,0
same-sex_marriage1.0-10897,0,0,1,san jose mercury news,2000,3,25,20000325,0.611983987,0.200786374,0.187229639,0.007463346,0.992536654,0.014235361,0.001439382,0.009925066,0.036147874,0.008449065,0.11913423,0.003809091,0.00086063,0.007587711,0.019407679,0.633006341,0.035048019,0.101366254,0.009583299,0
same-sex_marriage1.0-10898,0,0,1,washington post,2000,3,25,20000325,0.194963111,0.275900263,0.529136626,0.860279555,0.139720445,0.003049411,0.002055579,0.004616585,0.045789958,0.003048402,0.003294113,0.001175069,0.000630841,0.001875961,0.001690629,0.095854486,0.740711701,0.095128036,0.001079227,0
same-sex_marriage1.0-10899,0,1,0,denver post,2000,3,24,20000324,0.303710892,0.49884852,0.197440588,0.00038096,0.99961904,0.002193006,0.006036162,0.001579957,0.006495779,0.295612786,0.139869405,0.003651347,0.000975882,0.025876383,0.019593903,2.20E-05,0.002113491,0.492101254,0.00387869,0
same-sex_marriage1.0-109,0,0,0,san jose mercury news,2001,11,29,20011129,0.574662747,0.162300617,0.263036636,0.018220513,0.981779487,0.037455435,0.001505694,0.035765425,0.016355807,0.035638265,0.02258986,0.003016898,0.001268788,0.472312452,0.096828077,0.033864136,0.011541954,0.224835457,0.007021753,0
same-sex_marriage1.0-10900,0,0,0,new york times,2000,3,22,20000322,0.71363963,0.089107668,0.197252702,0.823504465,0.176495535,0.017793227,0.007903547,0.101445309,0.094860817,0.121828591,0.116841029,0.011415628,0.001636939,0.043109904,0.188660135,0.01396202,0.040517174,0.235109827,0.004915853,0
same-sex_marriage1.0-10901,0,0,0,new york times,2000,3,22,20000322,0.56783797,0.060471294,0.371690737,0.960039388,0.039960612,0.033625843,0.002444383,0.397878285,0.111055618,0.270969793,0.019695145,0.017350122,0.001002269,0.003339515,0.102036541,0.002041493,0.022428484,0.013751659,0.002380849,0
same-sex_marriage1.0-10902,0,0,1,philadelphia inquirer,2000,3,20,20000320,0.63862597,0.147501401,0.213872629,0.412819002,0.587180998,0.014393946,0.00077246,0.031722231,0.030210446,0.026536301,0.058312951,0.005494864,0.002327242,0.020242676,0.09641516,0.003103597,0.700116689,0.001502868,0.008848568,0
same-sex_marriage1.0-10903,0,0,0,san jose mercury news,2000,3,20,20000320,0.563954823,0.095062213,0.340982964,0.037248765,0.962751235,0.000841854,0.000648166,0.002369352,0.065542742,0.783065159,0.057255367,0.000410263,0.000582835,0.000667393,0.007177216,0.018420736,0.023917896,0.031638531,0.007462491,0
same-sex_marriage1.0-10904,0,0,0,new york times,2000,3,19,20000319,0.74382669,0.161487209,0.094686101,0.218198527,0.781801473,0.010279028,0.001055845,0.002073938,0.583863897,0.036697208,0.151707916,0.01538992,0.004388501,0.002089621,0.04407665,0.001705899,0.014526162,0.127343661,0.004801755,0
same-sex_marriage1.0-10905,0,0,0,new york times,2000,3,19,20000319,0.699820373,0.137971342,0.162208285,0.015579265,0.984420735,0.009765879,0.002061463,0.007111382,0.009078607,0.01295206,0.059442556,0.000859984,0.003334152,0.338358196,0.484057967,0.018516557,0.020397713,0.017082545,0.016980939,0
same-sex_marriage1.0-10906,0,0,0,herald-sun,2000,3,18,20000318,0.760255067,0.180774804,0.058970129,0.005190711,0.994809289,0.010725073,0.001237397,0.000919375,0.01975974,0.418175793,0.44442991,0.009140792,0.00231814,0.001649718,0.012403523,0.004486598,0.008892284,0.053882754,0.011978903,0
same-sex_marriage1.0-10907,0,0,1,new york times,2000,3,18,20000318,0.784757106,0.037684616,0.177558278,0.285844394,0.714155606,0.005334187,0.000962946,0.021364634,0.177083977,0.50393411,0.19139587,0.002541557,0.000696657,0.001170547,0.02292299,0.003053095,0.000279668,0.001533947,0.067725817,0
same-sex_marriage1.0-10908,0,0,0,new york times,2000,3,18,20000318,0.759660563,0.138248702,0.102090735,0.026338641,0.973661359,0.002962755,0.000814995,0.001908669,0.036237166,0.454472812,0.459808572,0.000714381,0.000686117,0.000446112,0.020216203,0.000390079,0.001224221,0.015372692,0.004745225,0
same-sex_marriage1.0-10909,0,0,0,washington post,2000,3,18,20000318,0.771673967,0.164574998,0.063751035,0.812197116,0.187802884,0.017130225,0.000945073,0.292098493,0.036240521,0.133189135,0.066137234,0.004294245,0.001062804,0.003488467,0.38997378,0.036461653,0.01154393,0.005082011,0.00235243,0
same-sex_marriage1.0-1091,0,0,1,new york times,2004,2,6,20040206,0.519409119,0.352953982,0.127636899,0.003041346,0.996958654,0.002983622,0.004633182,0.001149345,0.009573956,0.896273031,0.047628256,0.002286362,0.000955667,0.000392321,0.016252025,0.002494943,0.003783684,0.008870832,0.002722776,0
same-sex_marriage1.0-10910,0,0,0,daily news,2000,3,17,20000317,0.787043636,0.121145674,0.091810691,0.011155894,0.988844106,0.005901383,0.000561935,0.000222363,0.003559726,0.284186961,0.089640682,0.000722047,0.000491917,0.001021544,0.010134618,0.000142789,0.002006449,0.600308972,0.001098613,0
same-sex_marriage1.0-10912,0,0,0,new york times,2000,3,17,20000317,0.742890037,0.116793758,0.140316205,0.005524432,0.994475568,0.002447191,0.001289592,0.061892079,0.022558648,0.013375027,0.047827657,0.001913424,0.005360041,0.001373667,0.079217184,0.004293669,0.009142611,0.744925177,0.004384033,0
same-sex_marriage1.0-10914,0,1,0,saint paul pioneer press,2000,3,17,20000317,0.062781088,0.452364879,0.484854033,0.049487841,0.950512159,0.001507215,0.000617594,0.031618964,0.005416579,0.023991564,0.802201754,0.003485431,0.000633446,0.009200448,0.002589383,0.00031995,0.055571133,0.055825857,0.007020682,0
same-sex_marriage1.0-10915,0,0,0,st. petersburg times,2000,3,17,20000317,0.716418425,0.096638369,0.186943207,0.001829847,0.998170153,0.00635146,0.000740434,0.000800696,0.036114704,0.031791632,0.093708045,0.001142775,0.000832673,0.003065697,0.034688621,0.00022258,0.009159884,0.778580711,0.00280009,0
same-sex_marriage1.0-10917,0,0,1,washington post,2000,3,17,20000317,0.450833434,0.211155132,0.338011433,0.004675071,0.995324929,0.000690406,0.001306767,0.004772333,0.021638945,0.15198568,0.042117764,0.002084239,0.001457234,0.000977916,0.003661221,0.000181843,0.014644181,0.696222636,0.058258836,0
same-sex_marriage1.0-10918,0,0,0,new york times,2000,3,16,20000316,0.568506389,0.238805298,0.192688313,0.032892964,0.967107036,0.008098533,0.00380157,0.097979789,0.007683831,0.180053532,0.496543864,0.003428271,0.001793689,0.001165967,0.00493705,0.000437787,0.014376026,0.177309169,0.002390923,0
same-sex_marriage1.0-1092,0,0,0,new york times,2004,2,6,20040206,0.280747558,0.213495713,0.505756729,0.926837305,0.073162695,0.007239735,0.016956486,0.135757659,0.024164561,0.399809379,0.117461566,0.002896568,0.001245413,0.001146952,0.015637509,0.007487665,0.004452676,0.258182254,0.007561578,0
same-sex_marriage1.0-10920,0,0,1,st. petersburg times,2000,3,16,20000316,0.661244365,0.181469703,0.157285932,0.020564292,0.979435708,0.001444137,0.006149344,0.013712977,0.136098201,0.060906953,0.68987584,0.000803101,0.001727664,0.002322292,0.011138317,0.00116613,0.043294736,0.029988542,0.001371766,0
same-sex_marriage1.0-10922,0,0,1,atlanta journal and constitution,2000,3,15,20000315,0.175580416,0.204129931,0.620289653,0.257249434,0.742750566,0.012236765,0.003235545,0.081031466,0.061071846,0.193953103,0.463634874,0.00581114,0.000924047,0.007818423,0.036352303,0.008131038,0.005054982,0.112534128,0.00821034,0
same-sex_marriage1.0-10923,0,0,0,philadelphia inquirer,2000,3,13,20000313,0.136095418,0.1601639,0.703740682,0.051230392,0.948769608,0.001892974,0.000963124,0.225709654,0.003804855,0.009144745,0.008348897,0.002678175,0.000866048,0.001926303,0.014821885,0.172155399,0.42438718,0.121521572,0.011779188,0
same-sex_marriage1.0-10924,0,0,1,philadelphia inquirer,2000,3,13,20000313,0.8672428,0.089919731,0.042837468,0.231270818,0.768729182,0.000988908,0.000802863,0.00643453,0.102070198,0.630556016,0.123999542,0.003869417,0.001449273,0.001666514,0.106008781,0.005372705,0.006781923,0.004323671,0.00567566,0
same-sex_marriage1.0-10925,0,0,0,new york times,2000,3,12,20000312,0.302994993,0.184159525,0.512845483,0.156005595,0.843994405,0.02796717,0.022401088,0.023626494,0.015819204,0.177015546,0.357009564,0.021393851,0.001892053,0.004601551,0.008847934,0.023680474,0.296018012,0.017894237,0.001832823,0
same-sex_marriage1.0-10927,0,0,1,saint paul pioneer press,2000,3,12,20000312,0.219025565,0.133926123,0.647048312,0.074636319,0.925363681,0.008461954,0.000870041,0.023195421,0.00344094,0.044434907,0.496269556,0.015566823,0.002313692,0.007853131,0.011674983,0.001310605,0.009911278,0.329621797,0.045074871,0
same-sex_marriage1.0-1093,0,0,0,new york times,2004,2,6,20040206,0.849521552,0.066975653,0.083502795,0.868054382,0.131945618,0.010118285,0.027407539,0.004758006,0.05901274,0.159110481,0.009594974,0.001131016,0.000701756,0.014071366,0.560100189,0.103104926,0.025174611,0.016952623,0.008761488,0
same-sex_marriage1.0-10930,0,0,0,st. louis post-dispatch,2000,3,12,20000312,0.245264874,0.148436737,0.606298389,0.001848229,0.998151771,0.003253711,0.000992742,0.01340674,0.001245998,0.005852457,0.423164701,0.020886584,0.00089268,0.002996076,0.008612804,0.013857475,0.082978893,0.395650963,0.026208176,0
same-sex_marriage1.0-10931,0,0,0,herald-sun,2000,3,11,20000311,0.289456252,0.261860852,0.448682896,0.112664295,0.887335705,0.003018896,0.002519935,0.519941149,0.003193775,0.02154687,0.00484123,0.000990368,0.001508063,0.00223126,0.001882952,0.067680224,0.365550842,0.000430598,0.004663838,0
same-sex_marriage1.0-10933,0,0,1,new york times,2000,3,9,20000309,0.291257845,0.112734861,0.596007294,0.055375777,0.944624223,0.012906585,0.002576495,0.088386975,0.008545131,0.009982919,0.518634076,0.002319625,0.000790706,0.002381305,0.005660677,0.008919251,0.287118103,0.044037092,0.007741061,0
same-sex_marriage1.0-10934,0,0,1,san jose mercury news,2000,3,9,20000309,0.288239359,0.276645468,0.435115173,0.016160844,0.983839156,0.00738183,0.00736307,0.181806379,0.075310554,0.006942485,0.009428155,0.00103362,0.000893239,0.002429166,0.003718094,0.082847392,0.560417059,0.058701948,0.001727009,0
same-sex_marriage1.0-10935,0,0,0,denver post,2000,3,8,20000308,0.152621028,0.368694472,0.4786845,0.561868671,0.438131329,0.022679242,0.001103061,0.081512702,0.004189596,0.145056744,0.368135385,0.019640383,0.002084433,0.005794111,0.00308645,0.014674073,0.214474101,0.093632123,0.023937596,0
same-sex_marriage1.0-10936,0,0,1,new york times,2000,3,8,20000308,0.418197265,0.279701342,0.302101393,0.088881222,0.911118778,0.002777105,0.000968838,0.011952758,0.010022731,0.016222373,0.021420313,0.001017695,0.001224793,0.002393012,0.033574419,0.008510613,0.464961312,0.422269605,0.002684434,0
same-sex_marriage1.0-10938,0,0,1,philadelphia inquirer,2000,3,8,20000308,0.236946102,0.175451019,0.587602879,0.008950811,0.991049189,0.021110369,0.00337447,0.01486648,0.006811136,0.006329074,0.031708458,0.010487994,0.000768345,0.003479379,0.00386814,0.043072764,0.567569679,0.285742759,0.000810951,0
same-sex_marriage1.0-10939,0,0,0,saint paul pioneer press,2000,3,8,20000308,0.236528459,0.226360383,0.537111158,0.023515728,0.976484272,0.004125292,0.000697322,0.010017446,0.003878844,0.059117202,0.085996086,0.004904546,0.00078419,0.002079128,0.004760336,0.001579113,0.799769145,0.008274859,0.014016491,0
same-sex_marriage1.0-1094,0,0,1,new york times,2004,2,6,20040206,0.721839611,0.102152999,0.17600739,0.729638987,0.270361013,0.035068933,0.002073655,0.00840228,0.146743773,0.40584127,0.014506318,0.004582898,0.000450947,0.017917593,0.228158155,0.109806989,0.003789233,0.00511484,0.017543116,0
same-sex_marriage1.0-10940,0,0,0,san jose mercury news,2000,3,8,20000308,0.624173891,0.199242242,0.176583867,0.018420602,0.981579398,0.000986047,0.000702408,0.001295571,0.005785626,0.040808134,0.007331676,0.003800892,0.00063161,0.001229621,0.001888295,0.003958013,0.026430034,0.900749612,0.00440246,0
same-sex_marriage1.0-10941,0,1,0,san jose mercury news,2000,3,8,20000308,0.155683679,0.161180558,0.683135763,0.012977773,0.987022227,0.010473084,0.011125435,0.008903123,0.002763184,0.058571671,0.01873652,0.002054711,0.000647796,0.001860329,0.005485887,0.029752032,0.774401676,0.068587717,0.006636836,0
same-sex_marriage1.0-10942,0,0,1,st. petersburg times,2000,3,8,20000308,0.162574113,0.344863048,0.492562839,0.01467196,0.98532804,0.022676366,0.007150911,0.068795637,0.006629959,0.003496516,0.321614099,0.006973244,0.001661631,0.002389611,0.001887349,0.042684476,0.128919498,0.383580052,0.00154065,0
same-sex_marriage1.0-10943,0,0,1,washington post,2000,3,8,20000308,0.153851059,0.15762961,0.688519331,0.026267073,0.973732927,0.004932559,0.000707746,0.010484072,0.006557112,0.001594179,0.025301982,0.002810209,0.000640334,0.003081705,0.001640433,0.00329914,0.009021242,0.927219514,0.002709773,0
same-sex_marriage1.0-10944,0,1,0,philadelphia inquirer,2000,3,6,20000306,0.135200403,0.47724936,0.387550237,0.004735158,0.995264842,0.064150764,0.001002194,0.002431067,0.011285637,0.015008888,0.303755847,0.003307329,0.00158448,0.002313606,0.001262915,0.019592337,0.067734826,0.497986211,0.008583898,0
same-sex_marriage1.0-10945,0,0,1,denver post,2000,3,5,20000305,0.500315877,0.235417657,0.264266466,0.148080126,0.851919874,0.000686967,0.000822583,0.91264904,0.00712147,0.001107791,0.005647304,0.008555534,0.001326849,0.004927429,0.005020343,0.005253276,0.039050662,0.006701891,0.001128862,0
same-sex_marriage1.0-10946,0,0,1,philadelphia inquirer,2000,3,5,20000305,0.043061739,0.361724626,0.595213635,0.003960673,0.996039327,0.004882576,0.004149487,0.570627666,0.000730201,0.014698008,0.335987005,0.005598431,0.000879289,0.000349448,0.000443561,0.004609316,0.032658346,0.021472891,0.002913774,0
same-sex_marriage1.0-10947,0,0,0,san jose mercury news,2000,3,5,20000305,0.735722412,0.106158656,0.158118932,0.364024211,0.635975789,0.017899198,0.001331997,0.048721491,0.448198132,0.022486377,0.13509933,0.000912666,0.001114492,0.00136851,0.019069301,0.1793529,0.102225412,0.011151695,0.011068498,0
same-sex_marriage1.0-10948,0,0,0,new york times,2000,3,4,20000304,0.192471452,0.23185818,0.575670368,0.14057935,0.85942065,0.001166093,0.000460337,0.001191955,0.001139788,0.013612231,0.227813415,0.000246422,0.000517682,0.001049639,0.002054312,0.002650166,0.005227038,0.740936887,0.001934035,0
same-sex_marriage1.0-10949,0,0,0,new york times,2000,3,2,20000302,0.701568019,0.163019298,0.135412683,0.067201752,0.932798248,0.003363163,0.009668011,0.002800265,0.148143773,0.474639428,0.241654025,0.006642846,0.000963826,0.010131068,0.020398898,0.000715175,0.005443671,0.05646602,0.018969833,0
same-sex_marriage1.0-1095,0,0,1,new york times,2004,2,6,20040206,0.425840777,0.113075277,0.461083946,0.834396029,0.165603971,0.027133516,0.001226322,0.594763023,0.023105007,0.09736985,0.017460683,0.01279954,0.000778597,0.007539942,0.029358821,0.148972088,0.012701092,0.020231298,0.006560222,0
same-sex_marriage1.0-10950,0,0,0,san jose mercury news,2000,3,2,20000302,0.133192204,0.295785327,0.571022469,0.026252127,0.973747873,0.009897779,0.000860255,0.013216866,0.00174746,0.054675564,0.037214289,0.001833404,0.000900169,0.00202853,0.010322189,0.012321635,0.625327502,0.215971383,0.013682977,0
same-sex_marriage1.0-10951,0,0,0,saint paul pioneer press,2000,2,29,20000229,0.321906235,0.230667358,0.447426408,0.620799223,0.379200777,0.017950855,0.000689129,0.042481154,0.043068159,0.069527805,0.056924293,0.010538592,0.002047868,0.008137849,0.001587488,0.055672191,0.684321952,0.002871001,0.004181663,0
same-sex_marriage1.0-10952,0,0,1,san jose mercury news,2000,2,29,20000229,0.399882633,0.104892015,0.495225352,0.149695296,0.850304704,0.005936569,0.002740861,0.014882313,0.034374238,0.047480939,0.615308556,0.001098691,0.000581958,0.000508995,0.012187131,0.046521093,0.134181002,0.076066513,0.008131142,0
same-sex_marriage1.0-10953,0,0,0,washington post,2000,2,28,20000228,0.43010305,0.220628896,0.349268053,0.00190132,0.99809868,0.0166119,0.000463102,0.089373028,0.001587232,0.003688963,0.019361178,0.000768839,0.00048459,0.130539002,0.010360123,0.002002297,0.620451319,0.102871162,0.001437266,0
same-sex_marriage1.0-10954,0,0,0,washington post,2000,2,27,20000227,0.731183901,0.106488631,0.162327468,0.525235549,0.474764451,0.017588312,0.004887141,0.03363748,0.306852977,0.028217093,0.009823535,0.042170882,0.006237567,0.004610977,0.00863461,0.230958974,0.050872425,0.217165473,0.038342552,0
same-sex_marriage1.0-10955,0,0,0,san jose mercury news,2000,2,26,20000226,0.652865291,0.171966419,0.175168289,0.983454482,0.016545518,0.008223643,0.001471477,0.495500252,0.009580335,0.0062012,0.008897226,0.002551138,0.002766987,0.000635627,0.269745999,0.052341101,0.078158778,0.062263318,0.001662919,0
same-sex_marriage1.0-10956,0,0,0,new york times,2000,2,25,20000225,0.127829807,0.484217242,0.387952951,0.445444702,0.554555298,0.00343694,0.002893845,0.226823444,0.010700522,0.0164703,0.017889224,0.008038373,0.002602165,0.007596993,0.009412891,0.02850022,0.048087434,0.591846576,0.025701072,0
