,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,primary
gun_control1.0-11382,0,0,1,daily news,2012,9,4,20120904,4
gun_control1.0-3187,0,0,1,usa today,1995,2,28,19950228,5
gun_control1.0-3185,0,0,1,atlanta journal and constitution,1995,2,28,19950228,6
gun_control1.0-11386,0,0,1,new york times,2012,8,30,20120830,12
gun_control1.0-1737,0,0,1,washington post,1991,10,31,19911031,12
gun_control1.0-6102,0,0,1,herald-sun,1999,9,24,19990924,10
gun_control1.0-4927,0,0,1,st. petersburg times,1998,6,26,19980626,5
gun_control1.0-6105,0,0,1,palm beach post,1999,9,24,19990924,5
gun_control1.0-1731,0,0,1,washington post,1991,11,3,19911103,2
gun_control1.0-1739,0,0,1,new york times,1991,10,26,19911026,5
gun_control1.0-9453,0,0,1,washington post,2003,4,4,20030404,12
gun_control1.0-12148,0,0,1,washington post,2012,12,29,20121229,2
gun_control1.0-9450,0,0,1,new york times,2003,4,4,20030404,12
gun_control1.0-9105,0,0,1,denver post,2002,4,5,20020405,5
gun_control1.0-9456,0,0,1,denver post,2003,4,1,20030401,4
gun_control1.0-11361,0,0,1,denver post,2012,9,28,20120928,4
gun_control1.0-11360,0,0,1,new york times,2012,9,30,20120930,12
gun_control1.0-8451,0,0,1,denver post,2001,11,27,20011127,0
gun_control1.0-9459,0,0,1,new york times,2003,3,23,20030323,4
gun_control1.0-8981,0,0,1,washington post,2002,6,4,20020604,12
gun_control1.0-8986,0,0,1,washington post,2002,5,31,20020531,4
gun_control1.0-8984,0,0,1,washington post,2002,6,1,20020601,4
gun_control1.0-8985,0,0,1,new york times,2002,5,31,20020531,4
gun_control1.0-11705,0,0,1,atlanta journal and constitution,2012,12,23,20121223,4
gun_control1.0-8216,0,0,1,denver post,2000,9,8,20000908,4
gun_control1.0-11706,0,0,1,atlanta journal and constitution,2012,12,23,20121223,10
gun_control1.0-11701,0,0,1,washington post,2012,12,24,20121224,11
gun_control1.0-8521,0,0,1,washington post,2001,10,5,20011005,4
gun_control1.0-8523,0,0,1,saint paul pioneer press,2001,10,4,20011004,4
gun_control1.0-9857,0,0,1,philadelphia inquirer,2004,3,11,20040311,6
gun_control1.0-9584,0,0,1,denver post,2004,11,7,20041107,4
gun_control1.0-10437,0,0,1,washington post,2010,6,29,20100629,4
gun_control1.0-9580,0,0,1,washington post,2004,11,14,20041114,9
gun_control1.0-9582,0,0,1,st. louis post-dispatch,2004,11,10,20041110,12
gun_control1.0-8855,0,0,1,washington post,2002,10,17,20021017,12
gun_control1.0-8851,0,0,1,washington post,2002,10,18,20021018,12
gun_control1.0-6296,0,0,1,san jose mercury news,1999,8,17,19990817,6
gun_control1.0-429,0,0,1,new york times,1983,6,30,19830630,12
gun_control1.0-6299,0,0,1,atlanta journal and constitution,1999,8,16,19990816,11
gun_control1.0-5708,0,0,1,atlanta journal and constitution,1999,6,22,19990622,12
gun_control1.0-10825,0,0,1,st. petersburg times,2011,5,31,20110531,12
gun_control1.0-5031,0,0,1,st. louis post-dispatch,1998,5,16,19980516,12
gun_control1.0-2766,0,0,1,philadelphia inquirer,1994,5,8,19940508,12
gun_control1.0-9216,0,0,1,st. petersburg times,2003,10,5,20031005,5
gun_control1.0-2760,0,0,1,usa today,1994,5,10,19940510,12
gun_control1.0-9210,0,1,0,st. petersburg times,2003,10,8,20031008,4
gun_control1.0-7142,0,0,1,philadelphia inquirer,2000,4,1,20000401,11
gun_control1.0-385,0,0,1,new york times,1981,1,22,19810122,11
gun_control1.0-7628,0,0,1,st. louis post-dispatch,2000,5,22,20000522,11
gun_control1.0-11962,0,0,1,washington post,2012,12,18,20121218,12
gun_control1.0-6082,0,0,1,st. petersburg times,1999,5,21,19990521,12
gun_control1.0-6832,0,0,1,denver post,1999,11,24,19991124,12
gun_control1.0-8674,0,0,1,new york times,2001,5,18,20010518,2
gun_control1.0-2315,0,0,1,st. petersburg times,1994,1,6,19940106,12
gun_control1.0-8671,0,0,1,philadelphia inquirer,2001,5,20,20010520,10
gun_control1.0-11561,0,1,0,washington post,2012,7,24,20120724,13
gun_control1.0-1530,0,0,1,usa today,1992,5,5,19920505,6
gun_control1.0-11565,0,0,1,denver post,2012,7,23,20120723,12
gun_control1.0-11567,0,0,1,palm beach post,2012,7,23,20120723,6
gun_control1.0-8299,0,0,1,washington post,2000,8,7,20000807,5
gun_control1.0-8296,0,0,1,new york times,2000,8,7,20000807,13
gun_control1.0-8297,0,0,1,new york times,2000,8,7,20000807,12
gun_control1.0-6691,0,0,1,denver post,2000,1,7,20000107,6
gun_control1.0-11408,0,0,1,tampa bay times,2012,8,17,20120817,12
gun_control1.0-11655,0,1,0,san jose mercury news,2012,5,22,20120522,0
gun_control1.0-10943,0,0,1,new york times,2011,1,29,20110129,12
gun_control1.0-7882,0,0,1,herald-sun,2001,3,13,20010313,12
gun_control1.0-8661,0,0,1,new york times,2001,6,3,20010603,0
gun_control1.0-1441,0,0,1,usa today,1992,7,24,19920724,12
gun_control1.0-1022,0,0,1,new york times,1991,5,9,19910509,12
gun_control1.0-1021,0,0,1,atlanta journal and constitution,1991,5,9,19910509,5
gun_control1.0-2190,0,0,1,new york times,1992,12,22,19921222,10
gun_control1.0-7889,0,0,1,saint paul pioneer press,2001,3,9,20010309,12
gun_control1.0-1126,0,0,1,st. louis post-dispatch,1991,4,15,19910415,12
gun_control1.0-1124,0,0,1,new york times,1991,4,15,19910415,12
gun_control1.0-848,0,1,0,st. louis post-dispatch,1989,3,2,19890302,5
gun_control1.0-1122,0,0,1,usa today,1991,4,17,19910417,7
gun_control1.0-8278,0,0,1,daily news,2000,8,16,20000816,6
gun_control1.0-6496,0,0,1,atlanta journal and constitution,1999,7,8,19990708,6
gun_control1.0-10947,0,0,1,new york times,2011,1,27,20110127,12
gun_control1.0-3998,0,0,1,st. petersburg times,1996,9,21,19960921,12
gun_control1.0-12036,0,0,1,san jose mercury news,2012,12,16,20121216,6
gun_control1.0-8070,0,0,1,denver post,2000,10,31,20001031,12
gun_control1.0-10949,0,0,1,saint paul pioneer press,2011,1,27,20110127,12
gun_control1.0-3960,0,0,1,new york times,1996,10,23,19961023,12
gun_control1.0-3963,0,0,1,san jose mercury news,1996,10,22,19961022,4
gun_control1.0-272,0,0,1,new york times,1982,8,20,19820820,4
gun_control1.0-274,0,1,0,new york times,1982,7,20,19820720,12
gun_control1.0-277,0,1,0,new york times,1982,7,1,19820701,5
gun_control1.0-6711,0,0,1,st. petersburg times,2000,1,1,20000101,6
gun_control1.0-1982,0,0,1,palm beach post,1993,8,12,19930812,12
gun_control1.0-8186,0,0,1,washington post,2000,9,17,20000917,12
gun_control1.0-8187,0,0,1,denver post,2000,9,16,20000916,11
gun_control1.0-8275,0,0,1,new york times,2000,8,17,20000817,6
gun_control1.0-8185,0,0,1,saint paul pioneer press,2000,9,17,20000917,12
gun_control1.0-2050,0,0,1,new york times,1993,5,25,19930525,12
gun_control1.0-6244,0,0,1,denver post,1999,8,26,19990826,11
gun_control1.0-5100,0,0,1,new york times,1998,4,6,19980406,12
gun_control1.0-673,0,0,1,palm beach post,1989,6,19,19890619,12
gun_control1.0-2611,0,0,1,new york times,1993,11,10,19931110,12
gun_control1.0-5242,0,0,1,denver post,1999,3,29,19990329,7
gun_control1.0-5241,0,0,1,st. louis post-dispatch,1999,3,30,19990330,12
gun_control1.0-5246,0,1,0,st. louis post-dispatch,1999,3,29,19990329,2
gun_control1.0-5248,0,0,1,st. louis post-dispatch,1999,3,28,19990328,0
gun_control1.0-5883,0,0,1,washington post,1999,6,11,19990611,12
gun_control1.0-7701,0,0,1,new york times,2000,5,15,20000515,11
gun_control1.0-418,0,1,0,new york times,1980,6,13,19800613,12
gun_control1.0-416,0,0,1,new york times,1980,6,14,19800614,8
gun_control1.0-5972,0,0,1,new york times,1999,5,30,19990530,4
gun_control1.0-2905,0,0,1,st. louis post-dispatch,1994,3,28,19940328,12
gun_control1.0-2900,0,0,1,usa today,1994,3,30,19940330,13
gun_control1.0-6919,0,0,1,washington post,1999,10,22,19991022,12
gun_control1.0-1036,0,0,1,washington post,1991,5,9,19910509,6
gun_control1.0-5846,0,0,1,new york times,1999,6,14,19990614,10
gun_control1.0-10840,0,0,1,st. petersburg times,2011,5,7,20110507,12
gun_control1.0-10843,0,1,0,washington post,2011,5,2,20110502,12
gun_control1.0-1230,0,0,1,washington post,1991,3,8,19910308,12
gun_control1.0-10845,0,0,1,new york times,2011,4,30,20110430,7
gun_control1.0-1236,0,0,1,new york times,1991,2,21,19910221,4
gun_control1.0-10847,0,0,1,herald-sun,2011,4,29,20110429,5
gun_control1.0-5009,0,0,1,st. petersburg times,1998,5,29,19980529,6
gun_control1.0-3741,0,0,1,st. louis post-dispatch,1995,6,7,19950607,11
gun_control1.0-3740,0,0,1,herald-sun,1995,6,7,19950607,12
gun_control1.0-11254,0,0,1,daily news,2012,2,11,20120211,12
gun_control1.0-11405,0,0,1,herald-sun,2012,8,17,20120817,12
gun_control1.0-3747,0,0,1,palm beach post,1995,6,4,19950604,11
gun_control1.0-3749,0,1,0,st. louis post-dispatch,1995,6,4,19950604,7
gun_control1.0-3748,0,0,1,palm beach post,1995,6,4,19950604,10
gun_control1.0-301,0,0,1,new york times,1981,12,27,19811227,12
gun_control1.0-7899,0,0,1,st. louis post-dispatch,2001,3,2,20010302,11
gun_control1.0-303,0,0,1,new york times,1981,12,11,19811211,12
gun_control1.0-306,0,0,1,new york times,1981,11,25,19811125,6
gun_control1.0-309,0,0,1,new york times,1981,10,22,19811022,9
gun_control1.0-10445,0,0,1,palm beach post,2010,6,18,20100618,5
gun_control1.0-10444,0,0,1,philadelphia inquirer,2010,6,19,20100619,12
gun_control1.0-2832,0,0,1,philadelphia inquirer,1994,4,26,19940426,12
gun_control1.0-2833,0,0,1,san jose mercury news,1994,4,26,19940426,2
gun_control1.0-10441,0,1,0,denver post,2010,6,26,20100626,4
gun_control1.0-2836,0,0,1,new york times,1994,4,25,19940425,6
gun_control1.0-6828,0,0,1,st. louis post-dispatch,1999,11,27,19991127,6
gun_control1.0-1835,0,1,0,palm beach post,1991,7,5,19910705,6
gun_control1.0-2839,0,0,1,st. louis post-dispatch,1994,4,23,19940423,6
gun_control1.0-6825,0,0,1,san jose mercury news,1999,11,29,19991129,12
gun_control1.0-6824,0,1,0,washington post,1999,11,30,19991130,12
gun_control1.0-6822,0,0,1,washington post,1999,12,1,19991201,12
gun_control1.0-9970,0,1,0,saint paul pioneer press,2004,1,24,20040124,12
gun_control1.0-3981,0,0,1,washington post,1996,10,1,19961001,11
gun_control1.0-6380,0,0,1,denver post,1999,8,1,19990801,5
gun_control1.0-3987,0,1,0,saint paul pioneer press,1996,9,28,19960928,12
gun_control1.0-10930,0,0,1,new york times,2011,2,5,20110205,12
gun_control1.0-3985,0,0,1,philadelphia inquirer,1996,9,29,19960929,8
gun_control1.0-10315,0,0,1,philadelphia inquirer,2010,10,29,20101029,12
gun_control1.0-3988,0,0,1,washington post,1996,9,27,19960927,11
gun_control1.0-9604,0,0,1,palm beach post,2004,10,12,20041012,5
gun_control1.0-10642,0,0,1,atlanta journal and constitution,2011,12,11,20111211,6
gun_control1.0-4757,0,0,1,saint paul pioneer press,1996,12,12,19961212,6
gun_control1.0-4756,0,0,1,new york times,1996,12,12,19961212,4
gun_control1.0-4538,0,0,1,atlanta journal and constitution,1997,5,14,19970514,12
gun_control1.0-4753,0,0,1,saint paul pioneer press,1996,12,13,19961213,6
gun_control1.0-894,0,0,1,st. petersburg times,1989,1,20,19890120,6
gun_control1.0-4758,0,0,1,washington post,1996,12,12,19961212,6
gun_control1.0-8260,0,0,1,st. petersburg times,2000,8,22,20000822,12
gun_control1.0-10719,0,0,1,philadelphia inquirer,2011,10,9,20111009,4
gun_control1.0-7718,0,0,1,daily news,2000,5,14,20000514,11
gun_control1.0-9546,0,0,1,atlanta journal and constitution,2003,1,15,20030115,8
gun_control1.0-10715,0,0,1,new york times,2011,10,10,20111010,10
gun_control1.0-3819,0,0,1,herald-sun,1995,5,11,19950511,12
gun_control1.0-7715,0,0,1,washington post,2000,5,15,20000515,11
gun_control1.0-7713,0,0,1,st. louis post-dispatch,2000,5,15,20000515,11
gun_control1.0-10622,0,1,0,washington post,2011,12,30,20111230,4
gun_control1.0-10624,0,0,1,new york times,2011,12,29,20111229,7
gun_control1.0-10627,0,0,1,new york times,2011,12,23,20111223,5
gun_control1.0-10626,0,0,1,atlanta journal and constitution,2011,12,24,20111224,0
gun_control1.0-10629,0,0,1,usa today,2011,12,20,20111220,5
gun_control1.0-1908,0,0,1,st. petersburg times,1993,10,3,19931003,5
gun_control1.0-10312,0,0,1,st. petersburg times,2010,11,7,20101107,4
gun_control1.0-11100,0,0,1,new york times,2012,4,13,20120413,4
gun_control1.0-4195,0,1,0,philadelphia inquirer,1996,4,11,19960411,4
gun_control1.0-10766,0,0,1,st. petersburg times,2011,8,5,20110805,8
gun_control1.0-3814,0,0,1,atlanta journal and constitution,1995,5,12,19950512,6
gun_control1.0-4199,0,0,1,atlanta journal and constitution,1996,4,10,19960410,8
gun_control1.0-10767,0,0,1,new york times,2011,8,4,20110804,4
gun_control1.0-6973,0,0,1,denver post,1999,10,2,19991002,12
gun_control1.0-3572,0,1,0,st. louis post-dispatch,1995,11,14,19951114,8
gun_control1.0-10159,0,0,1,washington post,2005,5,20,20050520,12
gun_control1.0-6972,0,0,1,new york times,1999,10,3,19991003,12
gun_control1.0-3574,0,0,1,herald-sun,1995,11,12,19951112,5
gun_control1.0-3811,0,0,1,philadelphia inquirer,1995,5,13,19950513,12
gun_control1.0-2677,0,0,1,atlanta journal and constitution,1994,6,30,19940630,12
gun_control1.0-3579,0,0,1,usa today,1995,11,10,19951110,5
gun_control1.0-10156,0,0,1,washington post,2005,5,22,20050522,12
gun_control1.0-3810,0,0,1,new york times,1995,5,13,19950513,12
gun_control1.0-2163,0,0,1,usa today,1993,1,29,19930129,5
gun_control1.0-7406,0,0,1,denver post,2000,3,2,20000302,5
gun_control1.0-6977,0,0,1,new york times,1999,10,1,19991001,12
gun_control1.0-2168,0,0,1,usa today,1993,1,26,19930126,5
gun_control1.0-3954,0,1,0,washington post,1996,10,31,19961031,5
gun_control1.0-732,0,0,1,usa today,1989,5,1,19890501,10
gun_control1.0-7088,0,0,1,atlanta journal and constitution,2000,4,9,20000409,5
gun_control1.0-5755,0,0,1,new york times,1999,6,19,19990619,12
gun_control1.0-5756,0,0,1,new york times,1999,6,19,19990619,12
gun_control1.0-5757,0,0,1,new york times,1999,6,19,19990619,12
gun_control1.0-7082,0,0,1,denver post,2000,4,11,20000411,12
gun_control1.0-7083,0,1,0,new york times,2000,4,11,20000411,7
gun_control1.0-10442,0,0,1,atlanta journal and constitution,2010,6,24,20100624,5
gun_control1.0-5753,0,0,1,new york times,1999,6,19,19990619,12
gun_control1.0-3468,0,0,1,philadelphia inquirer,1994,8,23,19940823,12
gun_control1.0-1185,0,1,0,new york times,1991,3,28,19910328,12
gun_control1.0-7062,0,0,1,st. louis post-dispatch,2000,4,13,20000413,12
gun_control1.0-5061,0,1,0,st. louis post-dispatch,1998,4,29,19980429,11
gun_control1.0-7064,0,0,1,washington post,2000,4,13,20000413,12
gun_control1.0-6048,0,0,1,daily news,1999,5,22,19990522,12
gun_control1.0-6599,0,0,1,new york times,2000,2,1,20000201,12
gun_control1.0-6044,0,0,1,washington post,1999,5,23,19990523,12
gun_control1.0-6595,0,0,1,new york times,2000,2,2,20000202,5
gun_control1.0-3953,0,0,1,st. louis post-dispatch,1996,10,31,19961031,8
gun_control1.0-6593,0,0,1,washington post,2000,2,4,20000204,6
gun_control1.0-2294,0,0,1,new york times,1994,1,9,19940109,0
gun_control1.0-7667,0,0,1,new york times,2000,5,17,20000517,12
gun_control1.0-10380,0,0,1,st. petersburg times,2010,7,30,20100730,4
gun_control1.0-7660,0,0,1,st. louis post-dispatch,2000,5,19,20000519,12
gun_control1.0-7661,0,0,1,herald-sun,2000,5,18,20000518,4
gun_control1.0-6965,0,0,1,denver post,1999,10,5,19991005,7
gun_control1.0-7668,0,0,1,new york times,2000,5,17,20000517,12
gun_control1.0-7669,0,0,1,saint paul pioneer press,2000,5,17,20000517,11
gun_control1.0-6449,0,0,1,new york times,1999,7,15,19990715,12
gun_control1.0-6448,0,0,1,denver post,1999,7,15,19990715,12
gun_control1.0-2672,0,0,1,denver post,1994,7,3,19940703,6
gun_control1.0-6888,0,0,1,atlanta journal and constitution,1999,11,2,19991102,2
gun_control1.0-3722,0,1,0,new york times,1995,6,22,19950622,6
gun_control1.0-6443,0,0,1,st. louis post-dispatch,1999,7,16,19990716,5
gun_control1.0-6442,0,0,1,st. louis post-dispatch,1999,7,16,19990716,10
gun_control1.0-6445,0,0,1,washington post,1999,7,16,19990716,12
gun_control1.0-3721,0,0,1,herald-sun,1995,6,22,19950622,10
gun_control1.0-3609,0,0,1,herald-sun,1995,10,4,19951004,12
gun_control1.0-9934,0,0,1,new york times,2004,2,24,20040224,12
gun_control1.0-9935,0,0,1,denver post,2004,2,23,20040223,4
gun_control1.0-9936,0,0,1,palm beach post,2004,2,23,20040223,5
gun_control1.0-9930,0,1,0,washington post,2004,2,25,20040225,5
gun_control1.0-9433,0,0,1,new york times,2003,4,21,20030421,4
gun_control1.0-9939,0,0,1,st. petersburg times,2004,2,20,20040220,5
gun_control1.0-10793,0,0,1,new york times,2011,7,2,20110702,5
gun_control1.0-2580,0,0,1,usa today,1993,11,18,19931118,12
gun_control1.0-2582,0,0,1,palm beach post,1993,11,17,19931117,13
gun_control1.0-2583,0,0,1,usa today,1993,11,17,19931117,12
gun_control1.0-2587,0,0,1,washington post,1993,11,16,19931116,13
gun_control1.0-5938,0,0,1,atlanta journal and constitution,1999,6,4,19990604,12
gun_control1.0-5939,0,0,1,new york times,1999,6,4,19990604,12
gun_control1.0-9781,0,0,1,st. louis post-dispatch,2004,5,29,20040529,4
gun_control1.0-6626,0,0,1,saint paul pioneer press,2000,1,28,20000128,12
gun_control1.0-5931,0,0,1,atlanta journal and constitution,1999,6,5,19990605,12
gun_control1.0-5932,0,0,1,new york times,1999,6,5,19990605,12
gun_control1.0-6143,0,0,1,new york times,1999,9,18,19990918,12
gun_control1.0-5934,0,0,1,philadelphia inquirer,1999,6,5,19990605,12
gun_control1.0-5064,0,0,1,philadelphia inquirer,1998,4,28,19980428,8
gun_control1.0-5936,0,1,0,st. louis post-dispatch,1999,6,5,19990605,12
gun_control1.0-5804,0,0,1,washington post,1999,6,17,19990617,7
gun_control1.0-5805,0,0,1,washington post,1999,6,17,19990617,12
gun_control1.0-4401,0,1,0,st. louis post-dispatch,1997,10,12,19971012,11
gun_control1.0-5807,0,0,1,washington post,1999,6,17,19990617,5
gun_control1.0-4406,0,0,1,washington post,1997,10,8,19971008,4
gun_control1.0-9739,0,0,1,new york times,2004,7,24,20040724,12
gun_control1.0-3352,0,0,1,philadelphia inquirer,1994,11,1,19941101,7
gun_control1.0-9734,0,0,1,philadelphia inquirer,2004,7,28,20040728,4
gun_control1.0-3351,0,0,1,denver post,1994,11,1,19941101,12
gun_control1.0-5808,0,0,1,atlanta journal and constitution,1999,6,16,19990616,12
gun_control1.0-3354,0,0,1,philadelphia inquirer,1994,10,31,19941031,11
gun_control1.0-11175,0,0,1,daily news,2012,3,27,20120327,4
gun_control1.0-3198,0,0,1,st. louis post-dispatch,1995,2,23,19950223,12
gun_control1.0-217,0,0,1,new york times,1985,10,4,19851004,4
gun_control1.0-2348,0,0,1,usa today,1993,12,30,19931230,4
gun_control1.0-4188,0,0,1,st. petersburg times,1996,4,16,19960416,7
gun_control1.0-10264,0,1,0,saint paul pioneer press,2005,1,23,20050123,10
gun_control1.0-3190,0,0,1,atlanta journal and constitution,1995,2,26,19950226,12
gun_control1.0-2343,0,1,0,st. petersburg times,1993,12,31,19931231,6
gun_control1.0-2340,0,0,1,atlanta journal and constitution,1993,12,31,19931231,5
gun_control1.0-3195,0,0,1,washington post,1995,2,24,19950224,4
gun_control1.0-6137,0,0,1,washington post,1999,9,19,19990919,5
gun_control1.0-6136,0,0,1,washington post,1999,9,19,19990919,0
gun_control1.0-6130,0,0,1,philadelphia inquirer,1999,9,20,19990920,12
gun_control1.0-6132,0,0,1,denver post,1999,9,19,19990919,6
gun_control1.0-10366,0,0,1,washington post,2010,8,27,20100827,2
gun_control1.0-212,0,0,1,new york times,1985,11,24,19851124,6
gun_control1.0-9441,0,0,1,philadelphia inquirer,2003,4,10,20030410,4
gun_control1.0-9114,0,0,1,st. louis post-dispatch,2003,12,19,20031219,4
gun_control1.0-1188,0,0,1,usa today,1991,3,28,19910328,12
gun_control1.0-11356,0,0,1,palm beach post,2012,10,11,20121011,4
gun_control1.0-5392,0,0,1,atlanta journal and constitution,1999,2,7,19990207,12
gun_control1.0-9446,0,0,1,san jose mercury news,2003,4,5,20030405,0
gun_control1.0-9111,0,0,1,washington post,2003,12,31,20031231,12
gun_control1.0-8465,0,0,1,denver post,2001,11,14,20011114,7
gun_control1.0-10360,0,1,0,san jose mercury news,2010,9,7,20100907,10
gun_control1.0-11606,0,0,1,atlanta journal and constitution,2012,6,29,20120629,13
gun_control1.0-8466,0,0,1,st. petersburg times,2001,11,14,20011114,4
gun_control1.0-11600,0,1,0,palm beach post,2012,7,6,20120706,4
gun_control1.0-8463,0,0,1,new york times,2001,11,20,20011120,7
gun_control1.0-8519,0,0,1,st. louis post-dispatch,2001,10,10,20011010,4
gun_control1.0-9020,0,0,1,new york times,2002,5,12,20020512,7
gun_control1.0-11737,0,0,1,denver post,2012,12,22,20121222,7
gun_control1.0-11774,0,0,1,new york times,2012,12,21,20121221,11
gun_control1.0-9849,0,0,1,atlanta journal and constitution,2004,3,16,20040316,5
gun_control1.0-11777,0,0,1,philadelphia inquirer,2012,12,21,20121221,12
gun_control1.0-11778,0,0,1,philadelphia inquirer,2012,12,21,20121221,0
gun_control1.0-9847,0,1,0,saint paul pioneer press,2004,3,17,20040317,4
gun_control1.0-8515,0,0,1,st. petersburg times,2001,10,12,20011012,12
gun_control1.0-1585,0,0,1,washington post,1992,3,24,19920324,12
gun_control1.0-7770,0,0,1,philadelphia inquirer,2000,5,12,20000512,12
gun_control1.0-1587,0,0,1,atlanta journal and constitution,1992,3,23,19920323,10
gun_control1.0-665,0,0,1,st. louis post-dispatch,1989,6,23,19890623,12
gun_control1.0-11284,0,0,1,washington post,2012,1,29,20120129,12
gun_control1.0-1580,0,1,0,st. louis post-dispatch,1992,3,28,19920328,6
gun_control1.0-9595,0,1,0,saint paul pioneer press,2004,10,22,20041022,12
gun_control1.0-11288,0,0,1,philadelphia inquirer,2012,1,21,20120121,6
gun_control1.0-9598,0,0,1,saint paul pioneer press,2004,10,20,20041020,10
gun_control1.0-1589,0,0,1,st. louis post-dispatch,1992,3,21,19920321,5
gun_control1.0-8864,0,0,1,palm beach post,2002,10,14,20021014,2
gun_control1.0-8866,0,0,1,washington post,2002,10,14,20021014,7
gun_control1.0-2759,0,0,1,usa today,1994,5,10,19940510,0
gun_control1.0-11749,0,0,1,st. louis post-dispatch,2012,12,22,20121222,11
gun_control1.0-3154,0,0,1,st. louis post-dispatch,1995,3,16,19950316,12
gun_control1.0-3014,0,0,1,atlanta journal and constitution,1994,2,27,19940227,12
gun_control1.0-9202,0,0,1,st. louis post-dispatch,2003,10,10,20031010,4
gun_control1.0-9203,0,0,1,saint paul pioneer press,2003,10,9,20031009,4
gun_control1.0-9200,0,0,1,san jose mercury news,2003,10,10,20031010,10
gun_control1.0-9206,0,0,1,st. louis post-dispatch,2003,10,9,20031009,4
gun_control1.0-9204,0,1,0,st. louis post-dispatch,2003,10,9,20031009,6
gun_control1.0-2756,0,0,1,atlanta journal and constitution,1994,5,10,19940510,12
gun_control1.0-3016,0,0,1,denver post,1994,2,27,19940227,4
gun_control1.0-8885,0,0,1,saint paul pioneer press,2002,10,8,20021008,12
gun_control1.0-3158,0,0,1,new york times,1995,3,15,19950315,6
gun_control1.0-8889,0,0,1,denver post,2002,10,4,20021004,0
gun_control1.0-9777,0,0,1,new york times,2004,6,16,20040616,11
gun_control1.0-12154,0,0,1,new york times,2012,12,28,20121228,12
gun_control1.0-584,0,0,1,palm beach post,1989,10,11,19891011,6
gun_control1.0-11598,0,1,0,palm beach post,2012,7,10,20120710,6
gun_control1.0-12152,0,0,1,daily news,2012,12,28,20121228,12
gun_control1.0-4991,0,0,1,philadelphia inquirer,1998,6,7,19980607,12
gun_control1.0-4993,0,1,0,new york times,1998,6,6,19980606,13
gun_control1.0-12158,0,0,1,tampa bay times,2012,12,28,20121228,7
gun_control1.0-10402,0,0,1,atlanta journal and constitution,2010,7,5,20100705,4
gun_control1.0-1058,0,0,1,usa today,1991,5,7,19910507,10
gun_control1.0-1057,0,0,1,new york times,1991,5,7,19910507,5
gun_control1.0-1056,0,0,1,new york times,1991,5,7,19910507,12
gun_control1.0-7870,0,0,1,philadelphia inquirer,2001,3,23,20010323,4
gun_control1.0-1051,0,0,1,washington post,1991,5,8,19910508,6
gun_control1.0-7874,0,0,1,philadelphia inquirer,2001,3,20,20010320,12
gun_control1.0-8245,0,0,1,philadelphia inquirer,2000,8,25,20000825,12
gun_control1.0-1136,0,0,1,palm beach post,1991,4,11,19910411,12
gun_control1.0-11820,0,0,1,philadelphia inquirer,2012,12,20,20121220,12
gun_control1.0-11822,0,1,0,philadelphia inquirer,2012,12,20,20121220,12
gun_control1.0-8242,0,1,0,palm beach post,2000,8,29,20000829,3
gun_control1.0-11745,0,0,1,san jose mercury news,2012,12,22,20121222,6
gun_control1.0-7730,0,0,1,philadelphia inquirer,2000,5,14,20000514,12
gun_control1.0-2059,0,0,1,new york times,1993,5,16,19930516,12
gun_control1.0-11828,0,0,1,san jose mercury news,2012,12,20,20121220,8
gun_control1.0-1139,0,1,0,atlanta journal and constitution,1991,4,10,19910410,5
gun_control1.0-8088,0,1,0,st. louis post-dispatch,2000,10,22,20001022,12
gun_control1.0-248,0,0,1,new york times,1984,10,13,19841013,12
gun_control1.0-249,0,0,1,new york times,1984,7,7,19840707,12
gun_control1.0-799,0,0,1,st. louis post-dispatch,1989,3,22,19890322,5
gun_control1.0-796,0,0,1,st. louis post-dispatch,1989,3,23,19890323,10
gun_control1.0-3974,0,0,1,philadelphia inquirer,1996,10,13,19961013,12
gun_control1.0-247,0,0,1,new york times,1984,10,20,19841020,4
gun_control1.0-792,0,0,1,new york times,1989,3,23,19890323,6
gun_control1.0-243,0,0,1,new york times,1984,12,5,19841205,11
gun_control1.0-8644,0,0,1,washington post,2001,6,23,20010623,4
gun_control1.0-8647,0,0,1,palm beach post,2001,6,19,20010619,4
gun_control1.0-7988,0,1,0,palm beach post,2001,1,4,20010104,7
gun_control1.0-7986,0,0,1,washington post,2001,1,5,20010105,8
gun_control1.0-7982,0,0,1,st. louis post-dispatch,2001,1,6,20010106,5
gun_control1.0-7981,0,0,1,st. louis post-dispatch,2001,1,6,20010106,4
gun_control1.0-2628,0,0,1,st. louis post-dispatch,1993,11,5,19931105,6
gun_control1.0-2624,0,0,1,palm beach post,1993,11,5,19931105,5
gun_control1.0-642,0,0,1,st. louis post-dispatch,1989,7,15,19890715,5
gun_control1.0-5111,0,0,1,philadelphia inquirer,1998,3,31,19980331,12
gun_control1.0-646,0,0,1,st. petersburg times,1989,7,13,19890713,10
gun_control1.0-5237,0,0,1,denver post,1999,3,30,19990330,4
gun_control1.0-5236,0,0,1,atlanta journal and constitution,1999,3,30,19990330,2
gun_control1.0-5235,0,0,1,st. louis post-dispatch,1999,3,31,19990331,11
gun_control1.0-2668,0,0,1,denver post,1994,7,7,19940707,12
gun_control1.0-9924,0,0,1,washington post,2004,2,26,20040226,12
