,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti
same-sex_marriage1.0-10967,0,1,daily news,2000,2,17,20000217,0,0,1
same-sex_marriage1.0-8751,0,1,tampa bay times,2012,12,16,20121216,1,0,0
same-sex_marriage1.0-8750,0,0,new york times,2012,12,16,20121216,1,0,0
same-sex_marriage1.0-2728,0,1,washington post,2005,8,25,20050825,0,0,1
same-sex_marriage1.0-2729,0,0,san jose mercury news,2005,8,23,20050823,1,0,0
same-sex_marriage1.0-2722,0,0,washington post,2005,9,2,20050902,1,0,0
same-sex_marriage1.0-2723,0,0,san jose mercury news,2005,9,1,20050901,0,1,0
same-sex_marriage1.0-2720,0,1,san jose mercury news,2005,9,2,20050902,1,0,0
same-sex_marriage1.0-2721,0,0,st. petersburg times,2005,9,2,20050902,0,0,1
same-sex_marriage1.0-2727,0,0,st. louis post-dispatch,2005,8,26,20050826,0,1,0
same-sex_marriage1.0-2724,0,0,washington post,2005,8,31,20050831,1,0,0
same-sex_marriage1.0-2725,0,0,san jose mercury news,2005,8,29,20050829,1,0,0
same-sex_marriage1.0-10630,0,0,saint paul pioneer press,1997,3,20,19970320,0,0,1
same-sex_marriage1.0-10631,0,1,washington post,1997,3,20,19970320,0,1,0
same-sex_marriage1.0-10632,0,0,saint paul pioneer press,1997,3,19,19970319,0,1,0
same-sex_marriage1.0-10633,0,1,denver post,1997,3,14,19970314,0,0,1
same-sex_marriage1.0-10634,0,1,saint paul pioneer press,1997,3,14,19970314,0,0,1
same-sex_marriage1.0-10635,0,0,new york times,1997,3,13,19970313,0,1,0
same-sex_marriage1.0-10636,0,0,st. petersburg times,1997,3,13,19970313,0,0,1
same-sex_marriage1.0-10637,0,0,denver post,1997,3,12,19970312,0,1,0
same-sex_marriage1.0-10638,0,0,denver post,1997,3,12,19970312,0,0,1
same-sex_marriage1.0-10639,1,0,denver post,1997,3,11,19970311,0,0,1
same-sex_marriage1.0-1183,0,0,atlanta journal and constitution,2004,3,31,20040331,1,0,0
same-sex_marriage1.0-1182,0,0,washington post,2004,1,1,20040101,1,0,0
same-sex_marriage1.0-1180,0,0,atlanta journal and constitution,2004,1,1,20040101,1,0,0
same-sex_marriage1.0-1187,0,1,new york times,2004,3,31,20040331,0,0,1
same-sex_marriage1.0-1186,0,0,new york times,2004,3,31,20040331,0,0,1
same-sex_marriage1.0-1184,0,0,atlanta journal and constitution,2004,3,31,20040331,0,0,1
same-sex_marriage1.0-6407,0,0,washington post,2010,7,9,20100709,1,0,0
same-sex_marriage1.0-6406,0,1,new york times,2010,7,9,20100709,0,0,1
same-sex_marriage1.0-1189,0,1,philadelphia inquirer,2004,3,31,20040331,0,1,0
same-sex_marriage1.0-6403,0,0,washington post,2010,7,10,20100710,0,1,0
same-sex_marriage1.0-6402,0,0,washington post,2010,7,10,20100710,1,0,0
same-sex_marriage1.0-6401,0,0,new york times,2010,7,10,20100710,1,0,0
same-sex_marriage1.0-6400,0,1,new york times,2010,7,10,20100710,0,1,0
same-sex_marriage1.0-4570,0,1,st. louis post-dispatch,2007,2,11,20070211,0,0,1
same-sex_marriage1.0-224,0,0,san jose mercury news,2001,1,2,20010102,1,0,0
same-sex_marriage1.0-225,0,0,denver post,2003,12,30,20031230,1,0,0
same-sex_marriage1.0-226,0,0,atlanta journal and constitution,2003,12,29,20031229,1,0,0
same-sex_marriage1.0-227,0,1,atlanta journal and constitution,2003,12,29,20031229,0,0,1
same-sex_marriage1.0-220,0,0,new york times,2001,1,28,20010128,1,0,0
same-sex_marriage1.0-221,0,0,atlanta journal and constitution,2001,1,27,20010127,0,1,0
same-sex_marriage1.0-194,0,0,st. louis post-dispatch,2001,3,16,20010316,1,0,0
same-sex_marriage1.0-195,0,0,washington post,2001,3,16,20010316,0,0,1
same-sex_marriage1.0-192,0,1,philadelphia inquirer,2001,3,17,20010317,0,1,0
same-sex_marriage1.0-193,0,0,washington post,2001,3,17,20010317,0,0,1
same-sex_marriage1.0-190,0,0,atlanta journal and constitution,2001,3,17,20010317,0,0,1
same-sex_marriage1.0-4573,0,0,new york times,2007,2,3,20070203,0,0,1
same-sex_marriage1.0-198,0,1,herald-sun,2001,3,15,20010315,1,0,0
same-sex_marriage1.0-9188,0,0,washington post,2012,11,9,20121109,1,0,0
same-sex_marriage1.0-7912,0,0,denver post,2012,2,14,20120214,1,0,0
same-sex_marriage1.0-7913,0,1,new york times,2012,2,14,20120214,1,0,0
same-sex_marriage1.0-7911,0,1,washington post,2012,2,15,20120215,1,0,0
same-sex_marriage1.0-9182,0,1,new york times,2012,11,9,20121109,0,1,0
same-sex_marriage1.0-9186,0,1,san jose mercury news,2012,11,9,20121109,1,0,0
same-sex_marriage1.0-7918,0,0,usa today,2012,2,14,20120214,1,0,0
same-sex_marriage1.0-5848,0,1,denver post,2009,4,5,20090405,1,0,0
same-sex_marriage1.0-5842,0,1,washington post,2009,4,8,20090408,1,0,0
same-sex_marriage1.0-5843,0,1,atlanta journal and constitution,2009,4,7,20090407,1,0,0
same-sex_marriage1.0-5840,0,0,usa today,2009,4,8,20090408,1,0,0
same-sex_marriage1.0-5841,0,1,washington post,2009,4,8,20090408,1,0,0
same-sex_marriage1.0-5846,0,0,washington post,2009,4,7,20090407,1,0,0
same-sex_marriage1.0-5847,0,1,atlanta journal and constitution,2009,4,5,20090405,0,1,0
same-sex_marriage1.0-5845,0,0,washington post,2009,4,7,20090407,1,0,0
same-sex_marriage1.0-4463,0,1,st. louis post-dispatch,2007,5,23,20070523,1,0,0
same-sex_marriage1.0-9982,0,0,st. louis post-dispatch,1996,9,23,19960923,0,1,0
same-sex_marriage1.0-9981,1,0,atlanta journal and constitution,1996,9,23,19960923,0,0,1
same-sex_marriage1.0-4460,0,0,new york times,2007,6,1,20070601,1,0,0
same-sex_marriage1.0-4467,0,0,new york times,2007,5,19,20070519,0,1,0
same-sex_marriage1.0-4466,0,1,new york times,2007,5,20,20070520,1,0,0
same-sex_marriage1.0-4465,1,0,st. louis post-dispatch,2007,5,22,20070522,0,0,1
same-sex_marriage1.0-4464,0,0,new york times,2007,5,22,20070522,1,0,0
same-sex_marriage1.0-4469,0,0,new york times,2007,5,15,20070515,1,0,0
same-sex_marriage1.0-9988,0,0,st. louis post-dispatch,1996,9,22,19960922,1,0,0
same-sex_marriage1.0-210,0,0,denver post,2001,2,24,20010224,0,0,1
same-sex_marriage1.0-10399,0,0,san jose mercury news,1998,9,22,19980922,1,0,0
same-sex_marriage1.0-10398,0,1,philadelphia inquirer,1998,9,26,19980926,0,0,1
same-sex_marriage1.0-10397,0,1,st. louis post-dispatch,1998,10,5,19981005,1,0,0
same-sex_marriage1.0-10396,0,0,atlanta journal and constitution,1998,10,8,19981008,0,0,1
same-sex_marriage1.0-10394,0,1,san jose mercury news,1998,10,12,19981012,1,0,0
same-sex_marriage1.0-10393,0,0,herald-sun,1998,10,12,19981012,1,0,0
same-sex_marriage1.0-10392,0,0,atlanta journal and constitution,1998,10,12,19981012,1,0,0
same-sex_marriage1.0-10391,0,0,herald-sun,1998,10,13,19981013,1,0,0
same-sex_marriage1.0-10390,1,0,herald-sun,1998,10,13,19981013,1,0,0
same-sex_marriage1.0-3441,0,0,washington post,2008,6,16,20080616,1,0,0
same-sex_marriage1.0-3110,0,1,new york times,2006,6,8,20060608,1,0,0
same-sex_marriage1.0-3117,0,1,st. louis post-dispatch,2006,6,8,20060608,1,0,0
same-sex_marriage1.0-3114,0,0,philadelphia inquirer,2006,6,8,20060608,0,0,1
same-sex_marriage1.0-2222,0,1,st. louis post-dispatch,2004,7,15,20040715,1,0,0
same-sex_marriage1.0-2537,0,0,atlanta journal and constitution,2004,10,12,20041012,0,1,0
same-sex_marriage1.0-2536,0,0,atlanta journal and constitution,2004,10,13,20041013,0,1,0
same-sex_marriage1.0-2535,0,0,atlanta journal and constitution,2004,10,13,20041013,1,0,0
same-sex_marriage1.0-7726,0,0,daily news,2012,1,3,20120103,1,0,0
same-sex_marriage1.0-2533,0,0,st. petersburg times,2004,10,14,20041014,1,0,0
same-sex_marriage1.0-2532,0,1,new york times,2004,10,14,20041014,1,0,0
same-sex_marriage1.0-2531,0,1,daily news,2004,10,14,20041014,1,0,0
same-sex_marriage1.0-2530,0,0,daily news,2004,10,14,20041014,1,0,0
same-sex_marriage1.0-7729,0,0,denver post,2012,1,3,20120103,1,0,0
same-sex_marriage1.0-2538,0,0,herald-sun,2004,10,12,20041012,0,1,0
same-sex_marriage1.0-1936,0,1,atlanta journal and constitution,2004,4,5,20040405,1,0,0
same-sex_marriage1.0-2228,0,1,washington post,2004,7,15,20040715,0,0,1
same-sex_marriage1.0-419,0,1,daily news,2003,9,24,20030924,0,0,1
same-sex_marriage1.0-418,1,0,new york times,2003,9,25,20030925,0,0,1
same-sex_marriage1.0-417,0,0,washington post,2003,9,28,20030928,0,0,1
same-sex_marriage1.0-412,0,0,new york times,2003,9,28,20030928,1,0,0
same-sex_marriage1.0-411,0,1,herald-sun,2003,9,28,20030928,0,0,1
same-sex_marriage1.0-410,0,0,new york times,2003,9,30,20030930,1,0,0
same-sex_marriage1.0-11116,0,0,san jose mercury news,1999,6,18,19990618,1,0,0
same-sex_marriage1.0-11117,0,0,san jose mercury news,1999,6,16,19990616,0,1,0
same-sex_marriage1.0-11114,0,0,new york times,1999,6,24,19990624,0,1,0
same-sex_marriage1.0-11115,0,1,atlanta journal and constitution,1999,6,19,19990619,0,0,1
same-sex_marriage1.0-11112,1,0,san jose mercury news,1999,7,8,19990708,1,0,0
same-sex_marriage1.0-11113,0,1,washington post,1999,6,30,19990630,1,0,0
same-sex_marriage1.0-11110,0,1,san jose mercury news,1999,7,17,19990717,0,0,1
same-sex_marriage1.0-11111,0,1,saint paul pioneer press,1999,7,9,19990709,1,0,0
same-sex_marriage1.0-11118,0,0,washington post,1999,6,16,19990616,1,0,0
same-sex_marriage1.0-11119,0,1,new york times,1999,6,11,19990611,0,0,1
same-sex_marriage1.0-9801,0,1,atlanta journal and constitution,1993,7,15,19930715,0,0,1
same-sex_marriage1.0-10882,0,0,st. louis post-dispatch,2000,4,1,20000401,1,0,0
same-sex_marriage1.0-4526,0,1,san jose mercury news,2007,3,8,20070308,0,1,0
same-sex_marriage1.0-4527,0,1,saint paul pioneer press,2007,3,7,20070307,1,0,0
same-sex_marriage1.0-151,0,0,st. louis post-dispatch,2001,7,18,20010718,0,0,1
same-sex_marriage1.0-9804,0,0,atlanta journal and constitution,1993,7,13,19930713,0,0,1
same-sex_marriage1.0-1103,0,0,washington post,2004,2,6,20040206,1,0,0
same-sex_marriage1.0-10887,1,0,new york times,2000,3,30,20000330,1,0,0
same-sex_marriage1.0-9805,0,0,atlanta journal and constitution,1993,7,12,19930712,1,0,0
same-sex_marriage1.0-5341,0,1,washington post,2008,12,13,20081213,1,0,0
same-sex_marriage1.0-1268,0,1,atlanta journal and constitution,2004,3,22,20040322,1,0,0
same-sex_marriage1.0-10885,0,0,denver post,2000,3,30,20000330,1,0,0
same-sex_marriage1.0-9808,0,0,atlanta journal and constitution,1993,7,4,19930704,0,0,1
same-sex_marriage1.0-9809,0,0,atlanta journal and constitution,1993,7,4,19930704,1,0,0
same-sex_marriage1.0-5345,1,0,st. louis post-dispatch,2008,12,11,20081211,1,0,0
same-sex_marriage1.0-4839,0,0,new york times,2011,5,14,20110514,1,0,0
same-sex_marriage1.0-1379,0,0,saint paul pioneer press,2004,3,12,20040312,0,0,1
same-sex_marriage1.0-1374,0,0,palm beach post,2004,3,12,20040312,1,0,0
same-sex_marriage1.0-1375,0,0,philadelphia inquirer,2004,3,12,20040312,1,0,0
same-sex_marriage1.0-1376,0,1,philadelphia inquirer,2004,3,12,20040312,0,0,1
same-sex_marriage1.0-1370,0,1,new york times,2004,3,12,20040312,0,1,0
same-sex_marriage1.0-1371,0,1,new york times,2004,3,12,20040312,0,0,1
same-sex_marriage1.0-1372,0,0,new york times,2004,3,12,20040312,0,0,1
same-sex_marriage1.0-1100,0,0,st. louis post-dispatch,2004,2,6,20040206,0,1,0
same-sex_marriage1.0-10409,0,1,denver post,1998,8,12,19980812,0,1,0
same-sex_marriage1.0-10408,0,0,washington post,1998,8,15,19980815,1,0,0
same-sex_marriage1.0-10407,0,1,st. petersburg times,1998,8,15,19980815,0,0,1
same-sex_marriage1.0-10406,0,0,st. petersburg times,1998,8,15,19980815,0,0,1
same-sex_marriage1.0-10405,0,1,philadelphia inquirer,1998,8,15,19980815,0,0,1
same-sex_marriage1.0-10404,0,1,herald-sun,1998,8,17,19980817,0,1,0
same-sex_marriage1.0-10403,0,0,st. petersburg times,1998,8,29,19980829,0,0,1
same-sex_marriage1.0-10402,0,0,st. louis post-dispatch,1998,9,6,19980906,1,0,0
same-sex_marriage1.0-10401,0,0,st. petersburg times,1998,9,6,19980906,1,0,0
same-sex_marriage1.0-10400,0,0,st. louis post-dispatch,1998,9,18,19980918,1,0,0
same-sex_marriage1.0-6555,0,1,san jose mercury news,2010,1,24,20100124,0,1,0
same-sex_marriage1.0-2158,0,0,atlanta journal and constitution,2004,7,26,20040726,1,0,0
same-sex_marriage1.0-8568,0,1,new york times,2012,9,13,20120913,1,0,0
same-sex_marriage1.0-8567,0,0,new york times,2012,9,14,20120914,0,1,0
same-sex_marriage1.0-8564,0,0,new york times,2012,9,15,20120915,1,0,0
same-sex_marriage1.0-8565,0,0,new york times,2012,9,15,20120915,1,0,0
same-sex_marriage1.0-2151,0,0,daily news,2004,7,28,20040728,0,0,1
same-sex_marriage1.0-2402,0,0,saint paul pioneer press,2004,11,10,20041110,0,0,1
same-sex_marriage1.0-1105,0,1,washington post,2004,2,6,20040206,0,0,1
same-sex_marriage1.0-2153,0,0,st. louis post-dispatch,2004,7,28,20040728,0,0,1
same-sex_marriage1.0-5617,0,0,san jose mercury news,2009,6,29,20090629,1,0,0
same-sex_marriage1.0-5616,0,0,new york times,2009,6,29,20090629,1,0,0
same-sex_marriage1.0-5615,0,1,daily news,2009,6,29,20090629,1,0,0
same-sex_marriage1.0-5614,0,0,washington post,2008,7,1,20080701,0,0,1
same-sex_marriage1.0-7460,0,0,washington post,2012,3,28,20120328,1,0,0
same-sex_marriage1.0-2155,0,0,new york times,2004,7,27,20040727,0,0,1
same-sex_marriage1.0-5619,0,0,washington post,2009,6,27,20090627,0,0,1
same-sex_marriage1.0-5618,0,0,san jose mercury news,2009,6,27,20090627,1,0,0
same-sex_marriage1.0-2157,0,1,st. louis post-dispatch,2004,7,27,20040727,0,0,1
same-sex_marriage1.0-2156,0,0,st. louis post-dispatch,2004,7,27,20040727,0,0,1
same-sex_marriage1.0-2087,0,0,new york times,2004,8,14,20040814,1,0,0
same-sex_marriage1.0-8179,0,0,washington post,2012,5,26,20120526,1,0,0
same-sex_marriage1.0-3618,0,1,philadelphia inquirer,2008,3,12,20080312,1,0,0
same-sex_marriage1.0-7461,0,0,herald-sun,2012,3,27,20120327,1,0,0
same-sex_marriage1.0-2086,0,0,herald-sun,2004,8,14,20040814,1,0,0
same-sex_marriage1.0-8175,0,1,herald-sun,2012,5,26,20120526,0,0,1
same-sex_marriage1.0-3614,0,1,new york times,2008,3,17,20080317,1,0,0
same-sex_marriage1.0-8177,0,0,saint paul pioneer press,2012,5,26,20120526,1,0,0
same-sex_marriage1.0-3616,0,1,st. petersburg times,2008,3,16,20080316,1,0,0
same-sex_marriage1.0-8170,0,0,daily news,2012,5,29,20120529,1,0,0
same-sex_marriage1.0-8173,0,0,st. louis post-dispatch,2012,5,28,20120528,0,1,0
same-sex_marriage1.0-8172,0,0,new york times,2012,5,28,20120528,1,0,0
same-sex_marriage1.0-5479,0,1,san jose mercury news,2008,10,23,20081023,1,0,0
same-sex_marriage1.0-5474,0,1,new york times,2008,10,24,20081024,1,0,0
same-sex_marriage1.0-56,0,1,st. petersburg times,2002,6,27,20020627,1,0,0
same-sex_marriage1.0-4319,0,0,new york times,2006,7,7,20060707,0,0,1
same-sex_marriage1.0-57,0,1,atlanta journal and constitution,2002,6,26,20020626,1,0,0
same-sex_marriage1.0-4879,0,1,daily news,2011,5,1,20110501,1,0,0
same-sex_marriage1.0-4870,0,1,daily news,2011,5,4,20110504,1,0,0
same-sex_marriage1.0-4871,0,1,new york times,2011,5,4,20110504,1,0,0
same-sex_marriage1.0-4873,0,0,new york times,2011,5,4,20110504,0,1,0
same-sex_marriage1.0-4874,0,1,washington post,2011,5,4,20110504,0,1,0
same-sex_marriage1.0-4876,0,1,new york times,2011,5,3,20110503,1,0,0
same-sex_marriage1.0-4877,0,1,saint paul pioneer press,2011,5,2,20110502,0,0,1
same-sex_marriage1.0-4317,0,0,new york times,2006,7,7,20060707,0,1,0
same-sex_marriage1.0-4702,0,1,new york times,2011,6,24,20110624,0,1,0
same-sex_marriage1.0-4700,0,0,new york times,2011,6,24,20110624,0,1,0
same-sex_marriage1.0-4701,0,1,new york times,2011,6,24,20110624,1,0,0
same-sex_marriage1.0-4706,0,1,new york times,2011,6,24,20110624,1,0,0
same-sex_marriage1.0-4704,0,1,new york times,2011,6,24,20110624,0,1,0
same-sex_marriage1.0-7118,0,0,new york times,2011,11,23,20111123,1,0,0
same-sex_marriage1.0-7119,0,0,san jose mercury news,2011,11,23,20111123,0,0,1
same-sex_marriage1.0-7116,0,1,san jose mercury news,2011,11,27,20111127,0,1,0
same-sex_marriage1.0-7117,0,1,st. louis post-dispatch,2011,11,25,20111125,0,0,1
same-sex_marriage1.0-7114,0,1,new york times,2011,11,29,20111129,1,0,0
same-sex_marriage1.0-7115,0,0,new york times,2011,11,27,20111127,1,0,0
same-sex_marriage1.0-7112,0,0,washington post,2011,12,1,20111201,0,1,0
same-sex_marriage1.0-7110,0,1,herald-sun,2011,12,2,20111202,0,0,1
same-sex_marriage1.0-7111,0,1,new york times,2011,12,2,20111202,1,0,0
same-sex_marriage1.0-8823,1,0,san jose mercury news,2012,12,6,20121206,0,1,0
same-sex_marriage1.0-10188,0,1,san jose mercury news,1996,5,24,19960524,1,0,0
same-sex_marriage1.0-10189,0,0,st. louis post-dispatch,1996,5,24,19960524,1,0,0
same-sex_marriage1.0-10182,0,1,san jose mercury news,1996,5,26,19960526,1,0,0
same-sex_marriage1.0-10183,0,0,new york times,1996,5,25,19960525,1,0,0
same-sex_marriage1.0-10180,1,0,san jose mercury news,1996,5,28,19960528,0,1,0
same-sex_marriage1.0-10181,0,1,new york times,1996,5,27,19960527,1,0,0
same-sex_marriage1.0-10186,0,0,herald-sun,1996,5,24,19960524,0,0,1
same-sex_marriage1.0-10187,0,0,new york times,1996,5,24,19960524,0,0,1
same-sex_marriage1.0-10184,0,0,atlanta journal and constitution,1996,5,24,19960524,0,1,0
same-sex_marriage1.0-10185,0,0,denver post,1996,5,24,19960524,0,0,1
same-sex_marriage1.0-6641,1,0,philadelphia inquirer,2011,6,29,20110629,1,0,0
same-sex_marriage1.0-10983,0,1,new york times,2000,2,6,20000206,0,1,0
same-sex_marriage1.0-10980,0,0,st. louis post-dispatch,2000,2,10,20000210,1,0,0
same-sex_marriage1.0-10981,0,0,san jose mercury news,2000,2,8,20000208,0,0,1
same-sex_marriage1.0-1617,0,0,atlanta journal and constitution,2004,6,24,20040624,1,0,0
same-sex_marriage1.0-10987,0,1,san jose mercury news,2000,2,2,20000202,1,0,0
same-sex_marriage1.0-10984,0,1,washington post,2000,2,6,20000206,0,1,0
same-sex_marriage1.0-1614,0,0,new york times,2004,6,25,20040625,0,0,1
same-sex_marriage1.0-6649,0,0,denver post,2011,6,28,20110628,1,0,0
same-sex_marriage1.0-1968,0,0,philadelphia inquirer,2004,4,1,20040401,0,0,1
same-sex_marriage1.0-1619,0,1,washington post,2004,6,24,20040624,0,0,1
same-sex_marriage1.0-1618,0,0,herald-sun,2004,6,24,20040624,0,1,0
same-sex_marriage1.0-6254,0,0,san jose mercury news,2010,9,29,20100929,1,0,0
same-sex_marriage1.0-6255,0,0,saint paul pioneer press,2010,9,27,20100927,1,0,0
same-sex_marriage1.0-6252,0,1,usa today,2010,10,5,20101005,0,0,1
same-sex_marriage1.0-2700,0,0,new york times,2005,9,8,20050908,0,1,0
same-sex_marriage1.0-2702,0,0,philadelphia inquirer,2005,9,8,20050908,0,0,1
same-sex_marriage1.0-2703,0,0,philadelphia inquirer,2005,9,8,20050908,1,0,0
same-sex_marriage1.0-2704,0,0,san jose mercury news,2005,9,8,20050908,0,1,0
same-sex_marriage1.0-6250,0,0,atlanta journal and constitution,2010,10,7,20101007,1,0,0
same-sex_marriage1.0-2707,0,0,san jose mercury news,2005,9,8,20050908,0,0,1
same-sex_marriage1.0-2708,0,0,washington post,2005,9,8,20050908,0,0,1
same-sex_marriage1.0-2709,0,1,new york times,2005,9,7,20050907,0,1,0
same-sex_marriage1.0-6394,0,0,washington post,2010,7,16,20100716,1,0,0
same-sex_marriage1.0-6393,0,1,washington post,2010,7,16,20100716,1,0,0
same-sex_marriage1.0-6390,0,0,new york times,2010,7,16,20100716,1,0,0
same-sex_marriage1.0-6469,0,1,washington post,2010,4,29,20100429,1,0,0
same-sex_marriage1.0-6468,0,0,denver post,2010,5,4,20100504,1,0,0
same-sex_marriage1.0-6399,0,1,washington post,2010,7,13,20100713,1,0,0
same-sex_marriage1.0-6398,0,1,usa today,2010,7,14,20100714,0,1,0
same-sex_marriage1.0-6258,0,0,washington post,2010,9,23,20100923,1,0,0
same-sex_marriage1.0-6259,0,0,san jose mercury news,2010,9,22,20100922,0,0,1
same-sex_marriage1.0-758,0,0,san jose mercury news,2004,2,28,20040228,0,0,1
same-sex_marriage1.0-759,0,1,st. louis post-dispatch,2004,2,28,20040228,0,0,1
same-sex_marriage1.0-208,0,1,st. petersburg times,2001,2,25,20010225,0,0,1
same-sex_marriage1.0-209,0,0,atlanta journal and constitution,2001,2,24,20010224,1,0,0
same-sex_marriage1.0-750,0,0,new york times,2004,2,28,20040228,1,0,0
same-sex_marriage1.0-203,0,0,washington post,2001,3,15,20010315,0,1,0
same-sex_marriage1.0-200,0,0,st. petersburg times,2001,3,15,20010315,1,0,0
same-sex_marriage1.0-753,0,0,philadelphia inquirer,2004,2,28,20040228,0,0,1
same-sex_marriage1.0-206,0,0,herald-sun,2001,2,28,20010228,1,0,0
same-sex_marriage1.0-207,1,0,atlanta journal and constitution,2001,2,25,20010225,0,1,0
same-sex_marriage1.0-204,0,0,atlanta journal and constitution,2001,3,3,20010303,0,0,1
same-sex_marriage1.0-205,0,1,daily news,2001,3,1,20010301,1,0,0
same-sex_marriage1.0-8485,0,1,usa today,2012,5,9,20120509,0,0,1
same-sex_marriage1.0-8484,0,0,tampa bay times,2012,5,9,20120509,1,0,0
same-sex_marriage1.0-8487,0,1,washington post,2012,5,9,20120509,0,0,1
same-sex_marriage1.0-8481,0,0,san jose mercury news,2012,5,9,20120509,1,0,0
same-sex_marriage1.0-8480,1,0,san jose mercury news,2012,5,9,20120509,0,0,1
same-sex_marriage1.0-8483,0,1,saint paul pioneer press,2012,5,9,20120509,0,1,0
same-sex_marriage1.0-8482,0,1,san jose mercury news,2012,5,9,20120509,1,0,0
same-sex_marriage1.0-5284,0,0,new york times,2008,3,5,20080305,0,1,0
same-sex_marriage1.0-5285,1,0,san jose mercury news,2008,3,5,20080305,0,1,0
same-sex_marriage1.0-5286,0,1,san jose mercury news,2008,3,4,20080304,1,0,0
same-sex_marriage1.0-5280,0,1,san jose mercury news,2008,3,7,20080307,1,0,0
same-sex_marriage1.0-5281,0,1,new york times,2008,3,6,20080306,1,0,0
same-sex_marriage1.0-3828,0,1,st. petersburg times,2008,10,20,20081020,0,0,1
same-sex_marriage1.0-7939,0,0,new york times,2012,2,9,20120209,1,0,0
same-sex_marriage1.0-7936,0,0,washington post,2012,2,11,20120211,1,0,0
same-sex_marriage1.0-7930,0,0,saint paul pioneer press,2012,2,12,20120212,1,0,0
same-sex_marriage1.0-7932,1,0,washington post,2012,2,11,20120211,1,0,0
same-sex_marriage1.0-9165,0,0,san jose mercury news,2012,11,13,20121113,0,1,0
same-sex_marriage1.0-9164,0,0,new york times,2012,11,13,20121113,1,0,0
same-sex_marriage1.0-5860,0,1,usa today,2009,3,26,20090326,1,0,0
same-sex_marriage1.0-5861,0,1,new york times,2009,3,24,20090324,1,0,0
same-sex_marriage1.0-5862,0,0,new york times,2009,3,24,20090324,1,0,0
same-sex_marriage1.0-5863,0,1,new york times,2009,3,23,20090323,1,0,0
same-sex_marriage1.0-5865,0,1,new york times,2009,3,21,20090321,1,0,0
same-sex_marriage1.0-5866,0,0,washington post,2009,3,21,20090321,0,1,0
same-sex_marriage1.0-5867,0,0,new york times,2009,3,18,20090318,1,0,0
same-sex_marriage1.0-5868,0,0,st. louis post-dispatch,2009,3,17,20090317,0,1,0
same-sex_marriage1.0-5869,0,0,saint paul pioneer press,2009,3,17,20090317,0,1,0
same-sex_marriage1.0-6552,0,0,san jose mercury news,2010,1,26,20100126,0,0,1
same-sex_marriage1.0-10219,0,0,st. louis post-dispatch,1996,5,17,19960517,0,0,1
same-sex_marriage1.0-10212,0,0,washington post,1996,5,20,19960520,1,0,0
same-sex_marriage1.0-10210,1,0,st. louis post-dispatch,1996,5,20,19960520,1,0,0
same-sex_marriage1.0-10211,0,1,st. louis post-dispatch,1996,5,20,19960520,0,0,1
same-sex_marriage1.0-10216,0,0,denver post,1996,5,18,19960518,0,1,0
same-sex_marriage1.0-10217,0,1,atlanta journal and constitution,1996,5,17,19960517,1,0,0
same-sex_marriage1.0-10371,0,1,herald-sun,1998,11,17,19981117,1,0,0
same-sex_marriage1.0-10372,0,0,new york times,1998,11,17,19981117,0,1,0
same-sex_marriage1.0-10375,0,0,philadelphia inquirer,1998,11,14,19981114,1,0,0
same-sex_marriage1.0-10374,0,1,new york times,1998,11,14,19981114,1,0,0
same-sex_marriage1.0-10376,0,0,san jose mercury news,1998,11,7,19981107,1,0,0
same-sex_marriage1.0-10379,0,0,new york times,1998,11,5,19981105,0,1,0
same-sex_marriage1.0-3425,0,1,st. louis post-dispatch,2008,6,18,20080618,1,0,0
same-sex_marriage1.0-3422,0,1,san jose mercury news,2008,6,18,20080618,0,1,0
same-sex_marriage1.0-3429,0,0,new york times,2008,6,17,20080617,1,0,0
same-sex_marriage1.0-3138,0,0,daily news,2006,6,6,20060606,0,1,0
same-sex_marriage1.0-3132,0,0,st. petersburg times,2006,6,7,20060607,0,1,0
same-sex_marriage1.0-3133,1,0,usa today,2006,6,7,20060607,1,0,0
same-sex_marriage1.0-3134,0,0,washington post,2006,6,7,20060607,1,0,0
same-sex_marriage1.0-3137,0,0,atlanta journal and constitution,2006,6,6,20060606,1,0,0
same-sex_marriage1.0-435,0,0,palm beach post,2003,9,2,20030902,1,0,0
same-sex_marriage1.0-434,0,0,new york times,2003,9,3,20030903,1,0,0
same-sex_marriage1.0-921,0,0,herald-sun,2004,2,20,20040220,0,0,1
same-sex_marriage1.0-920,0,0,herald-sun,2004,2,20,20040220,1,0,0
same-sex_marriage1.0-926,0,0,san jose mercury news,2004,2,20,20040220,1,0,0
same-sex_marriage1.0-433,0,0,herald-sun,2003,9,3,20030903,1,0,0
same-sex_marriage1.0-432,0,0,palm beach post,2003,9,5,20030905,0,0,1
same-sex_marriage1.0-929,0,0,daily news,2004,2,19,20040219,0,0,1
same-sex_marriage1.0-928,0,0,atlanta journal and constitution,2004,2,19,20040219,1,0,0
same-sex_marriage1.0-438,0,1,herald-sun,2003,8,30,20030830,0,0,1
same-sex_marriage1.0-7258,0,1,new york times,2011,7,26,20110726,1,0,0
same-sex_marriage1.0-7708,0,1,new york times,2012,1,10,20120110,1,0,0
same-sex_marriage1.0-2559,0,0,herald-sun,2004,10,3,20041003,1,0,0
same-sex_marriage1.0-2558,1,0,denver post,2004,10,3,20041003,0,0,1
