,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14
same-sex_marriage1.0-1833,0,1,0,san jose mercury news,2004,5,11,20040511,0.506265082,0.324325179,0.169409739,0.013067314,0.02209623,0.01579999,0.016251735,0.789154949,0.05189448,0.007084853,0.000708584,0.002309427,0.022997057,0.036041779,0.00531547,0.010137604,0.00714053,0,0.013581225,0.025617846,0.129644308,0.143303403,0.991443747,0.420442782,0.158143683,0.000928191,0.057207036,0.195520331,0.095316248,0.36799331,0.698671683,0.021637035,0.122657522
same-sex_marriage1.0-1835,0,0,0,st. louis post-dispatch,2004,5,11,20040511,0.221766436,0.247812096,0.530421468,0.00738854,0.003924809,0.001674602,0.002712306,0.023516999,0.021781718,0.001515603,0.000575519,0.001568776,0.000208907,0.00309356,0.008830012,0.922868734,0.000339914,0,0.035610555,0.005575228,0.017724998,0.111634317,0.79915466,0.370671925,0.007480049,0.000748652,0.006875737,0.106951028,0.17470999,0.444288202,0.999295332,0.02169416,0.155586625
same-sex_marriage1.0-1836,0,0,0,st. louis post-dispatch,2004,5,11,20040511,0.424116597,0.237118798,0.338764605,0.021176688,0.001841242,0.00245089,0.002166728,0.018323612,0.01726209,0.005336516,0.000845525,0.002088077,0.000482663,0.003449656,0.36528525,0.557830097,0.001460966,0,0.072956042,0.008033875,0.080044381,0.191449672,0.713800873,0.322844459,0.010502085,2.44E-05,0.003268974,0.114079736,0.081944566,0.703582937,0.988395817,0.021463358,0.056649701
same-sex_marriage1.0-1837,0,0,0,washington post,2004,5,11,20040511,0.728485423,0.173434759,0.098079818,0.05374784,0.001333218,0.025635414,0.008506024,0.002789255,0.016738316,0.00411164,0.001093117,0.000702047,0.000340256,0.432126077,0.054418,0.395357592,0.003101202,0,0.047378375,0.00889655,0.070118803,0.136682512,0.2250866,0.365805759,0.005970308,0.000275259,0.005857452,0.220531183,0.639650467,0.33545317,0.962031829,0.013789918,0.115623579
same-sex_marriage1.0-1839,0,0,0,washington post,2004,5,10,20040510,0.122089994,0.379605836,0.49830417,0.002441897,0.000787045,0.005896054,0.005818092,0.006305518,0.000345269,0.000315954,0.000771794,0.000734703,0.000874234,0.000268032,0.038596586,0.933227838,0.003616983,0,0.008021955,0.008667878,0.224738783,0.099376317,0.957904579,0.379826675,0.006362234,6.58E-05,0.011139634,0.044926388,0.064285391,0.608845851,0.990735164,0.035727162,0.057148418
same-sex_marriage1.0-184,0,0,0,atlanta journal and constitution,2001,4,18,20010418,0.599828563,0.232799065,0.167372371,0.017906465,0.000841367,0.000914229,0.009409137,0.308847513,0.112790388,0.01216482,0.001201786,0.115517862,0.314293833,0.00283705,0.080071488,0.014228922,0.008975141,0,0.770285305,0.024828686,0.059781049,0.249181308,0.790701835,0.490072155,0.003789616,5.40E-05,0.869325549,0.92986995,0.06741429,0.397936167,0.640413507,0.011578899,0.114979511
same-sex_marriage1.0-1840,0,0,1,new york times,2004,5,9,20040509,0.690870698,0.166687077,0.142442224,0.007224752,0.000720323,0.001633627,0.002699028,0.910625561,0.002544718,0.001579504,0.000590599,0.001237782,0.007581516,0.006635472,0.042933582,0.010258266,0.003735268,0,0.05560869,0.010946721,0.215959229,0.13468823,0.926854007,0.366537075,0.060638005,0.000613805,0.017272136,0.254774848,0.371577557,0.630983231,0.420151724,0.049594041,0.135823166
same-sex_marriage1.0-1841,0,0,1,new york times,2004,5,9,20040509,0.802954558,0.129970033,0.06707541,4.64E-05,0.003364146,0.000781602,0.029778203,0.805923484,0.017881828,0.000967831,0.000493305,0.000525361,0.1147975,0.013775922,0.007529901,0.001426576,0.002707944,0,0.004967093,0.017947764,0.104029046,0.287927781,0.991879833,0.389750114,0.02105567,0.000356582,0.017758619,0.558838915,0.514242947,0.184772937,0.467215844,0.076475793,0.127883129
same-sex_marriage1.0-1842,0,0,1,san jose mercury news,2004,5,9,20040509,0.612243713,0.159189259,0.228567028,0.002235074,0.00098577,0.000908158,0.001257532,0.304508586,0.046275692,0.004765629,0.000833142,0.003196981,0.028359656,0.006341824,0.145222774,0.44025508,0.014854103,0,0.022774627,0.016402871,0.168345838,0.11534659,0.942163525,0.312126252,0.01701509,1.94E-05,0.178461916,0.367552592,0.258800245,0.409556416,0.755987043,0.042672454,0.094346404
same-sex_marriage1.0-1844,0,0,1,washington post,2004,5,9,20040509,0.63854881,0.182210526,0.179240664,0.004432232,0.000655562,0.061388635,0.021286122,0.202914442,0.675544066,0.001548286,0.002379047,0.000943845,0.008764109,0.003184705,0.005086581,0.011402547,0.000469822,0,0.058307303,0.008806519,0.138342129,0.795609864,0.980618314,0.448684643,0.025960845,0.013756308,0.020825456,0.446757591,0.153227329,0.211535052,0.865776561,0.050148387,0.316676928
same-sex_marriage1.0-1845,0,0,1,san jose mercury news,2004,5,7,20040507,0.70705569,0.177751638,0.115192672,0.011753521,0.001778614,0.046264284,0.001682593,0.03150184,0.002204935,0.007661639,0.000792369,0.001682579,0.223430002,0.567355196,0.04365909,0.046380526,0.013852814,0,0.07608027,0.017038094,0.037585521,0.12202354,0.307942895,0.365285246,0.004254399,0.001167292,0.018066028,0.663373131,0.697392663,0.416837889,0.45669225,0.014060391,0.235378418
same-sex_marriage1.0-1846,0,0,0,st. petersburg times,2004,5,7,20040507,0.421331665,0.289447263,0.289221072,0.059460548,0.010266248,0.027967612,0.017812163,0.188292141,0.111821216,0.019372983,0.001046743,0.00126701,0.005726434,0.005538026,0.185688403,0.347527698,0.018212775,0,0.085854428,0.018059222,0.290960185,0.06817073,0.821185478,0.414614787,0.056568521,0.00046982,0.017979971,0.280246718,0.13151749,0.583024025,0.64658907,0.011670121,0.183411261
same-sex_marriage1.0-1847,0,0,0,daily news,2004,5,6,20040506,0.587889552,0.113340062,0.298770385,0.139969364,0.000472698,0.044820284,0.284009774,0.000384144,0.028590711,0.001114281,0.000742405,0.018195769,0.11321381,0.002117597,0.005441933,0.360079928,0.0008473,0,0.817126964,0.022168019,0.584749726,0.59072844,0.284068013,0.431872186,0.032796859,0.000567198,0.185796388,0.701922062,0.161024304,0.322245992,0.920039822,0.014857469,0.040384341
same-sex_marriage1.0-1848,0,0,0,new york times,2004,5,6,20040506,0.822747667,0.097235597,0.080016736,0.003737139,0.000989656,0.028604462,0.002301111,0.055451892,0.001660437,0.002751381,0.001030083,0.006438724,0.468325749,0.362855682,0.058854336,0.001396543,0.005602805,0,0.05894398,0.028432026,0.152391232,0.284929981,0.590565456,0.356311869,0.039203547,0.00130721,0.04157058,0.742150451,0.452524123,0.510335393,0.065465042,0.010997295,0.128271123
same-sex_marriage1.0-1849,0,0,0,new york times,2004,5,6,20040506,0.513496888,0.145528216,0.340974897,0.024912104,0.000547589,0.009401065,0.019967752,0.006050876,0.371147907,0.002636244,0.000758787,0.028798364,0.288747051,0.000345922,0.00299573,0.242464156,0.001226454,0,0.901935071,0.02351391,0.426571961,0.262575682,0.16156473,0.461390886,0.014355913,4.69E-05,0.45101351,0.764274411,0.057503453,0.201809494,0.894741708,0.01406076,0.060820994
same-sex_marriage1.0-185,0,0,0,new york times,2001,4,16,20010416,0.733830069,0.178538212,0.087631719,0.005589784,0.002124275,0.066329205,0.514935335,0.095715399,0.008929257,0.011980656,0.001795371,0.00641706,0.198559681,0.016337609,0.009359988,0.051638045,0.010288336,0,0.013609713,0.011691114,0.200579048,0.488253759,0.900722969,0.425692626,0.055529866,0.00014518,0.054087325,0.633926094,0.256033907,0.502880924,0.48979248,0.015506684,0.205495219
same-sex_marriage1.0-1850,0,0,0,saint paul pioneer press,2004,5,6,20040506,0.578433425,0.174266294,0.247300281,0.101156503,0.001078357,0.007136286,0.058235771,0.591022889,0.108790553,0.004597873,0.000804104,0.007611001,0.016996885,0.012107055,0.075675842,0.000115432,0.014671449,0,0.164350012,0.018547997,0.028746414,0.126729506,0.764497961,0.414614787,0.019723961,9.17E-05,0.532590447,0.749873464,0.091891818,0.257463992,0.220655075,0.047742764,0.085902118
same-sex_marriage1.0-1851,0,0,0,new york times,2004,5,5,20040505,0.344650809,0.193841868,0.461507323,0.031071904,0.004897232,0.008743789,0.05955976,0.023392665,0.013187636,0.023602687,0.00067643,0.039266092,0.043499506,0.018891186,0.045166826,0.678643737,0.00940055,0,0.124338277,0.101958286,0.216248171,0.143519066,0.224493236,0.442716606,0.117362975,0.001598295,0.016678258,0.076318452,0.146751916,0.69004957,0.879525507,0.066978534,0.197268365
same-sex_marriage1.0-1852,0,1,0,new york times,2004,5,5,20040505,0.466741831,0.219733546,0.313524624,0.009381325,0.004278378,0.005232647,0.022711242,0.587086639,0.007398663,0.005303338,0.00060909,0.001057825,0.007557411,0.000213492,0.006993234,0.33221055,0.009966166,0,0.051423176,0.018731777,0.068329576,0.150111245,0.887007065,0.375752692,0.029855042,0.000782774,0.02054317,0.273196944,0.317047221,0.412821112,0.969034164,0.111782813,0.076988701
same-sex_marriage1.0-1853,0,0,0,philadelphia inquirer,2004,5,5,20040505,0.365986743,0.240119185,0.393894072,0.000593489,0.000969692,0.002304056,0.005165575,0.86618856,0.054427799,0.004037378,0.000723075,0.002125263,0.010789905,0.000849169,0.001737303,0.043196176,0.00689256,0,0.01706739,0.01273008,0.109462887,0.102167633,0.990425702,0.435692554,0.026776852,0.000841812,0.022801344,0.212434137,0.257602283,0.217593064,0.928791637,0.0562765,0.151427586
same-sex_marriage1.0-1854,0,0,1,san jose mercury news,2004,5,5,20040505,0.426594398,0.233963619,0.339441984,0.00414304,0.000794821,0.012132186,0.002461472,0.009394029,0.014874261,0.001269401,0.000592678,0.005589265,0.003725151,0.002593082,0.152506949,0.788628226,0.001295439,0,0.098446922,0.005273445,0.106482636,0.37752698,0.305656715,0.370148529,0.007313591,0.00034969,0.020165904,0.162249741,0.149199183,0.349894316,0.958178802,0.012996299,0.071415541
same-sex_marriage1.0-1855,0,0,0,washington post,2004,5,5,20040505,0.586359177,0.278142615,0.135498208,0.005624974,0.000782392,0.00356269,0.002139951,0.953691212,0.013973891,0.001488893,0.001103835,0.000489146,0.003494865,0.000678745,0.002712641,0.002783031,0.007473733,0,0.018776198,0.011785287,0.107331968,0.10143728,0.998509231,0.465816956,0.021291222,0.000135932,0.006049125,0.250860207,0.101354611,0.389108509,0.743266987,0.071281173,0.102973077
same-sex_marriage1.0-1856,0,0,1,washington post,2004,5,5,20040505,0.717198898,0.157604722,0.12519638,0.022788889,0.000808029,0.10970785,0.002072646,0.017391198,0.001731277,0.000581966,0.000584521,0.001664139,0.046771237,0.75647353,0.000642676,0.037741479,0.001040564,0,0.031217991,0.00944422,0.799938937,0.316667613,0.750787773,0.317268711,0.008024524,3.12E-05,0.006443967,0.552635872,0.376819883,0.462912665,0.280616997,0.02274008,0.249310415
same-sex_marriage1.0-1857,0,0,0,new york times,2004,5,4,20040504,0.598648301,0.209781527,0.191570172,0.00602063,0.002819844,0.013844674,0.006469836,0.051331621,0.003093717,0.038920419,0.000631709,0.002129956,0.024224848,0.015355108,0.005832533,0.826749823,0.002575282,0,0.010361744,0.015542399,0.375517543,0.080760027,0.931293022,0.293188356,0.149068048,6.31E-05,0.003364449,0.24689953,0.244522396,0.50448613,0.898060378,0.020467312,0.110161887
same-sex_marriage1.0-1858,0,0,0,san jose mercury news,2004,5,4,20040504,0.676778741,0.201211799,0.12200946,0.281627213,0.008404954,0.007582089,0.031111094,0.012700119,0.409845105,0.003699738,0.001286438,0.164255126,0.021442145,0.006951712,0.003159076,0.04504621,0.002888982,0,0.662430199,0.023080552,0.028056144,0.518268484,0.342032864,0.361517751,0.036216967,0.000183131,0.550620281,0.859306553,0.16217432,0.16211282,0.862478779,0.038569549,0.10279973
same-sex_marriage1.0-1859,0,0,1,philadelphia inquirer,2004,5,3,20040503,0.768093845,0.081983576,0.149922579,0.047845324,0.047321331,0.004368548,0.004341426,0.110095285,0.450888321,0.00164357,0.001343499,0.013057276,0.13419109,0.028457434,0.014598266,0.129123583,0.012725047,0,0.302595029,0.017111712,0.023262902,0.727766948,0.925926075,0.332881413,0.023924076,0.000423709,0.422189923,0.834010609,0.388462605,0.617169125,0.421732163,0.037730669,0.133756046
same-sex_marriage1.0-186,0,0,1,washington post,2001,4,8,20010408,0.546195772,0.180315736,0.273488492,0.000850968,0.000882322,0.017532916,0.007632197,0.745740706,0.025224501,0.001663421,0.000745711,0.003832368,0.00865241,0.026454264,0.031235797,0.013031622,0.116520797,0,0.058831353,0.007198001,0.507497653,0.333556872,0.694479081,0.379382458,0.065238532,5.14E-05,0.011735996,0.307415004,0.321172355,0.931455743,0.28589425,0.289666595,0.194310878
same-sex_marriage1.0-1860,0,0,1,san jose mercury news,2004,5,3,20040503,0.512046554,0.256992869,0.230960577,0.007330609,0.006734629,0.57701815,0.022589118,0.004184612,0.000608987,0.000898673,0.000591322,0.002567124,0.005127088,0.167787873,0.193177296,0.004264989,0.007119529,0,0.233578495,0.045780289,0.977133236,0.130880389,0.331369604,0.367090702,0.06858077,0.000637796,0.004689342,0.490597543,0.451112662,0.390704224,0.126448189,0.033351906,0.131587813
same-sex_marriage1.0-1861,0,0,0,washington post,2004,5,3,20040503,0.744751784,0.120357056,0.134891161,0.33259511,0.007215009,0.304326695,0.005876523,0.054677211,0.000892028,0.00809169,0.000933862,0.003076405,0.202955745,0.029889782,0.034295594,0.008968025,0.006206321,0,0.791560658,0.030905818,0.57201022,0.336538822,0.921159934,0.386559184,0.007063063,0.000195317,0.012735523,0.814523899,0.406297009,0.343417254,0.230894012,0.040872286,0.106627725
same-sex_marriage1.0-1862,0,0,1,new york times,2004,5,2,20040502,0.42397805,0.217634555,0.358387395,0.004400434,0.000592616,0.628389194,0.016998854,0.002446742,0.000323111,0.007646609,0.000699123,0.007035033,0.035812776,0.052786838,0.012203341,0.227283302,0.003382027,0,0.026220633,0.010239105,0.783608354,0.243146161,0.149081764,0.33799876,0.03709284,0.004888909,0.013570949,0.144631789,0.275145002,0.168078142,0.151733772,0.032210959,0.285209929
same-sex_marriage1.0-1863,1,0,0,saint paul pioneer press,2004,5,2,20040502,0.386397463,0.215136393,0.398466144,0.242363729,0.006696188,0.050400367,0.014758802,0.014379935,0.025843319,0.008367773,0.000840909,0.001703497,0.002185819,0.089322568,0.045301187,0.493548329,0.004287576,0,0.636847101,0.006100849,0.121682044,0.043615709,0.231777013,0.49710678,0.021032779,0.000488288,0.006379681,0.073778026,0.180132798,0.509822998,0.611641044,0.019077436,0.062656698
same-sex_marriage1.0-1864,0,0,0,saint paul pioneer press,2004,5,2,20040502,0.203815849,0.306791758,0.489392393,0.003610125,0.003963224,0.00323909,0.007053438,0.002946728,0.015853356,0.002623972,0.000581152,0.000872441,0.001924213,0.001685769,0.001494405,0.95316316,0.000988929,0,0.034399875,0.00371868,0.058890955,0.184311474,0.474909171,0.437019537,0.00987323,0.008531149,0.010371653,0.053942195,0.036538397,0.43712533,0.999388746,0.013346943,0.098585792
same-sex_marriage1.0-1865,1,0,0,san jose mercury news,2004,5,2,20040502,0.399585809,0.318094865,0.282319326,0.011349818,0.003684554,0.601928501,0.010465301,0.042584315,0.00745501,0.00739282,0.000524196,0.002204796,0.007975984,0.016039247,0.285757944,0.001126097,0.001511417,0,0.085054821,0.010356618,0.991393136,0.171099063,0.354913872,0.40774469,0.29613372,0.00033752,0.01219286,0.077126747,0.249868864,0.5815777,0.092917428,0.041003028,0.152453402
same-sex_marriage1.0-1866,0,0,1,st. petersburg times,2004,5,2,20040502,0.789061562,0.095937178,0.11500126,0.043844706,0.001689542,0.010677833,0.496194344,0.119458387,0.018629758,0.008621641,0.000775862,0.006464281,0.22858532,0.027858818,0.014990753,0.007849358,0.014359397,0,0.051485627,0.067962304,0.060785011,0.685979556,0.594064965,0.404322313,0.0344282,0.004956561,0.029009046,0.908667427,0.506195303,0.172174241,0.124450185,0.022463858,0.181137713
same-sex_marriage1.0-1867,0,0,0,washington post,2004,5,2,20040502,0.542679601,0.174494715,0.282825685,0.001258659,0.001628173,0.689395172,0.028743197,0.169280447,0.006611743,0.001865713,0.00056027,0.00452076,0.003317855,0.081553661,0.008302529,0.00043026,0.002531561,0,0.02070143,0.008386541,0.997338673,0.192680461,0.634250028,0.376279278,0.035807657,7.81E-05,0.020142429,0.288489996,0.169275067,0.31824556,0.081327693,0.058806262,0.206776928
same-sex_marriage1.0-1868,0,0,0,washington post,2004,5,2,20040502,0.726439009,0.130255912,0.143305079,0.000946279,0.003137326,0.091481288,0.35823015,0.102357052,0.004069091,0.001262401,0.0009527,0.001957695,0.406095227,0.014969232,0.005004636,0.003395878,0.006141045,0,0.024103763,0.007509507,0.865556997,0.682969728,0.48195597,0.280272855,0.020912769,6.81E-05,0.035917789,0.386164068,0.252868493,0.41830105,0.28285371,0.093126346,0.35658526
same-sex_marriage1.0-1869,0,0,0,saint paul pioneer press,2004,4,30,20040430,0.152101783,0.312454295,0.535443922,0.061929093,0.00068261,0.002452392,0.002680846,0.040020516,0.015268429,0.0018566,0.00325531,0.002271111,0.000873955,0.000633737,0.036221306,0.830392895,0.0014612,0,0.431289971,0.004060664,0.078857033,0.099710988,0.417116238,0.459720345,0.012058656,0.005962867,0.00864183,0.064679523,0.117700085,0.359169827,0.991969336,0.014247877,0.049582448
same-sex_marriage1.0-187,0,0,0,washington post,2001,4,1,20010401,0.782592345,0.12038617,0.097021485,0.003245502,0.013502994,0.004964554,0.05205739,0.085390929,0.044993917,0.000522931,0.000529817,0.008850189,0.742398666,0.024310782,0.005869083,0.000487762,0.012875483,0,0.064359187,0.024172544,0.222608198,0.691471471,0.847867074,0.375537312,0.017244881,0.000713864,0.0706144,0.935372055,0.61662848,0.422159089,0.193837518,0.168289537,0.203270401
same-sex_marriage1.0-1870,0,0,0,washington post,2004,4,30,20040430,0.516669765,0.262203857,0.221126378,0.000850336,0.000792696,0.009405898,0.006588891,0.908074547,0.0381519,0.001672535,0.000591094,0.001206554,0.002690206,0.002532002,0.000305788,0.017553058,0.009584495,0,0.013609477,0.013142323,0.109820084,0.331179355,0.993542286,0.526626264,0.05732382,0.000609301,0.044541806,0.308960325,0.125053859,0.176293714,0.732798172,0.086796398,0.159796666
same-sex_marriage1.0-1871,0,1,0,denver post,2004,4,29,20040429,0.469634543,0.154143917,0.37622154,0.015080535,0.006364333,0.080105385,0.007695925,0.092880652,0.001070098,0.325930279,0.000799234,0.003026024,0.010420819,0.031565553,0.41200331,0.00498533,0.008072523,0,0.230978806,0.008610253,0.132417418,0.253217575,0.582813531,0.500450814,0.236165441,0.003889534,0.096580476,0.079114495,0.119809931,0.809473045,0.26398816,0.026134248,0.06630801
same-sex_marriage1.0-1872,0,0,0,saint paul pioneer press,2004,4,29,20040429,0.378940784,0.213658207,0.407401009,0.006631679,0.000730045,0.008828459,0.017647843,0.008553313,0.022538553,0.000914838,0.000787168,0.002417565,0.000277407,0.013793106,0.006368744,0.904959407,0.005551874,0,0.038474764,0.003153639,0.033786602,0.06384744,0.561387214,0.608031803,0.005972715,0.000898023,0.008867071,0.057315386,0.041776486,0.339812902,0.994500945,0.027572798,0.098094021
same-sex_marriage1.0-1873,0,0,0,st. louis post-dispatch,2004,4,29,20040429,0.435312817,0.28237507,0.282312112,0.00508569,0.003109015,0.025662847,0.006074983,0.201769389,0.03158887,0.003833166,0.002318316,0.005213832,0.010655562,0.020528798,0.147735589,0.529607318,0.006816626,0,0.018056449,0.008686809,0.141734306,0.182323189,0.947708506,0.497172787,0.007066321,0.000216628,0.012413724,0.174954716,0.038977995,0.655909688,0.942298009,0.036014289,0.100240764
same-sex_marriage1.0-1874,0,0,0,denver post,2004,4,27,20040427,0.538967461,0.217206531,0.243826009,0.027420362,0.001872165,0.19875265,0.003113495,0.003552553,0.015030601,0.0127995,0.001535005,0.00815713,0.072832956,0.434059434,0.175637224,0.040984938,0.004251988,0,0.287745895,0.00897919,0.495485485,0.20708221,0.412589547,0.530189564,0.035303055,0.001280626,0.06012804,0.126273038,0.211746148,0.464770186,0.615833559,0.019610829,0.067292362
same-sex_marriage1.0-1875,0,0,0,new york times,2004,4,26,20040426,0.509979613,0.309937996,0.180082391,0.002641872,0.000759531,0.011961507,0.005243761,0.952746991,0.003256958,0.006132155,0.000641932,0.001451194,0.003035443,0.000611291,0.005382389,0.002716543,0.003418435,0,0.018347736,0.0114847,0.047813251,0.597741709,0.9912936,0.477048566,0.136727215,0.003013783,0.013225655,0.303200357,0.094400142,0.33136398,0.711716392,0.098633568,0.128520184
same-sex_marriage1.0-1876,0,0,1,philadelphia inquirer,2004,4,26,20040426,0.362922098,0.284152722,0.35292518,0.013754562,0.001628465,0.001143723,0.022607428,0.875016323,0.028020277,0.016520128,0.001075991,0.000920575,0.006041409,0.009057053,0.00911462,0.010102625,0.004996819,0,0.021561151,0.0171511,0.105234059,0.142159628,0.965385872,0.4185114,0.019647926,0.000442723,0.024017704,0.386292985,0.239602814,0.429637315,0.862286006,0.085352824,0.148142858
same-sex_marriage1.0-1877,0,0,0,denver post,2004,4,25,20040425,0.418000639,0.221664842,0.360334519,0.002552401,0.001004458,0.004453324,0.006114789,0.001209476,0.025300722,0.002027305,0.000507158,0.000643749,0.002560153,0.023516521,0.101217695,0.828495537,0.000396712,0,0.021511019,0.005543653,0.844000308,0.190079245,0.488630508,0.455086891,0.005477814,8.83E-05,0.013128705,0.059966599,0.255118647,0.32590395,0.995699602,0.040471303,0.056604433
same-sex_marriage1.0-1878,0,0,0,new york times,2004,4,25,20040425,0.587627331,0.189938127,0.222434542,0.000703957,0.01841962,0.002388102,0.024081473,0.874617537,0.001720231,0.007463963,0.000979299,0.001671451,0.008028633,0.001927656,0.003501849,0.045281353,0.009214878,0,0.02127821,0.017160223,0.082303616,0.10039416,0.87544397,0.463689497,0.023285474,0.001843486,0.02526866,0.284403894,0.154926233,0.668444709,0.778611609,0.109633451,0.13279948
same-sex_marriage1.0-1879,1,0,0,new york times,2004,4,25,20040425,0.626712222,0.149700532,0.223587246,0.020871177,0.007054647,0.186262316,0.005597989,0.012527666,0.04053117,0.023039381,0.001186527,0.002777067,0.006503665,0.039552855,0.004107243,0.648657732,0.001330566,0,0.04681637,0.008559036,0.033448227,0.077252641,0.076247549,0.343052194,0.007927152,0.002114759,0.112578092,0.754956454,0.407523044,0.197780371,0.518422305,0.039123615,0.205378152
same-sex_marriage1.0-188,0,0,0,atlanta journal and constitution,2001,3,22,20010322,0.649447899,0.100838505,0.249713596,0.024241282,0.00455832,0.019277564,0.003736155,0.029464629,0.007836118,0.002029236,0.001130166,0.35111196,0.006910145,0.001350851,0.00821471,0.538447839,0.001691023,0,0.406874608,0.022314474,0.055951609,0.184767705,0.659647246,0.410167001,0.052677819,3.22E-05,0.526642588,0.924645704,0.067209745,0.347423408,0.823459352,0.012807578,0.051178002
same-sex_marriage1.0-1880,0,0,0,san jose mercury news,2004,4,24,20040424,0.401387134,0.220528567,0.378084299,0.000983259,0.001345051,0.017346458,0.01381563,0.049793222,0.045037316,0.004904547,0.001136795,0.005326628,0.008791157,0.032012157,0.797103245,0.01853355,0.003870985,0,0.033020682,0.009975819,0.378488136,0.356133781,0.379353025,0.498596897,0.011596818,0.000272798,0.042297954,0.514515513,0.285702252,0.632571468,0.664623372,0.015106892,0.070817539
same-sex_marriage1.0-1881,0,0,0,st. louis post-dispatch,2004,4,24,20040424,0.649824784,0.155402541,0.194772675,0.016382846,0.000930225,0.788660064,0.018956587,0.071046776,0.006931845,0.022783995,0.000786197,0.004262637,0.00374251,0.018272611,0.043959516,0.002009905,0.001274286,0,0.234541472,0.018024485,0.778384324,0.249232312,0.60935698,0.444200474,0.368400765,2.52E-05,0.014253896,0.271858329,0.51210992,0.407828682,0.12652806,0.026053659,0.117280121
same-sex_marriage1.0-1883,0,0,0,st. louis post-dispatch,2004,4,23,20040423,0.417628372,0.201041818,0.381329809,0.001949991,0.001069997,0.006073263,0.00078771,0.078289439,0.035243822,0.00132338,0.000797871,0.002299755,0.000257269,0.002535458,0.077797416,0.788561721,0.003012908,0,0.02338958,0.007124826,0.631403689,0.187594193,0.988008585,0.59112381,0.015717423,0.00115904,0.011730035,0.069852726,0.065582116,0.531437084,0.985063605,0.028265095,0.065279181
same-sex_marriage1.0-1884,0,0,0,new york times,2004,4,22,20040422,0.417212273,0.228832344,0.353955383,0.007695526,0.00121293,0.030904312,0.020195751,0.702416688,0.088602676,0.023444814,0.000556995,0.009978715,0.020979282,0.002313292,0.024710743,0.059779474,0.007208802,0,0.015459518,0.012442077,0.189793309,0.156372857,0.693180766,0.492581295,0.087001896,0.000502902,0.015812178,0.204611432,0.231390308,0.178969417,0.675127976,0.034944694,0.219999836
same-sex_marriage1.0-1885,1,0,0,washington post,2004,4,22,20040422,0.632056487,0.112279596,0.255663917,0.010729845,0.00888078,0.189830753,0.009163263,0.011345622,0.005686486,0.002246266,0.001897264,0.001731349,0.157015548,0.230301093,0.281687933,0.08568796,0.003795839,0,0.09784055,0.008228033,0.586645367,0.192211209,0.097172483,0.492581295,0.013349646,3.57E-05,0.021334654,0.878484278,0.24022678,0.249534788,0.72556026,0.009922643,0.193091794
same-sex_marriage1.0-1886,0,0,1,herald-sun,2004,4,21,20040421,0.470898176,0.267453843,0.261647982,0.039172537,0.000675106,0.039534966,0.004446086,0.8480751,0.036268321,0.004595929,0.000570579,0.000986549,0.000258523,0.007109499,0.010426555,0.003631504,0.004248747,0,0.363099685,0.013364858,0.672856619,0.015215725,0.946765755,0.429806169,0.023919599,0.000446154,0.020294496,0.162056599,0.074350799,0.185096693,0.091675167,0.156114066,0.106091046
same-sex_marriage1.0-1887,0,0,0,new york times,2004,4,21,20040421,0.366613085,0.207087517,0.426299399,0.004104803,0.000621417,0.006739787,0.00024174,0.399635401,0.029059203,0.00250925,0.000449528,0.00106886,0.024799286,9.88E-05,0.000398619,0.529747009,0.000526279,0,0.047883794,0.009058181,0.495640188,0.026649282,0.993473627,0.4185114,0.003913683,4.23E-05,0.063177668,0.156886827,0.10370852,0.575274254,0.951280542,0.024412256,0.071768809
same-sex_marriage1.0-1888,0,0,1,new york times,2004,4,21,20040421,0.583141811,0.149803901,0.267054288,0.002317035,0.007667657,0.023710891,0.030141924,0.850214306,0.01098111,0.004754686,0.000693858,0.00931849,0.008824288,0.006426268,0.029102046,0.006206319,0.009641122,0,0.014336977,0.017687698,0.174034242,0.044399131,0.962051551,0.490085181,0.109780183,0.00099689,0.024750009,0.167569345,0.043420584,0.211627805,0.234403083,0.059408252,0.130823521
same-sex_marriage1.0-1889,0,0,1,philadelphia inquirer,2004,4,21,20040421,0.56386118,0.279012757,0.157126063,0.005964299,0.001227401,0.00087031,0.015470923,0.890553204,0.002820966,0.006092801,0.00056364,0.001383454,0.003487187,0.006151004,0.014647986,0.048562701,0.002204123,0,0.011540576,0.018801498,0.084829707,0.084812575,0.995796831,0.469934419,0.034831519,0.000129384,0.010242075,0.245003545,0.303699909,0.419867793,0.568407636,0.025524244,0.078729143
same-sex_marriage1.0-189,0,0,0,atlanta journal and constitution,2001,3,17,20010317,0.789358376,0.103374233,0.107267391,0.010751788,0.004555089,0.001507972,0.006786028,0.186466664,0.006506833,0.002101761,0.001484945,0.136238968,0.600773515,0.004590881,0.005492359,0.016868483,0.015874716,0,0.48878114,0.0254362,0.290106007,0.790460418,0.889317883,0.3760795,0.007464908,0.00078215,0.49811754,0.948988394,0.108534739,0.192633673,0.729458506,0.008316229,0.068014217
