,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti
Tobacco1.0-22693,0,0,1,washington post,2000,5,14,20000514,0,0,1
Tobacco1.0-10753,0,0,1,new york times,1994,12,13,19941213,0,0,1
Tobacco1.0-8023,0,0,1,usa today,1995,5,31,19950531,0,1,0
Tobacco1.0-16762,0,0,1,herald-sun,1999,11,15,19991115,0,0,1
Tobacco1.0-22698,0,0,1,daily news,2000,5,11,20000511,0,1,0
Tobacco1.0-15376,0,0,1,new york times,1998,11,9,19981109,0,0,1
Tobacco1.0-15374,0,0,1,washington post,1998,11,10,19981110,0,1,0
Tobacco1.0-15371,0,0,1,san jose mercury news,1998,11,10,19981110,0,0,1
Tobacco1.0-23164,0,0,1,new york times,2000,7,20,20000720,1,0,0
Tobacco1.0-3458,0,0,1,philadelphia inquirer,2000,3,17,20000317,0,0,1
Tobacco1.0-24695,0,0,1,st. petersburg times,2003,11,10,20031110,0,0,1
Tobacco1.0-24696,0,0,1,st. louis post-dispatch,2003,11,10,20031110,0,0,1
Tobacco1.0-17805,0,0,1,atlanta journal and constitution,2000,11,23,20001123,0,0,1
Tobacco1.0-9779,0,0,1,st. louis post-dispatch,1996,7,16,19960716,0,0,1
Tobacco1.0-15378,0,0,1,san jose mercury news,1998,11,9,19981109,1,0,0
Tobacco1.0-1546,0,0,1,st. louis post-dispatch,1995,2,11,19950211,0,0,1
Tobacco1.0-23766,0,0,1,new york times,2003,6,10,20030610,0,1,0
Tobacco1.0-5079,0,0,1,philadelphia inquirer,2007,2,8,20070208,0,0,1
Tobacco1.0-25456,0,0,1,palm beach post,2006,4,7,20060407,0,0,1
Tobacco1.0-7914,0,0,1,new york times,1995,6,30,19950630,0,0,1
Tobacco1.0-11791,0,0,1,washington post,1996,10,20,19961020,0,0,1
Tobacco1.0-3239,0,0,1,new york times,1999,1,23,19990123,0,0,1
Tobacco1.0-4253,0,1,0,san jose mercury news,2002,1,16,20020116,0,1,0
Tobacco1.0-4250,0,0,1,saint paul pioneer press,2002,1,16,20020116,0,0,1
Tobacco1.0-24745,0,0,1,denver post,2004,3,23,20040323,0,0,1
Tobacco1.0-3216,0,0,1,denver post,1999,1,28,19990128,0,1,0
Tobacco1.0-18142,0,0,1,herald-sun,2001,11,7,20011107,0,1,0
Tobacco1.0-2173,0,0,1,st. louis post-dispatch,1997,3,24,19970324,0,0,1
Tobacco1.0-24513,0,0,1,new york times,2003,7,8,20030708,0,0,1
Tobacco1.0-18145,0,0,1,denver post,2001,11,6,20011106,0,0,1
Tobacco1.0-462,0,0,1,palm beach post,1991,3,14,19910314,0,0,1
Tobacco1.0-22965,0,0,1,new york times,2000,9,7,20000907,0,1,0
Tobacco1.0-8798,0,0,1,palm beach post,1991,11,12,19911112,0,0,1
Tobacco1.0-18148,0,0,1,herald-sun,2001,11,5,20011105,1,0,0
Tobacco1.0-7415,0,0,1,st. louis post-dispatch,1993,5,3,19930503,0,0,1
Tobacco1.0-9513,0,0,1,philadelphia inquirer,1995,8,7,19950807,0,0,1
Tobacco1.0-2944,0,0,1,denver post,1999,3,18,19990318,0,0,1
Tobacco1.0-679,0,0,1,st. petersburg times,1993,3,31,19930331,0,1,0
Tobacco1.0-14511,0,1,0,palm beach post,1998,2,5,19980205,0,0,1
Tobacco1.0-4075,0,1,0,washington post,2002,3,20,20020320,1,0,0
Tobacco1.0-8572,0,0,1,new york times,1996,4,17,19960417,1,0,0
Tobacco1.0-20062,0,0,1,saint paul pioneer press,2004,7,19,20040719,0,0,1
Tobacco1.0-20293,0,0,1,san jose mercury news,2004,5,29,20040529,0,0,1
Tobacco1.0-8574,0,0,1,saint paul pioneer press,1996,4,17,19960417,0,0,1
Tobacco1.0-466,0,0,1,washington post,1991,3,14,19910314,0,0,1
Tobacco1.0-377,0,0,1,palm beach post,1991,4,15,19910415,0,0,1
Tobacco1.0-19189,0,0,1,daily news,2002,12,19,20021219,0,0,1
Tobacco1.0-25833,0,0,1,atlanta journal and constitution,2007,12,21,20071221,0,1,0
Tobacco1.0-9689,0,0,1,atlanta journal and constitution,1995,7,3,19950703,0,1,0
Tobacco1.0-20845,0,0,1,saint paul pioneer press,2005,4,19,20050419,0,0,1
Tobacco1.0-22385,0,0,1,st. petersburg times,2011,7,30,20110730,0,0,1
Tobacco1.0-9568,0,0,1,new york times,1995,7,27,19950727,1,0,0
Tobacco1.0-25834,0,0,1,st. louis post-dispatch,2007,12,21,20071221,1,0,0
Tobacco1.0-25906,0,0,1,atlanta journal and constitution,2007,11,6,20071106,0,0,1
Tobacco1.0-25903,0,1,0,new york times,2007,11,8,20071108,0,0,1
Tobacco1.0-15801,0,0,1,philadelphia inquirer,1999,6,10,19990610,1,0,0
Tobacco1.0-15803,0,0,1,st. louis post-dispatch,1999,6,10,19990610,1,0,0
Tobacco1.0-9998,0,0,1,atlanta journal and constitution,1996,6,2,19960602,0,0,1
Tobacco1.0-20997,0,0,1,atlanta journal and constitution,2005,12,3,20051203,0,0,1
Tobacco1.0-4678,0,1,0,denver post,2006,3,17,20060317,0,0,1
Tobacco1.0-9363,0,0,1,philadelphia inquirer,1995,8,19,19950819,1,0,0
Tobacco1.0-20992,0,0,1,san jose mercury news,2005,12,5,20051205,1,0,0
Tobacco1.0-9173,0,0,1,atlanta journal and constitution,1992,10,21,19921021,0,1,0
Tobacco1.0-15575,0,0,1,new york times,1998,12,20,19981220,0,0,1
Tobacco1.0-15576,0,0,1,philadelphia inquirer,1998,12,20,19981220,0,0,1
Tobacco1.0-4674,0,1,0,st. petersburg times,2006,3,18,20060318,0,0,1
Tobacco1.0-21612,0,0,1,san jose mercury news,2009,12,2,20091202,1,0,0
Tobacco1.0-11360,0,0,1,palm beach post,1996,8,18,19960818,0,0,1
Tobacco1.0-494,0,1,0,palm beach post,1991,2,23,19910223,0,0,1
Tobacco1.0-18618,0,0,1,herald-sun,2001,4,20,20010420,1,0,0
Tobacco1.0-493,0,0,1,usa today,1991,2,25,19910225,0,0,1
Tobacco1.0-27320,0,0,1,st. petersburg times,1992,3,10,19920310,0,0,1
Tobacco1.0-26380,0,0,1,philadelphia inquirer,2012,11,15,20121115,0,0,1
Tobacco1.0-20206,0,0,1,st. louis post-dispatch,2004,6,21,20040621,0,0,1
Tobacco1.0-20205,0,0,1,washington post,2004,6,22,20040622,1,0,0
Tobacco1.0-1040,0,0,1,san jose mercury news,1994,3,22,19940322,0,0,1
Tobacco1.0-4101,0,0,1,atlanta journal and constitution,2002,3,8,20020308,0,0,1
Tobacco1.0-20200,0,0,1,saint paul pioneer press,2004,6,23,20040623,0,0,1
Tobacco1.0-10099,0,0,1,st. louis post-dispatch,1995,12,1,19951201,1,0,0
Tobacco1.0-26908,0,0,1,usa today,1990,6,28,19900628,0,1,0
Tobacco1.0-25989,0,0,1,st. louis post-dispatch,2007,9,15,20070915,0,0,1
Tobacco1.0-11553,0,0,1,daily news,1996,12,4,19961204,0,0,1
Tobacco1.0-264,0,0,1,washington post,1991,6,20,19910620,0,0,1
Tobacco1.0-10723,0,0,1,usa today,1994,12,22,19941222,0,0,1
Tobacco1.0-10094,0,1,0,new york times,1995,12,3,19951203,0,0,1
Tobacco1.0-21625,0,0,1,daily news,2009,11,19,20091119,0,0,1
Tobacco1.0-10437,0,0,1,atlanta journal and constitution,1995,9,4,19950904,0,0,1
Tobacco1.0-15973,0,0,1,atlanta journal and constitution,1999,4,30,19990430,0,1,0
Tobacco1.0-21827,0,0,1,san jose mercury news,2009,7,15,20090715,0,0,1
Tobacco1.0-2897,0,0,1,atlanta journal and constitution,1999,3,25,19990325,0,0,1
Tobacco1.0-15974,0,0,1,denver post,1999,4,30,19990430,0,1,0
Tobacco1.0-1764,0,0,1,st. louis post-dispatch,1996,3,16,19960316,0,0,1
Tobacco1.0-15978,0,0,1,washington post,1999,4,30,19990430,0,0,1
Tobacco1.0-15114,0,0,1,washington post,1998,6,5,19980605,0,0,1
Tobacco1.0-15113,0,0,1,philadelphia inquirer,1998,6,5,19980605,0,1,0
Tobacco1.0-10438,0,0,1,atlanta journal and constitution,1995,9,4,19950904,0,1,0
Tobacco1.0-15232,0,0,1,san jose mercury news,1998,11,20,19981120,0,0,1
Tobacco1.0-18396,0,0,1,st. petersburg times,2001,6,29,20010629,1,0,0
Tobacco1.0-2706,0,0,1,saint paul pioneer press,1998,1,20,19980120,0,1,0
Tobacco1.0-14420,0,1,0,new york times,1998,2,12,19980212,0,0,1
Tobacco1.0-14421,0,0,1,philadelphia inquirer,1998,2,12,19980212,0,0,1
Tobacco1.0-14422,0,1,0,saint paul pioneer press,1998,2,12,19980212,0,1,0
Tobacco1.0-1172,0,0,1,atlanta journal and constitution,1994,2,19,19940219,1,0,0
Tobacco1.0-14357,0,1,0,new york times,1998,2,20,19980220,0,0,1
Tobacco1.0-14426,0,1,0,st. louis post-dispatch,1998,2,12,19980212,0,0,1
Tobacco1.0-20330,0,0,1,saint paul pioneer press,2004,5,22,20040522,0,0,1
Tobacco1.0-20441,0,0,1,philadelphia inquirer,2004,4,24,20040424,1,0,0
Tobacco1.0-25123,0,0,1,st. petersburg times,2006,7,12,20060712,0,0,1
Tobacco1.0-20442,0,0,1,herald-sun,2004,4,23,20040423,1,0,0
Tobacco1.0-21134,0,0,1,new york times,2005,9,25,20050925,0,0,1
Tobacco1.0-21131,0,0,1,denver post,2005,9,27,20050927,0,0,1
Tobacco1.0-5078,0,0,1,new york times,2007,2,8,20070208,0,1,0
Tobacco1.0-4827,0,0,1,saint paul pioneer press,2006,1,26,20060126,0,0,1
Tobacco1.0-21959,0,0,1,washington post,2010,11,11,20101111,0,0,1
Tobacco1.0-15872,0,0,1,st. louis post-dispatch,1999,5,28,19990528,0,0,1
Tobacco1.0-15108,0,0,1,st. louis post-dispatch,1998,6,6,19980606,0,0,1
Tobacco1.0-13162,0,0,1,herald-sun,1997,7,5,19970705,0,0,1
Tobacco1.0-21951,0,0,1,new york times,2010,11,12,20101112,1,0,0
Tobacco1.0-18735,0,0,1,daily news,2002,8,9,20020809,0,0,1
Tobacco1.0-817,0,0,1,usa today,1993,2,22,19930222,0,0,1
Tobacco1.0-4689,0,0,1,st. louis post-dispatch,2006,3,15,20060315,0,0,1
Tobacco1.0-819,0,0,1,new york times,1993,2,21,19930221,0,0,1
Tobacco1.0-19952,0,0,1,st. louis post-dispatch,2004,8,30,20040830,0,0,1
Tobacco1.0-20680,0,0,1,saint paul pioneer press,2005,6,14,20050614,0,0,1
Tobacco1.0-3416,0,0,1,daily news,2000,3,22,20000322,1,0,0
Tobacco1.0-23977,0,0,1,saint paul pioneer press,2003,4,26,20030426,0,1,0
Tobacco1.0-25554,0,0,1,herald-sun,2006,11,29,20061129,0,0,1
Tobacco1.0-21911,0,0,1,usa today,2010,11,26,20101126,0,0,1
Tobacco1.0-1773,0,0,1,st. petersburg times,1996,3,15,19960315,0,0,1
Tobacco1.0-21008,0,0,1,washington post,2005,11,27,20051127,0,0,1
Tobacco1.0-3540,0,0,1,herald-sun,2000,2,26,20000226,0,0,1
Tobacco1.0-19028,0,0,1,denver post,2002,5,12,20020512,0,1,0
Tobacco1.0-19254,0,0,1,new york times,2002,12,5,20021205,0,0,1
Tobacco1.0-6412,0,1,0,st. louis post-dispatch,2011,3,8,20110308,0,0,1
Tobacco1.0-13707,0,0,1,palm beach post,1997,10,2,19971002,1,0,0
Tobacco1.0-13700,0,0,1,san jose mercury news,1997,10,4,19971004,1,0,0
Tobacco1.0-13701,0,0,1,st. petersburg times,1997,10,4,19971004,0,0,1
Tobacco1.0-18082,0,0,1,new york times,2001,11,23,20011123,1,0,0
Tobacco1.0-18779,0,0,1,st. louis post-dispatch,2002,7,22,20020722,0,0,1
Tobacco1.0-3926,0,0,1,st. louis post-dispatch,2001,2,2,20010202,0,0,1
Tobacco1.0-929,0,0,1,st. petersburg times,1993,1,12,19930112,0,0,1
Tobacco1.0-3928,0,0,1,herald-sun,2001,2,1,20010201,0,1,0
Tobacco1.0-3929,0,0,1,herald-sun,2001,2,1,20010201,1,0,0
Tobacco1.0-5678,0,0,1,atlanta journal and constitution,2008,5,16,20080516,0,0,1
Tobacco1.0-17134,0,0,1,atlanta journal and constitution,1998,3,12,19980312,0,0,1
Tobacco1.0-18772,0,0,1,washington post,2002,7,26,20020726,0,1,0
Tobacco1.0-13365,0,0,1,atlanta journal and constitution,1997,8,17,19970817,1,0,0
Tobacco1.0-12761,0,0,1,st. petersburg times,1997,6,21,19970621,0,0,1
Tobacco1.0-5472,0,0,1,washington post,2009,2,26,20090226,0,0,1
Tobacco1.0-20530,0,0,1,new york times,2005,7,24,20050724,0,1,0
Tobacco1.0-20533,0,0,1,washington post,2005,7,23,20050723,0,0,1
Tobacco1.0-21748,0,0,1,san jose mercury news,2009,9,10,20090910,0,0,1
Tobacco1.0-25014,0,0,1,new york times,2006,8,28,20060828,0,0,1
Tobacco1.0-24196,0,1,0,daily news,2003,10,13,20031013,0,0,1
Tobacco1.0-25334,0,0,1,saint paul pioneer press,2006,5,16,20060516,0,0,1
Tobacco1.0-25335,0,0,1,saint paul pioneer press,2006,5,16,20060516,0,1,0
Tobacco1.0-23680,0,0,1,saint paul pioneer press,2003,1,2,20030102,0,0,1
Tobacco1.0-25338,0,0,1,philadelphia inquirer,2006,5,14,20060514,0,0,1
Tobacco1.0-17671,0,0,1,palm beach post,1998,7,3,19980703,1,0,0
Tobacco1.0-13010,0,0,1,herald-sun,1997,7,23,19970723,1,0,0
Tobacco1.0-12019,0,1,0,washington post,1997,4,22,19970422,1,0,0
Tobacco1.0-17510,0,0,1,philadelphia inquirer,1998,7,31,19980731,0,0,1
Tobacco1.0-17045,0,0,1,denver post,1998,3,21,19980321,0,0,1
Tobacco1.0-19045,0,0,1,new york times,2002,5,7,20020507,1,0,0
Tobacco1.0-17048,0,0,1,philadelphia inquirer,1998,3,21,19980321,0,0,1
Tobacco1.0-19041,0,0,1,st. petersburg times,2002,5,9,20020509,0,0,1
Tobacco1.0-2882,0,0,1,washington post,1999,3,29,19990329,0,1,0
Tobacco1.0-1207,0,0,1,san jose mercury news,1994,2,9,19940209,0,0,1
Tobacco1.0-1206,0,0,1,philadelphia inquirer,1994,2,9,19940209,0,1,0
Tobacco1.0-18602,0,0,1,philadelphia inquirer,2001,4,26,20010426,0,1,0
Tobacco1.0-12161,0,0,1,philadelphia inquirer,1997,4,8,19970408,0,0,1
Tobacco1.0-17426,0,0,1,st. petersburg times,1998,8,16,19980816,0,0,1
Tobacco1.0-3854,0,1,0,washington post,2001,3,7,20010307,0,0,1
Tobacco1.0-18609,0,0,1,new york times,2001,4,25,20010425,1,0,0
Tobacco1.0-1978,0,0,1,herald-sun,1996,2,5,19960205,0,0,1
Tobacco1.0-1209,0,1,0,washington post,1994,2,9,19940209,0,0,1
Tobacco1.0-15668,0,0,1,washington post,1998,12,5,19981205,0,0,1
Tobacco1.0-17190,0,1,0,new york times,1998,3,8,19980308,0,0,1
Tobacco1.0-17193,0,0,1,saint paul pioneer press,1998,3,8,19980308,0,0,1
Tobacco1.0-5214,0,0,1,new york times,2009,6,30,20090630,0,0,1
Tobacco1.0-3253,0,0,1,st. louis post-dispatch,1999,1,22,19990122,0,0,1
Tobacco1.0-16319,0,0,1,st. louis post-dispatch,1999,8,25,19990825,1,0,0
Tobacco1.0-17609,0,0,1,daily news,1998,7,13,19980713,1,0,0
Tobacco1.0-17608,0,0,1,st. louis post-dispatch,1998,7,14,19980714,0,1,0
Tobacco1.0-25489,0,0,1,san jose mercury news,2006,12,26,20061226,0,0,1
Tobacco1.0-19426,0,0,1,new york times,2002,10,14,20021014,0,1,0
Tobacco1.0-17602,0,0,1,st. louis post-dispatch,1998,7,15,19980715,0,0,1
Tobacco1.0-17605,0,0,1,daily news,1998,7,14,19980714,0,0,1
Tobacco1.0-1992,0,0,1,san jose mercury news,1996,2,3,19960203,1,0,0
Tobacco1.0-25484,0,0,1,philadelphia inquirer,2006,12,29,20061229,0,0,1
Tobacco1.0-19420,0,0,1,new york times,2002,10,18,20021018,0,0,1
Tobacco1.0-9202,0,0,1,new york times,1992,10,7,19921007,0,0,1
Tobacco1.0-13655,0,0,1,philadelphia inquirer,1997,10,10,19971010,1,0,0
Tobacco1.0-18950,0,0,1,philadelphia inquirer,2002,6,6,20020606,0,0,1
Tobacco1.0-11461,0,0,1,palm beach post,1996,12,28,19961228,0,0,1
Tobacco1.0-7614,0,0,1,washington post,1994,5,29,19940529,0,0,1
Tobacco1.0-11465,0,1,0,herald-sun,1996,12,27,19961227,0,0,1
Tobacco1.0-11464,0,0,1,washington post,1996,12,28,19961228,0,0,1
Tobacco1.0-7239,0,0,1,new york times,1993,7,4,19930704,0,0,1
Tobacco1.0-25296,0,1,0,st. louis post-dispatch,2006,6,1,20060601,0,0,1
Tobacco1.0-12383,0,1,0,saint paul pioneer press,1997,5,18,19970518,0,1,0
Tobacco1.0-12381,0,0,1,new york times,1997,5,18,19970518,0,0,1
Tobacco1.0-2313,0,0,1,saint paul pioneer press,1997,3,2,19970302,0,0,1
Tobacco1.0-16800,0,0,1,atlanta journal and constitution,1999,11,5,19991105,0,1,0
Tobacco1.0-12386,0,1,0,st. louis post-dispatch,1997,5,18,19970518,1,0,0
Tobacco1.0-12384,0,0,1,saint paul pioneer press,1997,5,18,19970518,0,1,0
Tobacco1.0-11867,0,0,1,san jose mercury news,1996,10,8,19961008,0,0,1
Tobacco1.0-25249,0,0,1,philadelphia inquirer,2006,6,16,20060616,0,0,1
Tobacco1.0-5509,0,0,1,palm beach post,2009,2,7,20090207,0,0,1
Tobacco1.0-11860,0,0,1,st. louis post-dispatch,1996,10,9,19961009,0,0,1
Tobacco1.0-25240,0,0,1,daily news,2006,6,18,20060618,0,0,1
Tobacco1.0-3317,0,0,1,san jose mercury news,1999,1,12,19990112,1,0,0
Tobacco1.0-21101,0,0,1,saint paul pioneer press,2005,10,18,20051018,0,0,1
Tobacco1.0-13949,0,0,1,st. louis post-dispatch,1997,9,3,19970903,0,0,1
Tobacco1.0-2530,0,0,1,palm beach post,1997,1,21,19970121,1,0,0
Tobacco1.0-12947,0,0,1,herald-sun,1997,7,30,19970730,1,0,0
Tobacco1.0-8245,0,0,1,denver post,1995,4,5,19950405,0,0,1
Tobacco1.0-2537,0,0,1,saint paul pioneer press,1997,1,20,19970120,1,0,0
Tobacco1.0-25273,0,0,1,st. louis post-dispatch,2006,6,10,20060610,0,0,1
Tobacco1.0-12948,0,0,1,new york times,1997,7,30,19970730,0,0,1
Tobacco1.0-16648,0,0,1,st. louis post-dispatch,1999,12,6,19991206,0,0,1
Tobacco1.0-22757,0,0,1,atlanta journal and constitution,2000,4,22,20000422,0,0,1
Tobacco1.0-16072,0,0,1,washington post,1999,4,13,19990413,0,0,1
Tobacco1.0-20595,0,0,1,saint paul pioneer press,2005,7,3,20050703,0,1,0
Tobacco1.0-27441,0,0,1,st. louis post-dispatch,1992,1,27,19920127,0,0,1
Tobacco1.0-11339,0,0,1,new york times,1996,8,22,19960822,0,0,1
Tobacco1.0-23240,0,0,1,san jose mercury news,2000,7,13,20000713,0,0,1
Tobacco1.0-11605,0,0,1,washington post,1996,11,23,19961123,0,0,1
Tobacco1.0-15451,0,0,1,atlanta journal and constitution,1998,10,20,19981020,0,0,1
Tobacco1.0-22208,0,0,1,philadelphia inquirer,2011,11,16,20111116,0,0,1
Tobacco1.0-11600,0,0,1,washington post,1996,11,24,19961124,0,0,1
Tobacco1.0-24822,0,0,1,atlanta journal and constitution,2004,2,24,20040224,0,0,1
Tobacco1.0-22113,0,0,1,saint paul pioneer press,2010,7,24,20100724,0,0,1
Tobacco1.0-24820,0,0,1,saint paul pioneer press,2004,2,25,20040225,0,0,1
Tobacco1.0-22114,0,0,1,new york times,2010,7,23,20100723,0,0,1
Tobacco1.0-16244,0,0,1,st. louis post-dispatch,1999,9,12,19990912,0,0,1
Tobacco1.0-21928,0,0,1,st. louis post-dispatch,2010,11,18,20101118,0,0,1
Tobacco1.0-11264,0,0,1,new york times,1996,8,25,19960825,0,0,1
Tobacco1.0-11910,0,0,1,philadelphia inquirer,1996,10,1,19961001,0,0,1
Tobacco1.0-11917,0,0,1,new york times,1997,4,30,19970430,0,0,1
Tobacco1.0-2777,0,0,1,herald-sun,1998,1,14,19980114,0,0,1
Tobacco1.0-7696,0,0,1,san jose mercury news,1994,5,12,19940512,0,0,1
Tobacco1.0-16106,0,0,1,new york times,1999,4,7,19990407,0,0,1
Tobacco1.0-26681,0,0,1,daily news,2013,5,20,20130520,0,0,1
Tobacco1.0-25797,0,0,1,washington post,2006,9,11,20060911,0,0,1
Tobacco1.0-25792,0,0,1,st. louis post-dispatch,2006,9,12,20060912,0,0,1
Tobacco1.0-25793,0,0,1,usa today,2006,9,12,20060912,0,0,1
Tobacco1.0-25791,0,0,1,denver post,2006,9,12,20060912,0,1,0
Tobacco1.0-22379,0,1,0,daily news,2011,8,3,20110803,0,0,1
Tobacco1.0-22378,0,1,0,san jose mercury news,2011,8,6,20110806,0,0,1
Tobacco1.0-27400,0,0,1,palm beach post,1992,2,10,19920210,1,0,0
Tobacco1.0-2626,0,0,1,washington post,1998,1,30,19980130,0,0,1
Tobacco1.0-11288,0,0,1,new york times,1996,8,24,19960824,0,0,1
Tobacco1.0-22375,0,0,1,san jose mercury news,2011,8,12,20110812,0,0,1
Tobacco1.0-16777,0,0,1,washington post,1999,11,13,19991113,0,0,1
Tobacco1.0-11733,0,0,1,st. petersburg times,1996,10,29,19961029,0,1,0
Tobacco1.0-11047,0,0,1,palm beach post,1996,9,19,19960919,1,0,0
Tobacco1.0-11737,0,0,1,new york times,1996,10,27,19961027,0,0,1
Tobacco1.0-15036,0,0,1,philadelphia inquirer,1998,6,14,19980614,0,0,1
Tobacco1.0-15885,0,0,1,st. louis post-dispatch,1999,5,24,19990524,0,0,1
Tobacco1.0-15198,0,1,0,washington post,1998,11,22,19981122,0,0,1
Tobacco1.0-25462,0,0,1,atlanta journal and constitution,2006,4,5,20060405,0,0,1
Tobacco1.0-14158,0,0,1,philadelphia inquirer,1997,12,1,19971201,1,0,0
Tobacco1.0-3681,0,0,1,st. petersburg times,2000,1,23,20000123,1,0,0
Tobacco1.0-25466,0,0,1,washington post,2006,4,4,20060404,0,1,0
Tobacco1.0-12839,0,1,0,saint paul pioneer press,1997,6,13,19970613,0,0,1
Tobacco1.0-3046,0,0,1,saint paul pioneer press,1999,3,2,19990302,0,1,0
Tobacco1.0-13893,0,0,1,philadelphia inquirer,1997,9,10,19970910,0,0,1
Tobacco1.0-9212,0,1,0,st. petersburg times,1992,10,4,19921004,0,0,1
Tobacco1.0-7348,0,0,1,atlanta journal and constitution,1993,5,28,19930528,0,0,1
Tobacco1.0-21926,0,0,1,new york times,2010,11,20,20101120,0,0,1
Tobacco1.0-22684,0,0,1,st. louis post-dispatch,2000,5,15,20000515,0,0,1
Tobacco1.0-1912,0,0,1,st. louis post-dispatch,1996,2,17,19960217,1,0,0
Tobacco1.0-9764,0,0,1,new york times,1996,7,18,19960718,0,0,1
Tobacco1.0-15349,0,0,1,san jose mercury news,1998,11,12,19981112,0,0,1
Tobacco1.0-23152,0,0,1,palm beach post,2000,7,23,20000723,1,0,0
Tobacco1.0-9761,0,0,1,atlanta journal and constitution,1996,7,18,19960718,1,0,0
Tobacco1.0-15342,0,0,1,san jose mercury news,1998,11,13,19981113,0,0,1
Tobacco1.0-11130,0,0,1,st. louis post-dispatch,1996,9,6,19960906,0,0,1
Tobacco1.0-24685,0,0,1,st. petersburg times,2003,11,14,20031114,0,0,1
Tobacco1.0-9768,0,0,1,new york times,1996,7,17,19960717,0,0,1
Tobacco1.0-24682,0,0,1,philadelphia inquirer,2003,11,14,20031114,0,0,1
Tobacco1.0-24398,0,0,1,atlanta journal and constitution,2003,8,7,20030807,0,0,1
Tobacco1.0-7906,0,0,1,philadelphia inquirer,1994,4,1,19940401,0,0,1
Tobacco1.0-1573,0,0,1,new york times,1995,1,29,19950129,1,0,0
Tobacco1.0-24354,0,0,1,st. petersburg times,2003,8,28,20030828,0,0,1
Tobacco1.0-21064,0,0,1,washington post,2005,11,6,20051106,0,0,1
Tobacco1.0-21582,0,0,1,usa today,2008,7,2,20080702,0,0,1
Tobacco1.0-23081,0,0,1,new york times,2000,8,6,20000806,1,0,0
Tobacco1.0-25412,0,0,1,st. louis post-dispatch,2006,4,19,20060419,0,0,1
Tobacco1.0-26264,0,0,1,st. louis post-dispatch,2007,4,26,20070426,1,0,0
Tobacco1.0-24750,0,0,1,daily news,2004,3,20,20040320,0,0,1
Tobacco1.0-11338,0,0,1,new york times,1996,8,22,19960822,0,0,1
Tobacco1.0-8902,0,0,1,palm beach post,1991,9,13,19910913,0,0,1
Tobacco1.0-3595,0,0,1,san jose mercury news,2000,2,12,20000212,0,0,1
Tobacco1.0-3594,0,0,1,new york times,2000,2,12,20000212,1,0,0
Tobacco1.0-3265,0,0,1,herald-sun,1999,1,20,19990120,0,0,1
Tobacco1.0-19829,0,0,1,daily news,2004,10,5,20041005,0,0,1
Tobacco1.0-2953,0,1,0,herald-sun,1999,3,17,19990317,1,0,0
Tobacco1.0-1689,0,0,1,st. louis post-dispatch,1996,3,24,19960324,0,0,1
Tobacco1.0-4063,0,0,1,denver post,2002,3,21,20020321,0,0,1
Tobacco1.0-25978,0,0,1,new york times,2007,9,25,20070925,0,0,1
Tobacco1.0-9506,0,0,1,usa today,1995,8,9,19950809,0,0,1
Tobacco1.0-4067,0,0,1,saint paul pioneer press,2002,3,21,20020321,0,0,1
Tobacco1.0-1683,0,0,1,atlanta journal and constitution,1996,3,24,19960324,0,0,1
Tobacco1.0-20055,0,0,1,new york times,2004,7,21,20040721,1,0,0
Tobacco1.0-20050,0,0,1,new york times,2004,7,22,20040722,0,0,1
Tobacco1.0-24537,0,0,1,denver post,2003,7,2,20030702,0,0,1
Tobacco1.0-9693,0,1,0,new york times,1995,7,3,19950703,0,0,1
Tobacco1.0-9694,0,0,1,saint paul pioneer press,1995,7,3,19950703,0,0,1
Tobacco1.0-20839,0,0,1,new york times,2005,4,22,20050422,0,0,1
Tobacco1.0-20834,0,0,1,herald-sun,2005,4,24,20050424,1,0,0
Tobacco1.0-20836,0,0,1,new york times,2005,4,23,20050423,0,0,1
Tobacco1.0-8744,0,0,1,st. louis post-dispatch,1991,12,5,19911205,0,0,1
Tobacco1.0-26312,0,0,1,washington post,2007,4,1,20070401,0,0,1
Tobacco1.0-25938,0,0,1,new york times,2007,10,18,20071018,1,0,0
Tobacco1.0-27228,0,0,1,washington post,1992,4,9,19920409,0,0,1
Tobacco1.0-24368,0,0,1,saint paul pioneer press,2003,8,19,20030819,0,0,1
Tobacco1.0-20691,0,0,1,philadelphia inquirer,2005,6,10,20050610,0,0,1
Tobacco1.0-15296,0,0,1,san jose mercury news,1998,11,17,19981117,0,0,1
Tobacco1.0-26318,0,0,1,st. louis post-dispatch,2012,12,27,20121227,0,0,1
Tobacco1.0-27220,0,0,1,new york times,1992,4,12,19920412,0,1,0
Tobacco1.0-27221,0,0,1,st. petersburg times,1992,4,11,19920411,0,0,1
Tobacco1.0-15293,0,1,0,philadelphia inquirer,1998,11,17,19981117,0,0,1
Tobacco1.0-4666,0,0,1,denver post,2006,3,19,20060319,0,0,1
Tobacco1.0-4664,0,0,1,denver post,2006,3,19,20060319,0,0,1
Tobacco1.0-4662,0,0,1,washington post,2006,3,20,20060320,1,0,0
Tobacco1.0-9164,0,0,1,st. louis post-dispatch,1992,10,27,19921027,0,0,1
Tobacco1.0-3466,0,0,1,saint paul pioneer press,2000,3,15,20000315,0,1,0
Tobacco1.0-8341,0,0,1,herald-sun,1996,5,18,19960518,0,1,0
